Site,Sample_label,hole_label,section_label,published_archival_depth (m),current_depth_model (m),current_depth_model_note,ODP SAMPLE Inventory:: DEPTH(mid) (m),ODP SAMPLE Inventory:: MBSF(mid) (m),ODP SAMPLE Inventory:: MCD(mid) (m),ODP SAMPLE Inventory:: CCSF(mid) (m),depth_model_1 (m),depth_model_note_1,older_depth_model_2 (m)
RC11-83,,,,7.03,7.03,,,,,,7.03,depth model from Jonkers et al. 2020,
RC11-83,,,,7.11,7.11,,,,,,7.11,depth model from Jonkers et al. 2020,
RC11-83,,,,7.19,7.19,,,,,,7.19,depth model from Jonkers et al. 2020,
RC11-83,,,,7.27,7.27,,,,,,7.27,depth model from Jonkers et al. 2020,
RC11-83,,,,7.35,7.35,,,,,,7.35,depth model from Jonkers et al. 2020,
RC11-83,,,,7.43,7.43,,,,,,7.43,depth model from Jonkers et al. 2020,
RC11-83,,,,7.51,7.51,,,,,,7.51,depth model from Jonkers et al. 2020,
RC11-83,,,,7.59,7.59,,,,,,7.59,depth model from Jonkers et al. 2020,
RC11-83,,,,7.67,7.67,,,,,,7.67,depth model from Jonkers et al. 2020,
RC11-83,,,,7.75,7.75,,,,,,7.75,depth model from Jonkers et al. 2020,
RC11-83,,,,7.83,7.83,,,,,,7.83,depth model from Jonkers et al. 2020,
RC11-83,,,,7.91,7.91,,,,,,7.91,depth model from Jonkers et al. 2020,
RC11-83,,,,7.99,7.99,,,,,,7.99,depth model from Jonkers et al. 2020,
RC11-83,,,,8.07,8.07,,,,,,8.07,depth model from Jonkers et al. 2020,
RC11-83,,,,8.28,8.28,,,,,,8.28,depth model from Jonkers et al. 2020,
RC11-83,,,,8.39,8.39,,,,,,8.39,depth model from Jonkers et al. 2020,
RC11-83,,,,8.47,8.47,,,,,,8.47,depth model from Jonkers et al. 2020,
RC11-83,,,,8.55,8.55,,,,,,8.55,depth model from Jonkers et al. 2020,
RC11-83,,,,8.63,8.63,,,,,,8.63,depth model from Jonkers et al. 2020,
RC11-83,,,,8.71,8.71,,,,,,8.71,depth model from Jonkers et al. 2020,
