Site,Sample_label,hole_label,section_label,published_archival_depth (m),current_depth_model (m),current_depth_model_note,ODP SAMPLE Inventory:: DEPTH(mid) (m),ODP SAMPLE Inventory:: MBSF(mid) (m),ODP SAMPLE Inventory:: MCD(mid) (m),ODP SAMPLE Inventory:: CCSF(mid) (m),depth_model_1 (m),depth_model_note_1,older_depth_model_2 (m)
SU90-39,,,,4.68,4.68,,,,,,4.68,depth model from Peterson and Lisiecki 2018,
SU90-39,,,,4.79,4.79,,,,,,4.79,depth model from Peterson and Lisiecki 2018,
SU90-39,,,,4.88,4.88,,,,,,4.88,depth model from Peterson and Lisiecki 2018,
SU90-39,,,,4.99,4.99,,,,,,4.99,depth model from Peterson and Lisiecki 2018,
SU90-39,,,,5.08,5.08,,,,,,5.08,depth model from Peterson and Lisiecki 2018,
SU90-39,,,,5.19,5.19,,,,,,5.19,depth model from Peterson and Lisiecki 2018,
SU90-39,,,,5.28,5.28,,,,,,5.28,depth model from Peterson and Lisiecki 2018,
SU90-39,,,,5.395,5.395,,,,,,5.395,depth model from Peterson and Lisiecki 2018,
SU90-39,,,,5.485,5.485,,,,,,5.485,depth model from Peterson and Lisiecki 2018,
SU90-39,,,,5.595,5.595,,,,,,5.595,depth model from Peterson and Lisiecki 2018,
SU90-39,,,,5.69,5.69,,,,,,5.69,depth model from Peterson and Lisiecki 2018,
SU90-39,,,,5.98,5.98,,,,,,5.98,depth model from Peterson and Lisiecki 2018,
SU90-39,,,,6.0,6.0,,,,,,6.0,depth model from Peterson and Lisiecki 2018,
SU90-39,,,,6.09,6.09,,,,,,6.09,depth model from Peterson and Lisiecki 2018,
SU90-39,,,,6.18,6.18,,,,,,6.18,depth model from Peterson and Lisiecki 2018,
SU90-39,,,,6.29,6.29,,,,,,6.29,depth model from Peterson and Lisiecki 2018,
SU90-39,,,,6.38,6.38,,,,,,6.38,depth model from Peterson and Lisiecki 2018,
SU90-39,,,,6.49,6.49,,,,,,6.49,depth model from Peterson and Lisiecki 2018,
SU90-39,,,,6.585,6.585,,,,,,6.585,depth model from Peterson and Lisiecki 2018,
SU90-39,,,,6.695,6.695,,,,,,6.695,depth model from Peterson and Lisiecki 2018,
SU90-39,,,,6.88,6.88,,,,,,6.88,depth model from Peterson and Lisiecki 2018,
SU90-39,,,,6.99,6.99,,,,,,6.99,depth model from Peterson and Lisiecki 2018,
SU90-39,,,,7.01,7.01,,,,,,7.01,depth model from Peterson and Lisiecki 2018,
SU90-39,,,,7.1,7.1,,,,,,7.1,depth model from Peterson and Lisiecki 2018,
SU90-39,,,,7.12,7.12,,,,,,7.12,depth model from Peterson and Lisiecki 2018,
SU90-39,,,,7.145,7.145,,,,,,7.145,depth model from Peterson and Lisiecki 2018,
SU90-39,,,,7.17,7.17,,,,,,7.17,depth model from Peterson and Lisiecki 2018,
SU90-39,,,,7.19,7.19,,,,,,7.19,depth model from Peterson and Lisiecki 2018,
SU90-39,,,,7.21,7.21,,,,,,7.21,depth model from Peterson and Lisiecki 2018,
SU90-39,,,,7.235,7.235,,,,,,7.235,depth model from Peterson and Lisiecki 2018,
SU90-39,,,,7.255,7.255,,,,,,7.255,depth model from Peterson and Lisiecki 2018,
SU90-39,,,,7.28,7.28,,,,,,7.28,depth model from Peterson and Lisiecki 2018,
SU90-39,,,,7.305,7.305,,,,,,7.305,depth model from Peterson and Lisiecki 2018,
SU90-39,,,,7.325,7.325,,,,,,7.325,depth model from Peterson and Lisiecki 2018,
SU90-39,,,,7.345,7.345,,,,,,7.345,depth model from Peterson and Lisiecki 2018,
SU90-39,,,,7.37,7.37,,,,,,7.37,depth model from Peterson and Lisiecki 2018,
SU90-39,,,,7.395,7.395,,,,,,7.395,depth model from Peterson and Lisiecki 2018,
SU90-39,,,,7.415,7.415,,,,,,7.415,depth model from Peterson and Lisiecki 2018,
SU90-39,,,,7.435,7.435,,,,,,7.435,depth model from Peterson and Lisiecki 2018,
SU90-39,,,,7.46,7.46,,,,,,7.46,depth model from Peterson and Lisiecki 2018,
SU90-39,,,,7.48,7.48,,,,,,7.48,depth model from Peterson and Lisiecki 2018,
SU90-39,,,,7.5,7.5,,,,,,7.5,depth model from Peterson and Lisiecki 2018,
SU90-39,,,,7.52,7.52,,,,,,7.52,depth model from Peterson and Lisiecki 2018,
SU90-39,,,,7.545,7.545,,,,,,7.545,depth model from Peterson and Lisiecki 2018,
SU90-39,,,,7.565,7.565,,,,,,7.565,depth model from Peterson and Lisiecki 2018,
SU90-39,,,,7.59,7.59,,,,,,7.59,depth model from Peterson and Lisiecki 2018,
SU90-39,,,,7.61,7.61,,,,,,7.61,depth model from Peterson and Lisiecki 2018,
SU90-39,,,,7.65,7.65,,,,,,7.65,depth model from Peterson and Lisiecki 2018,
SU90-39,,,,7.675,7.675,,,,,,7.675,depth model from Peterson and Lisiecki 2018,
SU90-39,,,,7.7,7.7,,,,,,7.7,depth model from Peterson and Lisiecki 2018,
SU90-39,,,,7.72,7.72,,,,,,7.72,depth model from Peterson and Lisiecki 2018,
SU90-39,,,,7.745,7.745,,,,,,7.745,depth model from Peterson and Lisiecki 2018,
SU90-39,,,,7.765,7.765,,,,,,7.765,depth model from Peterson and Lisiecki 2018,
SU90-39,,,,7.79,7.79,,,,,,7.79,depth model from Peterson and Lisiecki 2018,
SU90-39,,,,7.81,7.81,,,,,,7.81,depth model from Peterson and Lisiecki 2018,
SU90-39,,,,7.83,7.83,,,,,,7.83,depth model from Peterson and Lisiecki 2018,
SU90-39,,,,7.855,7.855,,,,,,7.855,depth model from Peterson and Lisiecki 2018,
SU90-39,,,,7.9,7.9,,,,,,7.9,depth model from Peterson and Lisiecki 2018,
SU90-39,,,,7.92,7.92,,,,,,7.92,depth model from Peterson and Lisiecki 2018,
SU90-39,,,,7.945,7.945,,,,,,7.945,depth model from Peterson and Lisiecki 2018,
SU90-39,,,,7.965,7.965,,,,,,7.965,depth model from Peterson and Lisiecki 2018,
SU90-39,,,,7.99,7.99,,,,,,7.99,depth model from Peterson and Lisiecki 2018,
SU90-39,,,,8.01,8.01,,,,,,8.01,depth model from Peterson and Lisiecki 2018,
SU90-39,,,,8.035,8.035,,,,,,8.035,depth model from Peterson and Lisiecki 2018,
SU90-39,,,,8.055,8.055,,,,,,8.055,depth model from Peterson and Lisiecki 2018,
SU90-39,,,,8.08,8.08,,,,,,8.08,depth model from Peterson and Lisiecki 2018,
SU90-39,,,,8.1,8.1,,,,,,8.1,depth model from Peterson and Lisiecki 2018,
SU90-39,,,,8.125,8.125,,,,,,8.125,depth model from Peterson and Lisiecki 2018,
SU90-39,,,,8.15,8.15,,,,,,8.15,depth model from Peterson and Lisiecki 2018,
SU90-39,,,,8.17,8.17,,,,,,8.17,depth model from Peterson and Lisiecki 2018,
SU90-39,,,,8.195,8.195,,,,,,8.195,depth model from Peterson and Lisiecki 2018,
SU90-39,,,,8.215,8.215,,,,,,8.215,depth model from Peterson and Lisiecki 2018,
SU90-39,,,,8.235,8.235,,,,,,8.235,depth model from Peterson and Lisiecki 2018,
SU90-39,,,,8.26,8.26,,,,,,8.26,depth model from Peterson and Lisiecki 2018,
SU90-39,,,,8.305,8.305,,,,,,8.305,depth model from Peterson and Lisiecki 2018,
SU90-39,,,,8.35,8.35,,,,,,8.35,depth model from Peterson and Lisiecki 2018,
SU90-39,,,,8.37,8.37,,,,,,8.37,depth model from Peterson and Lisiecki 2018,
SU90-39,,,,8.4,8.4,,,,,,8.4,depth model from Peterson and Lisiecki 2018,
SU90-39,,,,8.42,8.42,,,,,,8.42,depth model from Peterson and Lisiecki 2018,
SU90-39,,,,8.44,8.44,,,,,,8.44,depth model from Peterson and Lisiecki 2018,
SU90-39,,,,8.46,8.46,,,,,,8.46,depth model from Peterson and Lisiecki 2018,
SU90-39,,,,8.485,8.485,,,,,,8.485,depth model from Peterson and Lisiecki 2018,
SU90-39,,,,8.505,8.505,,,,,,8.505,depth model from Peterson and Lisiecki 2018,
SU90-39,,,,8.525,8.525,,,,,,8.525,depth model from Peterson and Lisiecki 2018,
SU90-39,,,,8.55,8.55,,,,,,8.55,depth model from Peterson and Lisiecki 2018,
SU90-39,,,,8.575,8.575,,,,,,8.575,depth model from Peterson and Lisiecki 2018,
SU90-39,,,,8.595,8.595,,,,,,8.595,depth model from Peterson and Lisiecki 2018,
SU90-39,,,,8.615,8.615,,,,,,8.615,depth model from Peterson and Lisiecki 2018,
SU90-39,,,,8.64,8.64,,,,,,8.64,depth model from Peterson and Lisiecki 2018,
SU90-39,,,,8.66,8.66,,,,,,8.66,depth model from Peterson and Lisiecki 2018,
SU90-39,,,,8.68,8.68,,,,,,8.68,depth model from Peterson and Lisiecki 2018,
SU90-39,,,,8.705,8.705,,,,,,8.705,depth model from Peterson and Lisiecki 2018,
SU90-39,,,,8.73,8.73,,,,,,8.73,depth model from Peterson and Lisiecki 2018,
SU90-39,,,,8.75,8.75,,,,,,8.75,depth model from Peterson and Lisiecki 2018,
SU90-39,,,,8.8,8.8,,,,,,8.8,depth model from Peterson and Lisiecki 2018,
SU90-39,,,,8.89,8.89,,,,,,8.89,depth model from Peterson and Lisiecki 2018,
SU90-39,,,,8.91,8.91,,,,,,8.91,depth model from Peterson and Lisiecki 2018,
SU90-39,,,,8.935,8.935,,,,,,8.935,depth model from Peterson and Lisiecki 2018,
SU90-39,,,,8.955,8.955,,,,,,8.955,depth model from Peterson and Lisiecki 2018,
SU90-39,,,,8.98,8.98,,,,,,8.98,depth model from Peterson and Lisiecki 2018,
