Site,Sample Label,archival_depth (m),d13C (VPDB),d18O (VPDB),d13C_corrected (PDB),d18O_corrected (PDB),Number of shells,Minimum mesh size (um),Maximum mesh size (um),Taxon,Taxon_flag,Taxon_note1,Taxon_note2,Taxon_note3,Additional_note,Publication source,Original Reference,File Name,Data source,quality control
CH75-04,,0.0,0.86,2.82,0.86,2.82,,,,Cibicidoides spp.,7,,,,,Repschlaeger et al. 2021 compilation,"Curry, William B; Duplessy, Jean-Claude; Labeyrie, Laurent D; Shackleton, Nicholas J (1988):(Appendix 1) Stable carbon and oxygen isotope ratios of Cibicidoides spp. from sediment core CH75-03. PANGAEA, https://doi.org/10.1594/PANGAEA.52326",,"PANGAEA, https://doi.org/10.1594/PANGAEA.52326",1
CH75-04,,0.125,0.48,3.2,0.48,3.2,,,,Cibicidoides spp.,7,,,,,Repschlaeger et al. 2021 compilation,"Curry, William B; Duplessy, Jean-Claude; Labeyrie, Laurent D; Shackleton, Nicholas J (1988):(Appendix 1) Stable carbon and oxygen isotope ratios of Cibicidoides spp. from sediment core CH75-03. PANGAEA, https://doi.org/10.1594/PANGAEA.52326",,"PANGAEA, https://doi.org/10.1594/PANGAEA.52326",1
CH75-04,,0.425,0.56,3.07,0.56,3.07,,,,Cibicidoides spp.,7,,,,,Repschlaeger et al. 2021 compilation,"Curry, William B; Duplessy, Jean-Claude; Labeyrie, Laurent D; Shackleton, Nicholas J (1988):(Appendix 1) Stable carbon and oxygen isotope ratios of Cibicidoides spp. from sediment core CH75-03. PANGAEA, https://doi.org/10.1594/PANGAEA.52326",,"PANGAEA, https://doi.org/10.1594/PANGAEA.52326",1
CH75-04,,0.525,0.52,3.31,0.52,3.31,,,,Cibicidoides spp.,7,,,,,Repschlaeger et al. 2021 compilation,"Curry, William B; Duplessy, Jean-Claude; Labeyrie, Laurent D; Shackleton, Nicholas J (1988):(Appendix 1) Stable carbon and oxygen isotope ratios of Cibicidoides spp. from sediment core CH75-03. PANGAEA, https://doi.org/10.1594/PANGAEA.52326",,"PANGAEA, https://doi.org/10.1594/PANGAEA.52326",1
CH75-04,,0.613,0.62,3.75,0.62,3.75,,,,Cibicidoides spp.,7,,,,,Repschlaeger et al. 2021 compilation,"Curry, William B; Duplessy, Jean-Claude; Labeyrie, Laurent D; Shackleton, Nicholas J (1988):(Appendix 1) Stable carbon and oxygen isotope ratios of Cibicidoides spp. from sediment core CH75-03. PANGAEA, https://doi.org/10.1594/PANGAEA.52326",,"PANGAEA, https://doi.org/10.1594/PANGAEA.52326",1
CH75-04,,0.637,0.49,3.84,0.49,3.84,,,,Cibicidoides spp.,7,,,,,Repschlaeger et al. 2021 compilation,"Curry, William B; Duplessy, Jean-Claude; Labeyrie, Laurent D; Shackleton, Nicholas J (1988):(Appendix 1) Stable carbon and oxygen isotope ratios of Cibicidoides spp. from sediment core CH75-03. PANGAEA, https://doi.org/10.1594/PANGAEA.52326",,"PANGAEA, https://doi.org/10.1594/PANGAEA.52326",1
CH75-04,,0.687,0.51,3.14,0.51,3.14,,,,Cibicidoides spp.,7,,,,,Repschlaeger et al. 2021 compilation,"Curry, William B; Duplessy, Jean-Claude; Labeyrie, Laurent D; Shackleton, Nicholas J (1988):(Appendix 1) Stable carbon and oxygen isotope ratios of Cibicidoides spp. from sediment core CH75-03. PANGAEA, https://doi.org/10.1594/PANGAEA.52326",,"PANGAEA, https://doi.org/10.1594/PANGAEA.52326",1
CH75-04,,0.962,0.08,4.6,0.08,4.6,,,,Cibicidoides spp.,7,,,,,Repschlaeger et al. 2021 compilation,"Curry, William B; Duplessy, Jean-Claude; Labeyrie, Laurent D; Shackleton, Nicholas J (1988):(Appendix 1) Stable carbon and oxygen isotope ratios of Cibicidoides spp. from sediment core CH75-03. PANGAEA, https://doi.org/10.1594/PANGAEA.52326",,"PANGAEA, https://doi.org/10.1594/PANGAEA.52326",1
CH75-04,,1.087,-0.03,4.48,-0.03,4.48,,,,Cibicidoides spp.,7,,,,,Repschlaeger et al. 2021 compilation,"Curry, William B; Duplessy, Jean-Claude; Labeyrie, Laurent D; Shackleton, Nicholas J (1988):(Appendix 1) Stable carbon and oxygen isotope ratios of Cibicidoides spp. from sediment core CH75-03. PANGAEA, https://doi.org/10.1594/PANGAEA.52326",,"PANGAEA, https://doi.org/10.1594/PANGAEA.52326",1
CH75-04,,1.175,-0.02,4.48,-0.02,4.48,,,,Cibicidoides spp.,7,,,,,Repschlaeger et al. 2021 compilation,"Curry, William B; Duplessy, Jean-Claude; Labeyrie, Laurent D; Shackleton, Nicholas J (1988):(Appendix 1) Stable carbon and oxygen isotope ratios of Cibicidoides spp. from sediment core CH75-03. PANGAEA, https://doi.org/10.1594/PANGAEA.52326",,"PANGAEA, https://doi.org/10.1594/PANGAEA.52326",1
