Site,Sample_label,hole_label,section_label,published_archival_depth (m),current_depth_model (m),current_depth_model_note,ODP SAMPLE Inventory:: DEPTH(mid) (m),ODP SAMPLE Inventory:: MBSF(mid) (m),ODP SAMPLE Inventory:: MCD(mid) (m),ODP SAMPLE Inventory:: CCSF(mid) (m),depth_model_1 (m),depth_model_note_1,older_depth_model_2 (m)
V24-109,,,,1.45,1.45,,,,,,1.45,depth model from Peterson and Lisiecki 2018,
V24-109,,,,1.475,1.475,,,,,,1.475,depth model from Peterson and Lisiecki 2018,
V24-109,,,,1.525,1.525,,,,,,1.525,depth model from Peterson and Lisiecki 2018,
V24-109,,,,1.55,1.55,,,,,,1.55,depth model from Peterson and Lisiecki 2018,
V24-109,,,,1.575,1.575,,,,,,1.575,depth model from Peterson and Lisiecki 2018,
V24-109,,,,1.6,1.6,,,,,,1.6,depth model from Peterson and Lisiecki 2018,
V24-109,,,,1.625,1.625,,,,,,1.625,depth model from Peterson and Lisiecki 2018,
V24-109,,,,1.65,1.65,,,,,,1.65,depth model from Peterson and Lisiecki 2018,
V24-109,,,,1.675,1.675,,,,,,1.675,depth model from Peterson and Lisiecki 2018,
V24-109,,,,1.7,1.7,,,,,,1.7,depth model from Peterson and Lisiecki 2018,
V24-109,,,,1.725,1.725,,,,,,1.725,depth model from Peterson and Lisiecki 2018,
V24-109,,,,1.75,1.75,,,,,,1.75,depth model from Peterson and Lisiecki 2018,
V24-109,,,,1.775,1.775,,,,,,1.775,depth model from Peterson and Lisiecki 2018,
V24-109,,,,1.8,1.8,,,,,,1.8,depth model from Peterson and Lisiecki 2018,
V24-109,,,,1.825,1.825,,,,,,1.825,depth model from Peterson and Lisiecki 2018,
V24-109,,,,1.85,1.85,,,,,,1.85,depth model from Peterson and Lisiecki 2018,
V24-109,,,,1.875,1.875,,,,,,1.875,depth model from Peterson and Lisiecki 2018,
V24-109,,,,1.9,1.9,,,,,,1.9,depth model from Peterson and Lisiecki 2018,
V24-109,,,,1.925,1.925,,,,,,1.925,depth model from Peterson and Lisiecki 2018,
V24-109,,,,1.95,1.95,,,,,,1.95,depth model from Peterson and Lisiecki 2018,
V24-109,,,,1.975,1.975,,,,,,1.975,depth model from Peterson and Lisiecki 2018,
V24-109,,,,2.0,2.0,,,,,,2.0,depth model from Peterson and Lisiecki 2018,
V24-109,,,,2.025,2.025,,,,,,2.025,depth model from Peterson and Lisiecki 2018,
V24-109,,,,2.075,2.075,,,,,,2.075,depth model from Peterson and Lisiecki 2018,
V24-109,,,,2.0751,2.0751,,,,,,2.0751,depth model from Peterson and Lisiecki 2018,
V24-109,,,,2.1,2.1,,,,,,2.1,depth model from Peterson and Lisiecki 2018,
V24-109,,,,2.1001,2.1001,,,,,,2.1001,depth model from Peterson and Lisiecki 2018,
