Site,Sample Label,archival_depth (m),d13C (VPDB),d18O (VPDB),d13C_corrected (PDB),d18O_corrected (PDB),Number of shells,Minimum mesh size (um),Maximum mesh size (um),Taxon,Taxon_flag,Taxon_note1,Taxon_note2,Taxon_note3,Additional_note,Publication source,Original Reference,File Name,Data source,quality control
V26-176_b,,0,1.15,2.54,1.15,2.54,,,,Cibicidoides wuellerstorfi/Cibicidoides kullenbergi,1,,,,,Repschlaeger et al. 2021 compilation,"Curry, William B; Duplessy, Jean-Claude; Labeyrie, Laurent D; Shackleton, Nicholas J (1988):(Appendix 1) Stable carbon and oxygen isotope ratios of Cibicidoides spp. from sediment core V26-176. PANGAEA, https://doi.org/10.1594/PANGAEA.52278; age model (CLIMAP Project Members (2004): Radiocarbon age determinations on sediment core V26-176. PANGAEA, https://doi.org/10.1594/PANGAEA.186283)",,"PANGAEA, https://doi.org/10.1594/PANGAEA.52278, age model: PANGAEA, https://doi.org/10.1594/PANGAEA.186283)",1
V26-176_b,,0.1,1.04,2.53,1.04,2.53,,,,Cibicidoides wuellerstorfi/Cibicidoides kullenbergi,1,,,,,Repschlaeger et al. 2021 compilation,"Curry, William B; Duplessy, Jean-Claude; Labeyrie, Laurent D; Shackleton, Nicholas J (1988):(Appendix 1) Stable carbon and oxygen isotope ratios of Cibicidoides spp. from sediment core V26-176. PANGAEA, https://doi.org/10.1594/PANGAEA.52278; age model (CLIMAP Project Members (2004): Radiocarbon age determinations on sediment core V26-176. PANGAEA, https://doi.org/10.1594/PANGAEA.186283)",,"PANGAEA, https://doi.org/10.1594/PANGAEA.52278, age model: PANGAEA, https://doi.org/10.1594/PANGAEA.186283)",1
V26-176_b,,0.2,1.14,3.05,1.14,3.05,,,,Cibicidoides wuellerstorfi/Cibicidoides kullenbergi,1,,,,,Repschlaeger et al. 2021 compilation,"Curry, William B; Duplessy, Jean-Claude; Labeyrie, Laurent D; Shackleton, Nicholas J (1988):(Appendix 1) Stable carbon and oxygen isotope ratios of Cibicidoides spp. from sediment core V26-176. PANGAEA, https://doi.org/10.1594/PANGAEA.52278; age model (CLIMAP Project Members (2004): Radiocarbon age determinations on sediment core V26-176. PANGAEA, https://doi.org/10.1594/PANGAEA.186283)",,"PANGAEA, https://doi.org/10.1594/PANGAEA.52278, age model: PANGAEA, https://doi.org/10.1594/PANGAEA.186283)",1
V26-176_b,,0.3,0.84,2.72,0.84,2.72,,,,Cibicidoides wuellerstorfi/Cibicidoides kullenbergi,1,,,,,Repschlaeger et al. 2021 compilation,"Curry, William B; Duplessy, Jean-Claude; Labeyrie, Laurent D; Shackleton, Nicholas J (1988):(Appendix 1) Stable carbon and oxygen isotope ratios of Cibicidoides spp. from sediment core V26-176. PANGAEA, https://doi.org/10.1594/PANGAEA.52278; age model (CLIMAP Project Members (2004): Radiocarbon age determinations on sediment core V26-176. PANGAEA, https://doi.org/10.1594/PANGAEA.186283)",,"PANGAEA, https://doi.org/10.1594/PANGAEA.52278, age model: PANGAEA, https://doi.org/10.1594/PANGAEA.186283)",1
V26-176_b,,0.39,0.62,2.69,0.62,2.69,,,,Cibicidoides wuellerstorfi/Cibicidoides kullenbergi,1,,,,,Repschlaeger et al. 2021 compilation,"Curry, William B; Duplessy, Jean-Claude; Labeyrie, Laurent D; Shackleton, Nicholas J (1988):(Appendix 1) Stable carbon and oxygen isotope ratios of Cibicidoides spp. from sediment core V26-176. PANGAEA, https://doi.org/10.1594/PANGAEA.52278; age model (CLIMAP Project Members (2004): Radiocarbon age determinations on sediment core V26-176. PANGAEA, https://doi.org/10.1594/PANGAEA.186283)",,"PANGAEA, https://doi.org/10.1594/PANGAEA.52278, age model: PANGAEA, https://doi.org/10.1594/PANGAEA.186283)",1
V26-176_b,,0.5,0.63,2.48,0.63,2.48,,,,Cibicidoides wuellerstorfi/Cibicidoides kullenbergi,1,,,,,Repschlaeger et al. 2021 compilation,"Curry, William B; Duplessy, Jean-Claude; Labeyrie, Laurent D; Shackleton, Nicholas J (1988):(Appendix 1) Stable carbon and oxygen isotope ratios of Cibicidoides spp. from sediment core V26-176. PANGAEA, https://doi.org/10.1594/PANGAEA.52278; age model (CLIMAP Project Members (2004): Radiocarbon age determinations on sediment core V26-176. PANGAEA, https://doi.org/10.1594/PANGAEA.186283)",,"PANGAEA, https://doi.org/10.1594/PANGAEA.52278, age model: PANGAEA, https://doi.org/10.1594/PANGAEA.186283)",1
V26-176_b,,0.6,0.9,2.73,0.9,2.73,,,,Cibicidoides wuellerstorfi/Cibicidoides kullenbergi,1,,,,,Repschlaeger et al. 2021 compilation,"Curry, William B; Duplessy, Jean-Claude; Labeyrie, Laurent D; Shackleton, Nicholas J (1988):(Appendix 1) Stable carbon and oxygen isotope ratios of Cibicidoides spp. from sediment core V26-176. PANGAEA, https://doi.org/10.1594/PANGAEA.52278; age model (CLIMAP Project Members (2004): Radiocarbon age determinations on sediment core V26-176. PANGAEA, https://doi.org/10.1594/PANGAEA.186283)",,"PANGAEA, https://doi.org/10.1594/PANGAEA.52278, age model: PANGAEA, https://doi.org/10.1594/PANGAEA.186283)",1
V26-176_b,,0.77,0.66,2.88,0.66,2.88,,,,Cibicidoides wuellerstorfi/Cibicidoides kullenbergi,1,,,,,Repschlaeger et al. 2021 compilation,"Curry, William B; Duplessy, Jean-Claude; Labeyrie, Laurent D; Shackleton, Nicholas J (1988):(Appendix 1) Stable carbon and oxygen isotope ratios of Cibicidoides spp. from sediment core V26-176. PANGAEA, https://doi.org/10.1594/PANGAEA.52278; age model (CLIMAP Project Members (2004): Radiocarbon age determinations on sediment core V26-176. PANGAEA, https://doi.org/10.1594/PANGAEA.186283)",,"PANGAEA, https://doi.org/10.1594/PANGAEA.52278, age model: PANGAEA, https://doi.org/10.1594/PANGAEA.186283)",1
V26-176_b,,1,1.45,2.8,1.45,2.8,,,,Cibicidoides wuellerstorfi/Cibicidoides kullenbergi,1,,,,,Repschlaeger et al. 2021 compilation,"Curry, William B; Duplessy, Jean-Claude; Labeyrie, Laurent D; Shackleton, Nicholas J (1988):(Appendix 1) Stable carbon and oxygen isotope ratios of Cibicidoides spp. from sediment core V26-176. PANGAEA, https://doi.org/10.1594/PANGAEA.52278; age model (CLIMAP Project Members (2004): Radiocarbon age determinations on sediment core V26-176. PANGAEA, https://doi.org/10.1594/PANGAEA.186283)",,"PANGAEA, https://doi.org/10.1594/PANGAEA.52278, age model: PANGAEA, https://doi.org/10.1594/PANGAEA.186283)",1
V26-176_b,,1.1,1.16,2.96,1.16,2.96,,,,Cibicidoides wuellerstorfi/Cibicidoides kullenbergi,1,,,,,Repschlaeger et al. 2021 compilation,"Curry, William B; Duplessy, Jean-Claude; Labeyrie, Laurent D; Shackleton, Nicholas J (1988):(Appendix 1) Stable carbon and oxygen isotope ratios of Cibicidoides spp. from sediment core V26-176. PANGAEA, https://doi.org/10.1594/PANGAEA.52278; age model (CLIMAP Project Members (2004): Radiocarbon age determinations on sediment core V26-176. PANGAEA, https://doi.org/10.1594/PANGAEA.186283)",,"PANGAEA, https://doi.org/10.1594/PANGAEA.52278, age model: PANGAEA, https://doi.org/10.1594/PANGAEA.186283)",1
