Site,Sample Label,archival_depth (m),d13C (VPDB),d18O (VPDB),d13C_corrected (PDB),d18O_corrected (PDB),Number of shells,Minimum mesh size (um),Maximum mesh size (um),Taxon,Taxon_flag,Taxon_note1,Taxon_note2,Taxon_note3,Additional_note,Publication source,Original Reference,File Name,Data source,quality control,
GIK15612_2,,0.29,0.6,3.36,0.6,3.36,5-7,315,400,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Sarnthein, M., Winn, K., Jung, S. J. A., Duplessy, J.-C., Labeyrie, L., Erlenkeuser, H. and Ganssen, G.: Changes in East Atlantic Deepwater Circulation over the last 30,000 years: Eight time slice reconstructions, Paleoceanography, 9(2), 209–267, doi:10.1029/93pa03301, 1994. AND Cannot get citation for doi: 10.2312/reports-gpi.1998.90, probably a report.",,https://doi.pangaea.de/10.1594/PANGAEA.54369, https://doi.pangaea.de/10.1594/PANGAEA.55942,1
GIK15612_2,,0.3175,0.82,3.34,0.82,3.34,5-7,315,400,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Sarnthein, M., Winn, K., Jung, S. J. A., Duplessy, J.-C., Labeyrie, L., Erlenkeuser, H. and Ganssen, G.: Changes in East Atlantic Deepwater Circulation over the last 30,000 years: Eight time slice reconstructions, Paleoceanography, 9(2), 209–267, doi:10.1029/93pa03301, 1994. AND Cannot get citation for doi: 10.2312/reports-gpi.1998.90, probably a report.",,https://doi.pangaea.de/10.1594/PANGAEA.54369, https://doi.pangaea.de/10.1594/PANGAEA.55942,1
GIK15612_2,,0.33,0.97,3.31,0.97,3.31,5-7,315,400,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Sarnthein, M., Winn, K., Jung, S. J. A., Duplessy, J.-C., Labeyrie, L., Erlenkeuser, H. and Ganssen, G.: Changes in East Atlantic Deepwater Circulation over the last 30,000 years: Eight time slice reconstructions, Paleoceanography, 9(2), 209–267, doi:10.1029/93pa03301, 1994. AND Cannot get citation for doi: 10.2312/reports-gpi.1998.90, probably a report.",,https://doi.pangaea.de/10.1594/PANGAEA.54369, https://doi.pangaea.de/10.1594/PANGAEA.55942,1
GIK15612_2,,0.35,0.95,3.42,0.95,3.42,5-7,315,400,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Sarnthein, M., Winn, K., Jung, S. J. A., Duplessy, J.-C., Labeyrie, L., Erlenkeuser, H. and Ganssen, G.: Changes in East Atlantic Deepwater Circulation over the last 30,000 years: Eight time slice reconstructions, Paleoceanography, 9(2), 209–267, doi:10.1029/93pa03301, 1994. AND Cannot get citation for doi: 10.2312/reports-gpi.1998.90, probably a report.",,https://doi.pangaea.de/10.1594/PANGAEA.54369, https://doi.pangaea.de/10.1594/PANGAEA.55942,1
GIK15612_2,,0.37,0.65,3.36,0.65,3.36,5-7,315,400,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Sarnthein, M., Winn, K., Jung, S. J. A., Duplessy, J.-C., Labeyrie, L., Erlenkeuser, H. and Ganssen, G.: Changes in East Atlantic Deepwater Circulation over the last 30,000 years: Eight time slice reconstructions, Paleoceanography, 9(2), 209–267, doi:10.1029/93pa03301, 1994. AND Cannot get citation for doi: 10.2312/reports-gpi.1998.90, probably a report.",,https://doi.pangaea.de/10.1594/PANGAEA.54369, https://doi.pangaea.de/10.1594/PANGAEA.55942,1
GIK15612_2,,0.39,0.62,3.2,0.62,3.2,5-7,315,400,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Sarnthein, M., Winn, K., Jung, S. J. A., Duplessy, J.-C., Labeyrie, L., Erlenkeuser, H. and Ganssen, G.: Changes in East Atlantic Deepwater Circulation over the last 30,000 years: Eight time slice reconstructions, Paleoceanography, 9(2), 209–267, doi:10.1029/93pa03301, 1994. AND Cannot get citation for doi: 10.2312/reports-gpi.1998.90, probably a report.",,https://doi.pangaea.de/10.1594/PANGAEA.54369, https://doi.pangaea.de/10.1594/PANGAEA.55942,1
GIK15612_2,,0.43,0.92,2.64,0.92,2.64,5-7,315,400,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Sarnthein, M., Winn, K., Jung, S. J. A., Duplessy, J.-C., Labeyrie, L., Erlenkeuser, H. and Ganssen, G.: Changes in East Atlantic Deepwater Circulation over the last 30,000 years: Eight time slice reconstructions, Paleoceanography, 9(2), 209–267, doi:10.1029/93pa03301, 1994. AND Cannot get citation for doi: 10.2312/reports-gpi.1998.90, probably a report.",,https://doi.pangaea.de/10.1594/PANGAEA.54369, https://doi.pangaea.de/10.1594/PANGAEA.55942,1
GIK15612_2,,0.45,0.52,3.94,0.52,3.94,5-7,315,400,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Sarnthein, M., Winn, K., Jung, S. J. A., Duplessy, J.-C., Labeyrie, L., Erlenkeuser, H. and Ganssen, G.: Changes in East Atlantic Deepwater Circulation over the last 30,000 years: Eight time slice reconstructions, Paleoceanography, 9(2), 209–267, doi:10.1029/93pa03301, 1994. AND Cannot get citation for doi: 10.2312/reports-gpi.1998.90, probably a report.",,https://doi.pangaea.de/10.1594/PANGAEA.54369, https://doi.pangaea.de/10.1594/PANGAEA.55942,1
GIK15612_2,,0.47,0.68,4.22,0.68,4.22,5-7,315,400,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Sarnthein, M., Winn, K., Jung, S. J. A., Duplessy, J.-C., Labeyrie, L., Erlenkeuser, H. and Ganssen, G.: Changes in East Atlantic Deepwater Circulation over the last 30,000 years: Eight time slice reconstructions, Paleoceanography, 9(2), 209–267, doi:10.1029/93pa03301, 1994. AND Cannot get citation for doi: 10.2312/reports-gpi.1998.90, probably a report.",,https://doi.pangaea.de/10.1594/PANGAEA.54369, https://doi.pangaea.de/10.1594/PANGAEA.55942,1
GIK15612_2,,0.49,0.62,4.27,0.62,4.27,5-7,315,400,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Sarnthein, M., Winn, K., Jung, S. J. A., Duplessy, J.-C., Labeyrie, L., Erlenkeuser, H. and Ganssen, G.: Changes in East Atlantic Deepwater Circulation over the last 30,000 years: Eight time slice reconstructions, Paleoceanography, 9(2), 209–267, doi:10.1029/93pa03301, 1994. AND Cannot get citation for doi: 10.2312/reports-gpi.1998.90, probably a report.",,https://doi.pangaea.de/10.1594/PANGAEA.54369, https://doi.pangaea.de/10.1594/PANGAEA.55942,1
