Site,Sample Label,archival_depth (m),d13C (VPDB),d18O (VPDB),d13C_corrected (PDB),d18O_corrected (PDB),Number of shells,Minimum mesh size (um),Maximum mesh size (um),Taxon,Taxon_flag,Taxon_note1,Taxon_note2,Taxon_note3,Additional_note,Publication source,Original Reference,File Name,Data source,quality control
BOFS26_6k,,0.01,0.95,2.47,0.95,2.47,5-20,250,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Beveridge, N et al. (1995): Deep thermohaline circulation in the low-latitude Atlantic during the last glacial. Paleoceanography, 10(3), 643-660, https://doi.org/10.1029/94PA03353",,"Beveridge, N; Elderfield, Henry; Shackleton, Nicholas J (1995): (Table 3f) Stable isotope analysis on sediment core BOFS26/6K. PANGAEA, https://doi.org/10.1594/PANGAEA.59502,",1
BOFS26_6k,,0.05,1.06,2.51,1.06,2.51,5-20,250,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Beveridge, N et al. (1995): Deep thermohaline circulation in the low-latitude Atlantic during the last glacial. Paleoceanography, 10(3), 643-660, https://doi.org/10.1029/94PA03353",,"Beveridge, N; Elderfield, Henry; Shackleton, Nicholas J (1995): (Table 3f) Stable isotope analysis on sediment core BOFS26/6K. PANGAEA, https://doi.org/10.1594/PANGAEA.59502,",1
BOFS26_6k,,0.07,1.05,2.72,1.05,2.72,5-20,250,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Beveridge, N et al. (1995): Deep thermohaline circulation in the low-latitude Atlantic during the last glacial. Paleoceanography, 10(3), 643-660, https://doi.org/10.1029/94PA03353",,"Beveridge, N; Elderfield, Henry; Shackleton, Nicholas J (1995): (Table 3f) Stable isotope analysis on sediment core BOFS26/6K. PANGAEA, https://doi.org/10.1594/PANGAEA.59502,",1
BOFS26_6k,,0.09,0.94,2.76,0.94,2.76,5-20,250,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Beveridge, N et al. (1995): Deep thermohaline circulation in the low-latitude Atlantic during the last glacial. Paleoceanography, 10(3), 643-660, https://doi.org/10.1029/94PA03353",,"Beveridge, N; Elderfield, Henry; Shackleton, Nicholas J (1995): (Table 3f) Stable isotope analysis on sediment core BOFS26/6K. PANGAEA, https://doi.org/10.1594/PANGAEA.59502,",1
BOFS26_6k,,0.13,0.92,3.24,0.92,3.24,5-20,250,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Beveridge, N et al. (1995): Deep thermohaline circulation in the low-latitude Atlantic during the last glacial. Paleoceanography, 10(3), 643-660, https://doi.org/10.1029/94PA03353",,"Beveridge, N; Elderfield, Henry; Shackleton, Nicholas J (1995): (Table 3f) Stable isotope analysis on sediment core BOFS26/6K. PANGAEA, https://doi.org/10.1594/PANGAEA.59502,",1
BOFS26_6k,,0.15,0.83,2.97,0.83,2.97,5-20,250,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Beveridge, N et al. (1995): Deep thermohaline circulation in the low-latitude Atlantic during the last glacial. Paleoceanography, 10(3), 643-660, https://doi.org/10.1029/94PA03353",,"Beveridge, N; Elderfield, Henry; Shackleton, Nicholas J (1995): (Table 3f) Stable isotope analysis on sediment core BOFS26/6K. PANGAEA, https://doi.org/10.1594/PANGAEA.59502,",1
BOFS26_6k,,0.17,0.61,3.12,0.61,3.12,5-20,250,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Beveridge, N et al. (1995): Deep thermohaline circulation in the low-latitude Atlantic during the last glacial. Paleoceanography, 10(3), 643-660, https://doi.org/10.1029/94PA03353",,"Beveridge, N; Elderfield, Henry; Shackleton, Nicholas J (1995): (Table 3f) Stable isotope analysis on sediment core BOFS26/6K. PANGAEA, https://doi.org/10.1594/PANGAEA.59502,",1
BOFS26_6k,,0.19,0.7,3.44,0.7,3.44,5-20,250,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Beveridge, N et al. (1995): Deep thermohaline circulation in the low-latitude Atlantic during the last glacial. Paleoceanography, 10(3), 643-660, https://doi.org/10.1029/94PA03353",,"Beveridge, N; Elderfield, Henry; Shackleton, Nicholas J (1995): (Table 3f) Stable isotope analysis on sediment core BOFS26/6K. PANGAEA, https://doi.org/10.1594/PANGAEA.59502,",1
BOFS26_6k,,0.21,0.6,3.22,0.6,3.22,5-20,250,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Beveridge, N et al. (1995): Deep thermohaline circulation in the low-latitude Atlantic during the last glacial. Paleoceanography, 10(3), 643-660, https://doi.org/10.1029/94PA03353",,"Beveridge, N; Elderfield, Henry; Shackleton, Nicholas J (1995): (Table 3f) Stable isotope analysis on sediment core BOFS26/6K. PANGAEA, https://doi.org/10.1594/PANGAEA.59502,",1
BOFS26_6k,,0.23,0.7,3.44,0.7,3.44,5-20,250,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Beveridge, N et al. (1995): Deep thermohaline circulation in the low-latitude Atlantic during the last glacial. Paleoceanography, 10(3), 643-660, https://doi.org/10.1029/94PA03353",,"Beveridge, N; Elderfield, Henry; Shackleton, Nicholas J (1995): (Table 3f) Stable isotope analysis on sediment core BOFS26/6K. PANGAEA, https://doi.org/10.1594/PANGAEA.59502,",1
BOFS26_6k,,0.25,0.37,3.85,0.37,3.85,5-20,250,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Beveridge, N et al. (1995): Deep thermohaline circulation in the low-latitude Atlantic during the last glacial. Paleoceanography, 10(3), 643-660, https://doi.org/10.1029/94PA03353",,"Beveridge, N; Elderfield, Henry; Shackleton, Nicholas J (1995): (Table 3f) Stable isotope analysis on sediment core BOFS26/6K. PANGAEA, https://doi.org/10.1594/PANGAEA.59502,",1
BOFS26_6k,,0.27,0.15,4.04,0.15,4.04,5-20,250,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Beveridge, N et al. (1995): Deep thermohaline circulation in the low-latitude Atlantic during the last glacial. Paleoceanography, 10(3), 643-660, https://doi.org/10.1029/94PA03353",,"Beveridge, N; Elderfield, Henry; Shackleton, Nicholas J (1995): (Table 3f) Stable isotope analysis on sediment core BOFS26/6K. PANGAEA, https://doi.org/10.1594/PANGAEA.59502,",1
BOFS26_6k,,0.29,0.16,4.07,0.16,4.07,5-20,250,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Beveridge, N et al. (1995): Deep thermohaline circulation in the low-latitude Atlantic during the last glacial. Paleoceanography, 10(3), 643-660, https://doi.org/10.1029/94PA03353",,"Beveridge, N; Elderfield, Henry; Shackleton, Nicholas J (1995): (Table 3f) Stable isotope analysis on sediment core BOFS26/6K. PANGAEA, https://doi.org/10.1594/PANGAEA.59502,",1
BOFS26_6k,,0.31,0.27,3.81,0.27,3.81,5-20,250,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Beveridge, N et al. (1995): Deep thermohaline circulation in the low-latitude Atlantic during the last glacial. Paleoceanography, 10(3), 643-660, https://doi.org/10.1029/94PA03353",,"Beveridge, N; Elderfield, Henry; Shackleton, Nicholas J (1995): (Table 3f) Stable isotope analysis on sediment core BOFS26/6K. PANGAEA, https://doi.org/10.1594/PANGAEA.59502,",1
BOFS26_6k,,0.33,0.26,3.94,0.26,3.94,5-20,250,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Beveridge, N et al. (1995): Deep thermohaline circulation in the low-latitude Atlantic during the last glacial. Paleoceanography, 10(3), 643-660, https://doi.org/10.1029/94PA03353",,"Beveridge, N; Elderfield, Henry; Shackleton, Nicholas J (1995): (Table 3f) Stable isotope analysis on sediment core BOFS26/6K. PANGAEA, https://doi.org/10.1594/PANGAEA.59502,",1
BOFS26_6k,,0.35,0.47,3.9,0.47,3.9,5-20,250,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Beveridge, N et al. (1995): Deep thermohaline circulation in the low-latitude Atlantic during the last glacial. Paleoceanography, 10(3), 643-660, https://doi.org/10.1029/94PA03353",,"Beveridge, N; Elderfield, Henry; Shackleton, Nicholas J (1995): (Table 3f) Stable isotope analysis on sediment core BOFS26/6K. PANGAEA, https://doi.org/10.1594/PANGAEA.59502,",1
BOFS26_6k,,0.37,0.47,4,0.47,4,5-20,250,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Beveridge, N et al. (1995): Deep thermohaline circulation in the low-latitude Atlantic during the last glacial. Paleoceanography, 10(3), 643-660, https://doi.org/10.1029/94PA03353",,"Beveridge, N; Elderfield, Henry; Shackleton, Nicholas J (1995): (Table 3f) Stable isotope analysis on sediment core BOFS26/6K. PANGAEA, https://doi.org/10.1594/PANGAEA.59502,",1
BOFS26_6k,,0.39,0.37,3.81,0.37,3.81,5-20,250,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Beveridge, N et al. (1995): Deep thermohaline circulation in the low-latitude Atlantic during the last glacial. Paleoceanography, 10(3), 643-660, https://doi.org/10.1029/94PA03353",,"Beveridge, N; Elderfield, Henry; Shackleton, Nicholas J (1995): (Table 3f) Stable isotope analysis on sediment core BOFS26/6K. PANGAEA, https://doi.org/10.1594/PANGAEA.59502,",1
