Site,Sample Label,archival_depth (m),d13C (VPDB),d18O (VPDB),d13C_corrected (PDB),d18O_corrected (PDB),Number of shells,Minimum mesh size (um),Maximum mesh size (um),Taxon,Taxon_flag,Taxon_note1,Taxon_note2,Taxon_note3,Additional_note,Publication source,Original Reference,File Name,Data source,quality control
WIND-28K,,0,0.56,2.75,0.56,2.75,,250,355,Cibicidoides wuellerstorfi,1,,,,,,"McCave, I Nick; Kiefer, T; Thornalley, David JR; Elderfield, Henry (2005): Deep flow in the Madagascar-Mascarene Basin over the last 150000 years. Philosophical Transactions of the Royal Society A-Mathematical Physical and Engineering Sciences, 363(1826), 81-99, doi:10.1098/rsta.2004.1480",,doi:10.1594/PANGAEA.835176,1
WIND-28K,,0.04,0.46,3.13,0.46,3.13,,250,355,Cibicidoides wuellerstorfi,1,,,,,,"McCave, I Nick; Kiefer, T; Thornalley, David JR; Elderfield, Henry (2005): Deep flow in the Madagascar-Mascarene Basin over the last 150000 years. Philosophical Transactions of the Royal Society A-Mathematical Physical and Engineering Sciences, 363(1826), 81-99, doi:10.1098/rsta.2004.1480",,doi:10.1594/PANGAEA.835176,1
WIND-28K,,0.08,0.48,2.89,0.48,2.89,,250,355,Cibicidoides wuellerstorfi,1,,,,,,"McCave, I Nick; Kiefer, T; Thornalley, David JR; Elderfield, Henry (2005): Deep flow in the Madagascar-Mascarene Basin over the last 150000 years. Philosophical Transactions of the Royal Society A-Mathematical Physical and Engineering Sciences, 363(1826), 81-99, doi:10.1098/rsta.2004.1480",,doi:10.1594/PANGAEA.835176,1
WIND-28K,,0.12,0.65,2.55,0.65,2.55,,250,355,Cibicidoides wuellerstorfi,1,,,,,,"McCave, I Nick; Kiefer, T; Thornalley, David JR; Elderfield, Henry (2005): Deep flow in the Madagascar-Mascarene Basin over the last 150000 years. Philosophical Transactions of the Royal Society A-Mathematical Physical and Engineering Sciences, 363(1826), 81-99, doi:10.1098/rsta.2004.1480",,doi:10.1594/PANGAEA.835176,1
WIND-28K,,0.16,0.73,2.87,0.73,2.87,,250,355,Cibicidoides wuellerstorfi,1,,,,,,"McCave, I Nick; Kiefer, T; Thornalley, David JR; Elderfield, Henry (2005): Deep flow in the Madagascar-Mascarene Basin over the last 150000 years. Philosophical Transactions of the Royal Society A-Mathematical Physical and Engineering Sciences, 363(1826), 81-99, doi:10.1098/rsta.2004.1480",,doi:10.1594/PANGAEA.835176,1
WIND-28K,,0.2,0.18,3.41,0.18,3.41,,250,355,Cibicidoides wuellerstorfi,1,,,,,,"McCave, I Nick; Kiefer, T; Thornalley, David JR; Elderfield, Henry (2005): Deep flow in the Madagascar-Mascarene Basin over the last 150000 years. Philosophical Transactions of the Royal Society A-Mathematical Physical and Engineering Sciences, 363(1826), 81-99, doi:10.1098/rsta.2004.1480",,doi:10.1594/PANGAEA.835176,1
WIND-28K,,0.24,0.47,2.79,0.47,2.79,,250,355,Cibicidoides wuellerstorfi,1,,,,,,"McCave, I Nick; Kiefer, T; Thornalley, David JR; Elderfield, Henry (2005): Deep flow in the Madagascar-Mascarene Basin over the last 150000 years. Philosophical Transactions of the Royal Society A-Mathematical Physical and Engineering Sciences, 363(1826), 81-99, doi:10.1098/rsta.2004.1480",,doi:10.1594/PANGAEA.835176,1
WIND-28K,,0.28,0.49,3.34,0.49,3.34,,250,355,Cibicidoides wuellerstorfi,1,,,,,,"McCave, I Nick; Kiefer, T; Thornalley, David JR; Elderfield, Henry (2005): Deep flow in the Madagascar-Mascarene Basin over the last 150000 years. Philosophical Transactions of the Royal Society A-Mathematical Physical and Engineering Sciences, 363(1826), 81-99, doi:10.1098/rsta.2004.1480",,doi:10.1594/PANGAEA.835176,1
WIND-28K,,0.32,0.69,3.17,0.69,3.17,,250,355,Cibicidoides wuellerstorfi,1,,,,,,"McCave, I Nick; Kiefer, T; Thornalley, David JR; Elderfield, Henry (2005): Deep flow in the Madagascar-Mascarene Basin over the last 150000 years. Philosophical Transactions of the Royal Society A-Mathematical Physical and Engineering Sciences, 363(1826), 81-99, doi:10.1098/rsta.2004.1480",,doi:10.1594/PANGAEA.835176,1
WIND-28K,,0.36,0.33,3.52,0.33,3.52,,250,355,Cibicidoides wuellerstorfi,1,,,,,,"McCave, I Nick; Kiefer, T; Thornalley, David JR; Elderfield, Henry (2005): Deep flow in the Madagascar-Mascarene Basin over the last 150000 years. Philosophical Transactions of the Royal Society A-Mathematical Physical and Engineering Sciences, 363(1826), 81-99, doi:10.1098/rsta.2004.1480",,doi:10.1594/PANGAEA.835176,1
WIND-28K,,0.4,0.26,3.28,0.26,3.28,,250,355,Cibicidoides wuellerstorfi,1,,,,,,"McCave, I Nick; Kiefer, T; Thornalley, David JR; Elderfield, Henry (2005): Deep flow in the Madagascar-Mascarene Basin over the last 150000 years. Philosophical Transactions of the Royal Society A-Mathematical Physical and Engineering Sciences, 363(1826), 81-99, doi:10.1098/rsta.2004.1480",,doi:10.1594/PANGAEA.835176,1
WIND-28K,,0.44,0.49,3.52,0.49,3.52,,250,355,Cibicidoides wuellerstorfi,1,,,,,,"McCave, I Nick; Kiefer, T; Thornalley, David JR; Elderfield, Henry (2005): Deep flow in the Madagascar-Mascarene Basin over the last 150000 years. Philosophical Transactions of the Royal Society A-Mathematical Physical and Engineering Sciences, 363(1826), 81-99, doi:10.1098/rsta.2004.1480",,doi:10.1594/PANGAEA.835176,1
WIND-28K,,0.48,0.34,3.96,0.34,3.96,,250,355,Cibicidoides wuellerstorfi,1,,,,,,"McCave, I Nick; Kiefer, T; Thornalley, David JR; Elderfield, Henry (2005): Deep flow in the Madagascar-Mascarene Basin over the last 150000 years. Philosophical Transactions of the Royal Society A-Mathematical Physical and Engineering Sciences, 363(1826), 81-99, doi:10.1098/rsta.2004.1480",,doi:10.1594/PANGAEA.835176,1
WIND-28K,,0.5,-0.16,3.76,-0.16,3.76,,250,355,Cibicidoides wuellerstorfi,1,,,,,,"McCave, I Nick; Kiefer, T; Thornalley, David JR; Elderfield, Henry (2005): Deep flow in the Madagascar-Mascarene Basin over the last 150000 years. Philosophical Transactions of the Royal Society A-Mathematical Physical and Engineering Sciences, 363(1826), 81-99, doi:10.1098/rsta.2004.1480",,doi:10.1594/PANGAEA.835176,1
WIND-28K,,0.52,0.19,4.06,0.19,4.06,,250,355,Cibicidoides wuellerstorfi,1,,,,,,"McCave, I Nick; Kiefer, T; Thornalley, David JR; Elderfield, Henry (2005): Deep flow in the Madagascar-Mascarene Basin over the last 150000 years. Philosophical Transactions of the Royal Society A-Mathematical Physical and Engineering Sciences, 363(1826), 81-99, doi:10.1098/rsta.2004.1480",,doi:10.1594/PANGAEA.835176,1
WIND-28K,,0.56,-0.17,4,-0.17,4,,250,355,Cibicidoides wuellerstorfi,1,,,,,,"McCave, I Nick; Kiefer, T; Thornalley, David JR; Elderfield, Henry (2005): Deep flow in the Madagascar-Mascarene Basin over the last 150000 years. Philosophical Transactions of the Royal Society A-Mathematical Physical and Engineering Sciences, 363(1826), 81-99, doi:10.1098/rsta.2004.1480",,doi:10.1594/PANGAEA.835176,1
WIND-28K,,0.58,0.02,4.28,0.02,4.28,,250,355,Cibicidoides wuellerstorfi,1,,,,,,"McCave, I Nick; Kiefer, T; Thornalley, David JR; Elderfield, Henry (2005): Deep flow in the Madagascar-Mascarene Basin over the last 150000 years. Philosophical Transactions of the Royal Society A-Mathematical Physical and Engineering Sciences, 363(1826), 81-99, doi:10.1098/rsta.2004.1480",,doi:10.1594/PANGAEA.835176,1
WIND-28K,,0.62,-0.12,,-0.12,,,250,355,Cibicidoides wuellerstorfi,1,,,,,,"McCave, I Nick; Kiefer, T; Thornalley, David JR; Elderfield, Henry (2005): Deep flow in the Madagascar-Mascarene Basin over the last 150000 years. Philosophical Transactions of the Royal Society A-Mathematical Physical and Engineering Sciences, 363(1826), 81-99, doi:10.1098/rsta.2004.1480",,doi:10.1594/PANGAEA.835176,1
WIND-28K,,0.64,-0.03,4.38,-0.03,4.38,,250,355,Cibicidoides wuellerstorfi,1,,,,,,"McCave, I Nick; Kiefer, T; Thornalley, David JR; Elderfield, Henry (2005): Deep flow in the Madagascar-Mascarene Basin over the last 150000 years. Philosophical Transactions of the Royal Society A-Mathematical Physical and Engineering Sciences, 363(1826), 81-99, doi:10.1098/rsta.2004.1480",,doi:10.1594/PANGAEA.835176,1
