Site,Sample_label,hole_label,section_label,published_archival_depth (m),current_depth_model (m),current_depth_model_note,ODP SAMPLE Inventory:: DEPTH(mid) (m),ODP SAMPLE Inventory:: MBSF(mid) (m),ODP SAMPLE Inventory:: MCD(mid) (m),ODP SAMPLE Inventory:: CCSF(mid) (m),depth_model_1 (m),depth_model_note_1,older_depth_model_2 (m)
WIND-28K,,,,3.8,3.8,,,,,,3.8,,
WIND-28K,,,,3.84,3.84,,,,,,3.84,,
WIND-28K,,,,3.88,3.88,,,,,,3.88,,
WIND-28K,,,,3.92,3.92,,,,,,3.92,,
WIND-28K,,,,3.96,3.96,,,,,,3.96,,
WIND-28K,,,,3.97,3.97,,,,,,3.97,,
WIND-28K,,,,4,4,,,,,,4,,
WIND-28K,,,,4.04,4.04,,,,,,4.04,,
WIND-28K,,,,4.08,4.08,,,,,,4.08,,
WIND-28K,,,,4.12,4.12,,,,,,4.12,,
WIND-28K,,,,4.16,4.16,,,,,,4.16,,
WIND-28K,,,,4.2,4.2,,,,,,4.2,,
WIND-28K,,,,4.24,4.24,,,,,,4.24,,
WIND-28K,,,,4.28,4.28,,,,,,4.28,,
WIND-28K,,,,4.3,4.3,,,,,,4.3,,
WIND-28K,,,,4.32,4.32,,,,,,4.32,,
WIND-28K,,,,4.36,4.36,,,,,,4.36,,
WIND-28K,,,,4.4,4.4,,,,,,4.4,,
WIND-28K,,,,4.44,4.44,,,,,,4.44,,
WIND-28K,,,,4.48,4.48,,,,,,4.48,,
WIND-28K,,,,4.52,4.52,,,,,,4.52,,
WIND-28K,,,,4.56,4.56,,,,,,4.56,,
WIND-28K,,,,4.62,4.62,,,,,,4.62,,
WIND-28K,,,,4.64,4.64,,,,,,4.64,,
WIND-28K,,,,4.68,4.68,,,,,,4.68,,
WIND-28K,,,,4.72,4.72,,,,,,4.72,,
WIND-28K,,,,4.76,4.76,,,,,,4.76,,
WIND-28K,,,,4.8,4.8,,,,,,4.8,,
WIND-28K,,,,4.84,4.84,,,,,,4.84,,
WIND-28K,,,,4.88,4.88,,,,,,4.88,,
WIND-28K,,,,4.92,4.92,,,,,,4.92,,
WIND-28K,,,,4.96,4.96,,,,,,4.96,,
WIND-28K,,,,5,5,,,,,,5,,
WIND-28K,,,,5.08,5.08,,,,,,5.08,,
WIND-28K,,,,5.12,5.12,,,,,,5.12,,
WIND-28K,,,,5.16,5.16,,,,,,5.16,,
WIND-28K,,,,5.2,5.2,,,,,,5.2,,
WIND-28K,,,,5.24,5.24,,,,,,5.24,,
WIND-28K,,,,5.28,5.28,,,,,,5.28,,
WIND-28K,,,,5.32,5.32,,,,,,5.32,,
WIND-28K,,,,5.36,5.36,,,,,,5.36,,
WIND-28K,,,,5.44,5.44,,,,,,5.44,,
WIND-28K,,,,5.48,5.48,,,,,,5.48,,
WIND-28K,,,,5.52,5.52,,,,,,5.52,,
WIND-28K,,,,5.56,5.56,,,,,,5.56,,
WIND-28K,,,,5.6,5.6,,,,,,5.6,,
WIND-28K,,,,5.61,5.61,,,,,,5.61,,
WIND-28K,,,,5.64,5.64,,,,,,5.64,,
WIND-28K,,,,5.68,5.68,,,,,,5.68,,
WIND-28K,,,,5.76,5.76,,,,,,5.76,,
WIND-28K,,,,5.8,5.8,,,,,,5.8,,
WIND-28K,,,,5.84,5.84,,,,,,5.84,,
WIND-28K,,,,5.88,5.88,,,,,,5.88,,
WIND-28K,,,,5.92,5.92,,,,,,5.92,,
WIND-28K,,,,5.93,5.93,,,,,,5.93,,
WIND-28K,,,,5.94,5.94,,,,,,5.94,,
WIND-28K,,,,5.98,5.98,,,,,,5.98,,
WIND-28K,,,,6.02,6.02,,,,,,6.02,,
WIND-28K,,,,6.06,6.06,,,,,,6.06,,
WIND-28K,,,,6.1,6.1,,,,,,6.1,,
WIND-28K,,,,6.14,6.14,,,,,,6.14,,
WIND-28K,,,,6.18,6.18,,,,,,6.18,,
WIND-28K,,,,6.22,6.22,,,,,,6.22,,
