Site,Sample label,sample_depth,technique,lab. code,species/material,radiocarbon_age (y),radiocarbon_age_error_plus (y),radiocarbon_age_error_minus (y),reservoir_age (y),reservoir_age_error_plus (y),reservoir_age_error_minus (y),calendar_age (yBP),calendar_age_error_plus (yBP),calendar_age_error_minus (yBP),calibration curve,alignment target,alignment proxy,note1,note2,original reference,data doi
EW0408-85,,6.75,CALIB v.6.0,,planktonic 14C ages,13310,80,80,,,,14510,295,295,Marine09,,,Jumbo Core,,Davies et al. 2011 Paleoceanography,https://doi.pangaea.de/10.1594/PANGAEA.830645
EW0408-85,,6.8,CALIB v.6.0,,planktonic 14C ages,13430,45,45,,,,14710,280,280,Marine09,,,Jumbo Core,,Davies et al. 2011 Paleoceanography,https://doi.pangaea.de/10.1594/PANGAEA.830645
EW0408-85,,6.9,CALIB v.6.0,,planktonic 14C ages,13830,35,35,,,,15550,255,255,Marine09,,,Jumbo Core,,Davies et al. 2011 Paleoceanography,https://doi.pangaea.de/10.1594/PANGAEA.830645
EW0408-85,,7.04,CALIB v.6.0,,planktonic 14C ages,14345,30,30,,,,16640,145,145,Marine09,,,Jumbo Core,,Davies et al. 2011 Paleoceanography,https://doi.pangaea.de/10.1594/PANGAEA.830645
EW0408-85,,7.26,CALIB v.6.0,,planktonic 14C ages,14645,35,35,,,,16890,90,90,Marine09,,,Jumbo Core,,Davies et al. 2011 Paleoceanography,https://doi.pangaea.de/10.1594/PANGAEA.830645
EW0408-85,,7.54,CALIB v.6.0,,planktonic 14C ages,14870,50,50,,,,17050,130,130,Marine09,,,Jumbo Core,,Davies et al. 2011 Paleoceanography,https://doi.pangaea.de/10.1594/PANGAEA.830645
EW0408-85,,8.04,CALIB v.6.0,,planktonic 14C ages,14985,35,35,,,,17160,135,135,Marine09,,,Jumbo Core,,Davies et al. 2011 Paleoceanography,https://doi.pangaea.de/10.1594/PANGAEA.830645
EW0408-85,,8.54,CALIB v.6.0,,planktonic 14C ages,14890,60,60,,,,17070,140,140,Marine09,,,Jumbo Core,,Davies et al. 2011 Paleoceanography,https://doi.pangaea.de/10.1594/PANGAEA.830645
EW0408-85,,9.04,CALIB v.6.0,,planktonic 14C ages,15040,80,80,,,,17240,200,200,Marine09,,,Jumbo Core,,Davies et al. 2011 Paleoceanography,https://doi.pangaea.de/10.1594/PANGAEA.830645
EW0408-85,,9.53,CALIB v.6.0,,planktonic 14C ages,14860,80,80,,,,17050,140,140,Marine09,,,Jumbo Core,,Davies et al. 2011 Paleoceanography,https://doi.pangaea.de/10.1594/PANGAEA.830645
EW0408-85,,10.03,CALIB v.6.0,,planktonic 14C ages,15080,40,40,,,,17290,185,185,Marine09,,,Jumbo Core,,Davies et al. 2011 Paleoceanography,https://doi.pangaea.de/10.1594/PANGAEA.830645
EW0408-85,,10.53,CALIB v.6.0,,planktonic 14C ages,15110,60,60,,,,17320,195,195,Marine09,,,Jumbo Core,,Davies et al. 2011 Paleoceanography,https://doi.pangaea.de/10.1594/PANGAEA.830645
EW0408-85,,11.03,CALIB v.6.0,,planktonic 14C ages,15160,35,35,,,,17370,185,185,Marine09,,,Jumbo Core,,Davies et al. 2011 Paleoceanography,https://doi.pangaea.de/10.1594/PANGAEA.830645
