Site,Sample Label,age_model_depth (m),age_model (y BP),age_model_sigma_plus(y BP),age_model_sigma_minus(y BP),upper_95_percent(y BP),lower_95_percent(y BP),age_flag,age_model_note,age_model_collection,quality control
GeoB1720_2,,0.525,13183.212890625,,,13536.5908203125,12897.5908203125,3,Age model from Jonkers et al. (2020),,1
GeoB1720_2,,0.535,13380.2607421875,,,13828.9267578125,13035.9267578125,3,Age model from Jonkers et al. (2020),,1
GeoB1720_2,,0.545,13537.7646484375,,,13971.1025390625,13153.1025390625,3,Age model from Jonkers et al. (2020),,1
GeoB1720_2,,0.555,13695.2705078125,,,14156.279296875,13240.279296875,3,Age model from Jonkers et al. (2020),,1
GeoB1720_2,,0.565,13852.76953125,,,14399.4443359375,13305.4443359375,3,Age model from Jonkers et al. (2020),,1
GeoB1720_2,,0.575,14019.2978515625,,,14561.9306640625,13502.9306640625,3,Age model from Jonkers et al. (2020),,1
GeoB1720_2,,0.585,14192.5146484375,,,14642.1845703125,13781.1845703125,3,Age model from Jonkers et al. (2020),,1
GeoB1720_2,,0.595,14365.759765625,,,14763.8466796875,14024.8466796875,3,Age model from Jonkers et al. (2020),,1
GeoB1720_2,,0.605,14539.0146484375,,,14940.5087890625,14197.5087890625,3,Age model from Jonkers et al. (2020),,1
GeoB1720_2,,0.615,14738.2724609375,,,15165.287109375,14371.287109375,3,Age model from Jonkers et al. (2020),,1
GeoB1720_2,,0.625,14959.6064453125,,,15479.8984375,14495.8984375,3,Age model from Jonkers et al. (2020),,1
GeoB1720_2,,0.635,15180.955078125,,,15906.5107421875,14579.5107421875,3,Age model from Jonkers et al. (2020),,1
GeoB1720_2,,0.645,15402.2587890625,,,16364.1220703125,14652.1220703125,3,Age model from Jonkers et al. (2020),,1
GeoB1720_2,,0.655,15629.6533203125,,,16674.484375,14816.4833984375,3,Age model from Jonkers et al. (2020),,1
GeoB1720_2,,0.665,15862.7998046875,,,16832.806640625,15003.806640625,3,Age model from Jonkers et al. (2020),,1
GeoB1720_2,,0.675,16095.955078125,,,17043.70703125,15152.70703125,3,Age model from Jonkers et al. (2020),,1
GeoB1720_2,,0.685,16329.099609375,,,17325.2109375,15275.2099609375,3,Age model from Jonkers et al. (2020),,1
GeoB1720_2,,0.695,16569.87109375,,,17532.087890625,15542.087890625,3,Age model from Jonkers et al. (2020),,1
GeoB1720_2,,0.705,16818.916015625,,,17618.857421875,15956.857421875,3,Age model from Jonkers et al. (2020),,1
GeoB1720_2,,0.715,17067.984375,,,17730.24609375,16264.2451171875,3,Age model from Jonkers et al. (2020),,1
GeoB1720_2,,0.725,17317.03515625,,,17879.6328125,16500.6328125,3,Age model from Jonkers et al. (2020),,1
GeoB1720_2,,0.735,17563.59375,,,18052.91796875,16855.91796875,3,Age model from Jonkers et al. (2020),,1
GeoB1720_2,,0.745,17807.173828125,,,18119.54296875,17407.54296875,3,Age model from Jonkers et al. (2020),,1
GeoB1720_2,,0.755,18050.701171875,,,18267.6015625,17853.6015625,3,Age model from Jonkers et al. (2020),,1
GeoB1720_2,,0.765,18294.21875,,,18680.162109375,17986.162109375,3,Age model from Jonkers et al. (2020),,1
