Site,Sample Label,archival_depth (m),d13C (VPDB),d18O (VPDB),d13C_corrected (PDB),d18O_corrected (PDB),Number of shells,Minimum mesh size (um),Maximum mesh size (um),Taxon,Taxon_flag,Taxon_note1,Taxon_note2,Taxon_note3,Additional_note,Publication source,Original Reference,File Name,Data source,quality control
KNR166-2-31JPC,,0.223,0.85,2.01,0.85,2.01,1,,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Lynch-Stieglitz, J., M.W. Schmidt, and W.B. Curry. 2011. Evidence from the Florida Straits for Younger Dryas ocean circulation changes. Paleoceanography, 26, PA1205, doi:10.1029/2010PA002032; Came et al (2007) Geophys. Monogr. Ser., vol. 173; Came et al (2008) Paleoceanography, 23, PA1217, doi:10.1029/2007PA001450",,https://www.ncdc.noaa.gov/paleo-search/study/11208,1
KNR166-2-31JPC,,0.383,0.74,2.16,0.74,2.16,1,,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Lynch-Stieglitz, J., M.W. Schmidt, and W.B. Curry. 2011. Evidence from the Florida Straits for Younger Dryas ocean circulation changes. Paleoceanography, 26, PA1205, doi:10.1029/2010PA002032; Came et al (2007) Geophys. Monogr. Ser., vol. 173; Came et al (2008) Paleoceanography, 23, PA1217, doi:10.1029/2007PA001450",,https://www.ncdc.noaa.gov/paleo-search/study/11208,1
KNR166-2-31JPC,,0.463,1.1,2.05,1.1,2.05,1,,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Lynch-Stieglitz, J., M.W. Schmidt, and W.B. Curry. 2011. Evidence from the Florida Straits for Younger Dryas ocean circulation changes. Paleoceanography, 26, PA1205, doi:10.1029/2010PA002032; Came et al (2007) Geophys. Monogr. Ser., vol. 173; Came et al (2008) Paleoceanography, 23, PA1217, doi:10.1029/2007PA001450",,https://www.ncdc.noaa.gov/paleo-search/study/11208,1
KNR166-2-31JPC,,0.903,0.44,2.24,0.44,2.24,1,,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Lynch-Stieglitz, J., M.W. Schmidt, and W.B. Curry. 2011. Evidence from the Florida Straits for Younger Dryas ocean circulation changes. Paleoceanography, 26, PA1205, doi:10.1029/2010PA002032; Came et al (2007) Geophys. Monogr. Ser., vol. 173; Came et al (2008) Paleoceanography, 23, PA1217, doi:10.1029/2007PA001450",,https://www.ncdc.noaa.gov/paleo-search/study/11208,1
KNR166-2-31JPC,,0.943,0.65,2.21,0.65,2.21,1,,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Lynch-Stieglitz, J., M.W. Schmidt, and W.B. Curry. 2011. Evidence from the Florida Straits for Younger Dryas ocean circulation changes. Paleoceanography, 26, PA1205, doi:10.1029/2010PA002032; Came et al (2007) Geophys. Monogr. Ser., vol. 173; Came et al (2008) Paleoceanography, 23, PA1217, doi:10.1029/2007PA001450",,https://www.ncdc.noaa.gov/paleo-search/study/11208,1
KNR166-2-31JPC,,1.323,0.87,2.5,0.87,2.5,1,,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Lynch-Stieglitz, J., M.W. Schmidt, and W.B. Curry. 2011. Evidence from the Florida Straits for Younger Dryas ocean circulation changes. Paleoceanography, 26, PA1205, doi:10.1029/2010PA002032; Came et al (2007) Geophys. Monogr. Ser., vol. 173; Came et al (2008) Paleoceanography, 23, PA1217, doi:10.1029/2007PA001450",,https://www.ncdc.noaa.gov/paleo-search/study/11208,1
KNR166-2-31JPC,,1.343,0.92,2.79,0.92,2.79,1,,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Lynch-Stieglitz, J., M.W. Schmidt, and W.B. Curry. 2011. Evidence from the Florida Straits for Younger Dryas ocean circulation changes. Paleoceanography, 26, PA1205, doi:10.1029/2010PA002032; Came et al (2007) Geophys. Monogr. Ser., vol. 173; Came et al (2008) Paleoceanography, 23, PA1217, doi:10.1029/2007PA001450",,https://www.ncdc.noaa.gov/paleo-search/study/11208,1
KNR166-2-31JPC,,1.343,0.73,2.88,0.73,2.88,1,,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Lynch-Stieglitz, J., M.W. Schmidt, and W.B. Curry. 2011. Evidence from the Florida Straits for Younger Dryas ocean circulation changes. Paleoceanography, 26, PA1205, doi:10.1029/2010PA002032; Came et al (2007) Geophys. Monogr. Ser., vol. 173; Came et al (2008) Paleoceanography, 23, PA1217, doi:10.1029/2007PA001450",,https://www.ncdc.noaa.gov/paleo-search/study/11208,1
KNR166-2-31JPC,,1.343,0.825,2.835,0.825,2.835,1,,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Lynch-Stieglitz, J., M.W. Schmidt, and W.B. Curry. 2011. Evidence from the Florida Straits for Younger Dryas ocean circulation changes. Paleoceanography, 26, PA1205, doi:10.1029/2010PA002032; Came et al (2007) Geophys. Monogr. Ser., vol. 173; Came et al (2008) Paleoceanography, 23, PA1217, doi:10.1029/2007PA001450",,https://www.ncdc.noaa.gov/paleo-search/study/11208,1
KNR166-2-31JPC,,1.423,1.1,3.2,1.1,3.2,1,,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Lynch-Stieglitz, J., M.W. Schmidt, and W.B. Curry. 2011. Evidence from the Florida Straits for Younger Dryas ocean circulation changes. Paleoceanography, 26, PA1205, doi:10.1029/2010PA002032; Came et al (2007) Geophys. Monogr. Ser., vol. 173; Came et al (2008) Paleoceanography, 23, PA1217, doi:10.1029/2007PA001450",,https://www.ncdc.noaa.gov/paleo-search/study/11208,1
KNR166-2-31JPC,,1.423,1.26,3.23,1.26,3.23,1,,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Lynch-Stieglitz, J., M.W. Schmidt, and W.B. Curry. 2011. Evidence from the Florida Straits for Younger Dryas ocean circulation changes. Paleoceanography, 26, PA1205, doi:10.1029/2010PA002032; Came et al (2007) Geophys. Monogr. Ser., vol. 173; Came et al (2008) Paleoceanography, 23, PA1217, doi:10.1029/2007PA001450",,https://www.ncdc.noaa.gov/paleo-search/study/11208,1
KNR166-2-31JPC,,1.423,0.94,3.17,0.94,3.17,1,,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Lynch-Stieglitz, J., M.W. Schmidt, and W.B. Curry. 2011. Evidence from the Florida Straits for Younger Dryas ocean circulation changes. Paleoceanography, 26, PA1205, doi:10.1029/2010PA002032; Came et al (2007) Geophys. Monogr. Ser., vol. 173; Came et al (2008) Paleoceanography, 23, PA1217, doi:10.1029/2007PA001450",,https://www.ncdc.noaa.gov/paleo-search/study/11208,1
KNR166-2-31JPC,,1.443,1.09,3.12,1.09,3.12,1,,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Lynch-Stieglitz, J., M.W. Schmidt, and W.B. Curry. 2011. Evidence from the Florida Straits for Younger Dryas ocean circulation changes. Paleoceanography, 26, PA1205, doi:10.1029/2010PA002032; Came et al (2007) Geophys. Monogr. Ser., vol. 173; Came et al (2008) Paleoceanography, 23, PA1217, doi:10.1029/2007PA001450",,https://www.ncdc.noaa.gov/paleo-search/study/11208,1
KNR166-2-31JPC,,1.443,1.05,3.01,1.05,3.01,1,,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Lynch-Stieglitz, J., M.W. Schmidt, and W.B. Curry. 2011. Evidence from the Florida Straits for Younger Dryas ocean circulation changes. Paleoceanography, 26, PA1205, doi:10.1029/2010PA002032; Came et al (2007) Geophys. Monogr. Ser., vol. 173; Came et al (2008) Paleoceanography, 23, PA1217, doi:10.1029/2007PA001450",,https://www.ncdc.noaa.gov/paleo-search/study/11208,1
KNR166-2-31JPC,,1.443,0.96,2.99,0.96,2.99,1,,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Lynch-Stieglitz, J., M.W. Schmidt, and W.B. Curry. 2011. Evidence from the Florida Straits for Younger Dryas ocean circulation changes. Paleoceanography, 26, PA1205, doi:10.1029/2010PA002032; Came et al (2007) Geophys. Monogr. Ser., vol. 173; Came et al (2008) Paleoceanography, 23, PA1217, doi:10.1029/2007PA001450",,https://www.ncdc.noaa.gov/paleo-search/study/11208,1
KNR166-2-31JPC,,1.443,1.033,3.04,1.033,3.04,1,,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Lynch-Stieglitz, J., M.W. Schmidt, and W.B. Curry. 2011. Evidence from the Florida Straits for Younger Dryas ocean circulation changes. Paleoceanography, 26, PA1205, doi:10.1029/2010PA002032; Came et al (2007) Geophys. Monogr. Ser., vol. 173; Came et al (2008) Paleoceanography, 23, PA1217, doi:10.1029/2007PA001450",,https://www.ncdc.noaa.gov/paleo-search/study/11208,1
KNR166-2-31JPC,,1.483,1.29,3.64,1.29,3.64,1,,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Lynch-Stieglitz, J., M.W. Schmidt, and W.B. Curry. 2011. Evidence from the Florida Straits for Younger Dryas ocean circulation changes. Paleoceanography, 26, PA1205, doi:10.1029/2010PA002032; Came et al (2007) Geophys. Monogr. Ser., vol. 173; Came et al (2008) Paleoceanography, 23, PA1217, doi:10.1029/2007PA001450",,https://www.ncdc.noaa.gov/paleo-search/study/11208,1
KNR166-2-31JPC,,1.523,1.18,3.36,1.18,3.36,1,,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Lynch-Stieglitz, J., M.W. Schmidt, and W.B. Curry. 2011. Evidence from the Florida Straits for Younger Dryas ocean circulation changes. Paleoceanography, 26, PA1205, doi:10.1029/2010PA002032; Came et al (2007) Geophys. Monogr. Ser., vol. 173; Came et al (2008) Paleoceanography, 23, PA1217, doi:10.1029/2007PA001450",,https://www.ncdc.noaa.gov/paleo-search/study/11208,1
KNR166-2-31JPC,,1.523,1.267,3.493,1.267,3.493,1,,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Lynch-Stieglitz, J., M.W. Schmidt, and W.B. Curry. 2011. Evidence from the Florida Straits for Younger Dryas ocean circulation changes. Paleoceanography, 26, PA1205, doi:10.1029/2010PA002032; Came et al (2007) Geophys. Monogr. Ser., vol. 173; Came et al (2008) Paleoceanography, 23, PA1217, doi:10.1029/2007PA001450",,https://www.ncdc.noaa.gov/paleo-search/study/11208,1
KNR166-2-31JPC,,1.523,1.3,3.52,1.3,3.52,1,,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Lynch-Stieglitz, J., M.W. Schmidt, and W.B. Curry. 2011. Evidence from the Florida Straits for Younger Dryas ocean circulation changes. Paleoceanography, 26, PA1205, doi:10.1029/2010PA002032; Came et al (2007) Geophys. Monogr. Ser., vol. 173; Came et al (2008) Paleoceanography, 23, PA1217, doi:10.1029/2007PA001450",,https://www.ncdc.noaa.gov/paleo-search/study/11208,1
KNR166-2-31JPC,,1.523,1.32,3.6,1.32,3.6,1,,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Lynch-Stieglitz, J., M.W. Schmidt, and W.B. Curry. 2011. Evidence from the Florida Straits for Younger Dryas ocean circulation changes. Paleoceanography, 26, PA1205, doi:10.1029/2010PA002032; Came et al (2007) Geophys. Monogr. Ser., vol. 173; Came et al (2008) Paleoceanography, 23, PA1217, doi:10.1029/2007PA001450",,https://www.ncdc.noaa.gov/paleo-search/study/11208,1
KNR166-2-31JPC,,1.543,1.26,3.69,1.26,3.69,1,,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Lynch-Stieglitz, J., M.W. Schmidt, and W.B. Curry. 2011. Evidence from the Florida Straits for Younger Dryas ocean circulation changes. Paleoceanography, 26, PA1205, doi:10.1029/2010PA002032; Came et al (2007) Geophys. Monogr. Ser., vol. 173; Came et al (2008) Paleoceanography, 23, PA1217, doi:10.1029/2007PA001450",,https://www.ncdc.noaa.gov/paleo-search/study/11208,1
KNR166-2-31JPC,,1.543,1.31,3.74,1.31,3.74,1,,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Lynch-Stieglitz, J., M.W. Schmidt, and W.B. Curry. 2011. Evidence from the Florida Straits for Younger Dryas ocean circulation changes. Paleoceanography, 26, PA1205, doi:10.1029/2010PA002032; Came et al (2007) Geophys. Monogr. Ser., vol. 173; Came et al (2008) Paleoceanography, 23, PA1217, doi:10.1029/2007PA001450",,https://www.ncdc.noaa.gov/paleo-search/study/11208,1
