Site,Sample Label,archival_depth (m),d13C (VPDB),d18O (VPDB),d13C_corrected (PDB),d18O_corrected (PDB),Number of shells,Minimum mesh size (um),Maximum mesh size (um),Taxon,Taxon_flag,Taxon_note1,Taxon_note2,Taxon_note3,Additional_note,Publication source,Original Reference,File Name,Data source,quality control
KNR31-GPC5,,0,-0.24,2.28,-0.24,2.28,,,,Cibicidoides spp.,7,,,,,Repschlaeger et al. 2021 compilation,Keigwin et al. (1991) JGR; Keigwin and Jones (1994) JGR (chronology),,https://doi.org/10.1029/91JC01624,1
KNR31-GPC5,,0.05,0.68,2.18,0.68,2.18,,,,Cibicidoides spp.,7,,,,,Repschlaeger et al. 2021 compilation,Keigwin et al. (1991) JGR; Keigwin and Jones (1994) JGR (chronology),,https://doi.org/10.1029/91JC01624,1
KNR31-GPC5,,0.1,0.4,1.96,0.4,1.96,,,,Cibicidoides spp.,7,,,,,Repschlaeger et al. 2021 compilation,Keigwin et al. (1991) JGR; Keigwin and Jones (1994) JGR (chronology),,https://doi.org/10.1029/91JC01624,1
KNR31-GPC5,,0.14,0.2,2.03,0.2,2.03,,,,Cibicidoides spp.,7,,,,,Repschlaeger et al. 2021 compilation,Keigwin et al. (1991) JGR; Keigwin and Jones (1994) JGR (chronology),,https://doi.org/10.1029/91JC01624,1
KNR31-GPC5,,0.15,0.72,2.5,0.72,2.5,,,,Cibicidoides spp.,7,,,,,Repschlaeger et al. 2021 compilation,Keigwin et al. (1991) JGR; Keigwin and Jones (1994) JGR (chronology),,https://doi.org/10.1029/91JC01624,1
KNR31-GPC5,,0.18,0.35,2.17,0.35,2.17,,,,Cibicidoides spp.,7,,,,,Repschlaeger et al. 2021 compilation,Keigwin et al. (1991) JGR; Keigwin and Jones (1994) JGR (chronology),,https://doi.org/10.1029/91JC01624,1
KNR31-GPC5,,0.22,0.17,2.21,0.17,2.21,,,,Cibicidoides spp.,7,,,,,Repschlaeger et al. 2021 compilation,Keigwin et al. (1991) JGR; Keigwin and Jones (1994) JGR (chronology),,https://doi.org/10.1029/91JC01624,1
KNR31-GPC5,,0.25,0.22,2.55,0.22,2.55,,,,Cibicidoides spp.,7,,,,,Repschlaeger et al. 2021 compilation,Keigwin et al. (1991) JGR; Keigwin and Jones (1994) JGR (chronology),,https://doi.org/10.1029/91JC01624,1
KNR31-GPC5,,0.26,0.39,2.42,0.39,2.42,,,,Cibicidoides spp.,7,,,,,Repschlaeger et al. 2021 compilation,Keigwin et al. (1991) JGR; Keigwin and Jones (1994) JGR (chronology),,https://doi.org/10.1029/91JC01624,1
KNR31-GPC5,,0.3,0.46,2.19,0.46,2.19,,,,Cibicidoides spp.,7,,,,,Repschlaeger et al. 2021 compilation,Keigwin et al. (1991) JGR; Keigwin and Jones (1994) JGR (chronology),,https://doi.org/10.1029/91JC01624,1
