Site,Sample Label,archival_depth (m),d13C (VPDB),d18O (VPDB),d13C_corrected (PDB),d18O_corrected (PDB),Number of shells,Minimum mesh size (um),Maximum mesh size (um),Taxon,Taxon_flag,Taxon_note1,Taxon_note2,Taxon_note3,Additional_note,Publication source,Original Reference,File Name,Data source,quality control
GeoB16224-1,,0.28,1.16,2.83,1.16,2.83,1-5,125,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Voigt, Ines; Cruz, Anna Paula Soares; Mulitza, Stefan; Chiessi, Cristiano Mazur; Mackensen, Andreas; Lippold, J�rg; Antz, Benny; Zabel, Matthias; Zhang, Yancheng; Barbosa, Catia F; Tisserand, Amandine (2017): (Supplementary Table 1) Stable isotopes of sediment core GeoB16224-1. PANGAEA, https://doi.org/10.1594/PANGAEA.875796,",,"https://doi.org/10.1594/PANGAEA.875796,",1
GeoB16224-1,,0.32,1.15,2.87,1.15,2.87,1-5,125,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Voigt, Ines; Cruz, Anna Paula Soares; Mulitza, Stefan; Chiessi, Cristiano Mazur; Mackensen, Andreas; Lippold, J�rg; Antz, Benny; Zabel, Matthias; Zhang, Yancheng; Barbosa, Catia F; Tisserand, Amandine (2017): (Supplementary Table 1) Stable isotopes of sediment core GeoB16224-1. PANGAEA, https://doi.org/10.1594/PANGAEA.875796,",,"https://doi.org/10.1594/PANGAEA.875796,",1
GeoB16224-1,,0.34,0.65,2.82,0.65,2.82,1-5,125,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Voigt, Ines; Cruz, Anna Paula Soares; Mulitza, Stefan; Chiessi, Cristiano Mazur; Mackensen, Andreas; Lippold, J�rg; Antz, Benny; Zabel, Matthias; Zhang, Yancheng; Barbosa, Catia F; Tisserand, Amandine (2017): (Supplementary Table 1) Stable isotopes of sediment core GeoB16224-1. PANGAEA, https://doi.org/10.1594/PANGAEA.875796,",,"https://doi.org/10.1594/PANGAEA.875796,",1
GeoB16224-1,,0.36,0.25,3.52,0.25,3.52,1-5,125,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Voigt, Ines; Cruz, Anna Paula Soares; Mulitza, Stefan; Chiessi, Cristiano Mazur; Mackensen, Andreas; Lippold, J�rg; Antz, Benny; Zabel, Matthias; Zhang, Yancheng; Barbosa, Catia F; Tisserand, Amandine (2017): (Supplementary Table 1) Stable isotopes of sediment core GeoB16224-1. PANGAEA, https://doi.org/10.1594/PANGAEA.875796,",,"https://doi.org/10.1594/PANGAEA.875796,",1
GeoB16224-1,,0.4,1.17,2.98,1.17,2.98,1-5,125,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Voigt, Ines; Cruz, Anna Paula Soares; Mulitza, Stefan; Chiessi, Cristiano Mazur; Mackensen, Andreas; Lippold, J�rg; Antz, Benny; Zabel, Matthias; Zhang, Yancheng; Barbosa, Catia F; Tisserand, Amandine (2017): (Supplementary Table 1) Stable isotopes of sediment core GeoB16224-1. PANGAEA, https://doi.org/10.1594/PANGAEA.875796,",,"https://doi.org/10.1594/PANGAEA.875796,",1
GeoB16224-1,,0.44,1,2.89,1,2.89,1-5,125,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Voigt, Ines; Cruz, Anna Paula Soares; Mulitza, Stefan; Chiessi, Cristiano Mazur; Mackensen, Andreas; Lippold, J�rg; Antz, Benny; Zabel, Matthias; Zhang, Yancheng; Barbosa, Catia F; Tisserand, Amandine (2017): (Supplementary Table 1) Stable isotopes of sediment core GeoB16224-1. PANGAEA, https://doi.org/10.1594/PANGAEA.875796,",,"https://doi.org/10.1594/PANGAEA.875796,",1
GeoB16224-1,,0.46,1.17,3.13,1.17,3.13,1-5,125,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Voigt, Ines; Cruz, Anna Paula Soares; Mulitza, Stefan; Chiessi, Cristiano Mazur; Mackensen, Andreas; Lippold, J�rg; Antz, Benny; Zabel, Matthias; Zhang, Yancheng; Barbosa, Catia F; Tisserand, Amandine (2017): (Supplementary Table 1) Stable isotopes of sediment core GeoB16224-1. PANGAEA, https://doi.org/10.1594/PANGAEA.875796,",,"https://doi.org/10.1594/PANGAEA.875796,",1
GeoB16224-1,,0.68,0.63,3.73,0.63,3.73,1-5,125,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Voigt, Ines; Cruz, Anna Paula Soares; Mulitza, Stefan; Chiessi, Cristiano Mazur; Mackensen, Andreas; Lippold, J�rg; Antz, Benny; Zabel, Matthias; Zhang, Yancheng; Barbosa, Catia F; Tisserand, Amandine (2017): (Supplementary Table 1) Stable isotopes of sediment core GeoB16224-1. PANGAEA, https://doi.org/10.1594/PANGAEA.875796,",,"https://doi.org/10.1594/PANGAEA.875796,",1
GeoB16224-1,,0.7,0.81,3.68,0.81,3.68,1-5,125,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Voigt, Ines; Cruz, Anna Paula Soares; Mulitza, Stefan; Chiessi, Cristiano Mazur; Mackensen, Andreas; Lippold, J�rg; Antz, Benny; Zabel, Matthias; Zhang, Yancheng; Barbosa, Catia F; Tisserand, Amandine (2017): (Supplementary Table 1) Stable isotopes of sediment core GeoB16224-1. PANGAEA, https://doi.org/10.1594/PANGAEA.875796,",,"https://doi.org/10.1594/PANGAEA.875796,",1
GeoB16224-1,,0.74,0.76,3.89,0.76,3.89,1-5,125,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Voigt, Ines; Cruz, Anna Paula Soares; Mulitza, Stefan; Chiessi, Cristiano Mazur; Mackensen, Andreas; Lippold, J�rg; Antz, Benny; Zabel, Matthias; Zhang, Yancheng; Barbosa, Catia F; Tisserand, Amandine (2017): (Supplementary Table 1) Stable isotopes of sediment core GeoB16224-1. PANGAEA, https://doi.org/10.1594/PANGAEA.875796,",,"https://doi.org/10.1594/PANGAEA.875796,",1
