Site,Sample Label,archival_depth (m),d13C (PDB),d18O (PDB),d13C_corrected (PDB),d18O_corrected (PDB),Number of shells,Minimum mesh size (um),Maximum mesh size (um),Taxon,Taxon_flag,Taxon_note1,Taxon_note2,Taxon_note3,Additional_note,Publication source,Original Reference,File Name,Data source,quality control
CH82-20PC,,0.39,1.13,3.42,1.13,3.42,,150,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Keigwin, L. D., and S. J. Lehman (1994), Deep circulation change linked to HEINRICH Event 1 and Younger Dryas in a middepth North Atlantic Core, Paleoceanography, 9(2), 185-194, https://doi.org/10.1029/94PA00032.",,"personal communication with L. Keigwin, table in original publication",1
CH82-20PC,,0.41,0.97,3.34,0.97,3.34,,150,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Keigwin, L. D., and S. J. Lehman (1994), Deep circulation change linked to HEINRICH Event 1 and Younger Dryas in a middepth North Atlantic Core, Paleoceanography, 9(2), 185-194, https://doi.org/10.1029/94PA00032.",,"personal communication with L. Keigwin, table in original publication",1
CH82-20PC,,0.43,0.98,3.6,0.98,3.6,,150,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Keigwin, L. D., and S. J. Lehman (1994), Deep circulation change linked to HEINRICH Event 1 and Younger Dryas in a middepth North Atlantic Core, Paleoceanography, 9(2), 185-194, https://doi.org/10.1029/94PA00032.",,"personal communication with L. Keigwin, table in original publication",1
CH82-20PC,,0.45,0.96,3.43,0.96,3.43,,150,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Keigwin, L. D., and S. J. Lehman (1994), Deep circulation change linked to HEINRICH Event 1 and Younger Dryas in a middepth North Atlantic Core, Paleoceanography, 9(2), 185-194, https://doi.org/10.1029/94PA00032.",,"personal communication with L. Keigwin, table in original publication",1
CH82-20PC,,0.49,1.12,3.79,1.12,3.79,,150,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Keigwin, L. D., and S. J. Lehman (1994), Deep circulation change linked to HEINRICH Event 1 and Younger Dryas in a middepth North Atlantic Core, Paleoceanography, 9(2), 185-194, https://doi.org/10.1029/94PA00032.",,"personal communication with L. Keigwin, table in original publication",1
CH82-20PC,,0.51,1.13,3.37,1.13,3.37,,150,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Keigwin, L. D., and S. J. Lehman (1994), Deep circulation change linked to HEINRICH Event 1 and Younger Dryas in a middepth North Atlantic Core, Paleoceanography, 9(2), 185-194, https://doi.org/10.1029/94PA00032.",,"personal communication with L. Keigwin, table in original publication",1
CH82-20PC,,0.53,0.86,3.9,0.86,3.9,,150,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Keigwin, L. D., and S. J. Lehman (1994), Deep circulation change linked to HEINRICH Event 1 and Younger Dryas in a middepth North Atlantic Core, Paleoceanography, 9(2), 185-194, https://doi.org/10.1029/94PA00032.",,"personal communication with L. Keigwin, table in original publication",1
CH82-20PC,,0.56,1.27,3.73,1.27,3.73,,150,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Keigwin, L. D., and S. J. Lehman (1994), Deep circulation change linked to HEINRICH Event 1 and Younger Dryas in a middepth North Atlantic Core, Paleoceanography, 9(2), 185-194, https://doi.org/10.1029/94PA00032.",,"personal communication with L. Keigwin, table in original publication",1
CH82-20PC,,0.56,1.13,3.6,1.13,3.6,,150,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Keigwin, L. D., and S. J. Lehman (1994), Deep circulation change linked to HEINRICH Event 1 and Younger Dryas in a middepth North Atlantic Core, Paleoceanography, 9(2), 185-194, https://doi.org/10.1029/94PA00032.",,"personal communication with L. Keigwin, table in original publication",1
CH82-20PC,,0.56,1.2,3.665,1.2,3.665,,150,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Keigwin, L. D., and S. J. Lehman (1994), Deep circulation change linked to HEINRICH Event 1 and Younger Dryas in a middepth North Atlantic Core, Paleoceanography, 9(2), 185-194, https://doi.org/10.1029/94PA00032.",,"personal communication with L. Keigwin, table in original publication",1
CH82-20PC,,0.57,1.14,3.57,1.14,3.57,,150,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Keigwin, L. D., and S. J. Lehman (1994), Deep circulation change linked to HEINRICH Event 1 and Younger Dryas in a middepth North Atlantic Core, Paleoceanography, 9(2), 185-194, https://doi.org/10.1029/94PA00032.",,"personal communication with L. Keigwin, table in original publication",1
CH82-20PC,,0.58,1.3,3.82,1.3,3.82,,150,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Keigwin, L. D., and S. J. Lehman (1994), Deep circulation change linked to HEINRICH Event 1 and Younger Dryas in a middepth North Atlantic Core, Paleoceanography, 9(2), 185-194, https://doi.org/10.1029/94PA00032.",,"personal communication with L. Keigwin, table in original publication",1
CH82-20PC,,0.59,0.7,3.96,0.7,3.96,,150,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Keigwin, L. D., and S. J. Lehman (1994), Deep circulation change linked to HEINRICH Event 1 and Younger Dryas in a middepth North Atlantic Core, Paleoceanography, 9(2), 185-194, https://doi.org/10.1029/94PA00032.",,"personal communication with L. Keigwin, table in original publication",1
CH82-20PC,,0.61,0.68,3.685,0.68,3.685,,150,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Keigwin, L. D., and S. J. Lehman (1994), Deep circulation change linked to HEINRICH Event 1 and Younger Dryas in a middepth North Atlantic Core, Paleoceanography, 9(2), 185-194, https://doi.org/10.1029/94PA00032.",,"personal communication with L. Keigwin, table in original publication",1
CH82-20PC,,0.61,0.91,3.56,0.91,3.56,,150,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Keigwin, L. D., and S. J. Lehman (1994), Deep circulation change linked to HEINRICH Event 1 and Younger Dryas in a middepth North Atlantic Core, Paleoceanography, 9(2), 185-194, https://doi.org/10.1029/94PA00032.",,"personal communication with L. Keigwin, table in original publication",1
CH82-20PC,,0.61,0.45,3.81,0.45,3.81,,150,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Keigwin, L. D., and S. J. Lehman (1994), Deep circulation change linked to HEINRICH Event 1 and Younger Dryas in a middepth North Atlantic Core, Paleoceanography, 9(2), 185-194, https://doi.org/10.1029/94PA00032.",,"personal communication with L. Keigwin, table in original publication",1
CH82-20PC,,0.62,0.63,4.18,0.63,4.18,,150,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Keigwin, L. D., and S. J. Lehman (1994), Deep circulation change linked to HEINRICH Event 1 and Younger Dryas in a middepth North Atlantic Core, Paleoceanography, 9(2), 185-194, https://doi.org/10.1029/94PA00032.",,"personal communication with L. Keigwin, table in original publication",1
CH82-20PC,,0.63,0.15,3.8,0.15,3.8,,150,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Keigwin, L. D., and S. J. Lehman (1994), Deep circulation change linked to HEINRICH Event 1 and Younger Dryas in a middepth North Atlantic Core, Paleoceanography, 9(2), 185-194, https://doi.org/10.1029/94PA00032.",,"personal communication with L. Keigwin, table in original publication",1
CH82-20PC,,0.63,1.17,3.62,1.17,3.62,,150,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Keigwin, L. D., and S. J. Lehman (1994), Deep circulation change linked to HEINRICH Event 1 and Younger Dryas in a middepth North Atlantic Core, Paleoceanography, 9(2), 185-194, https://doi.org/10.1029/94PA00032.",,"personal communication with L. Keigwin, table in original publication",1
