Site,Sample Label,age_model_depth (m),age_model (y BP),age_model_sigma_plus(y BP),age_model_sigma_minus(y BP),97.5_percent(y BP),2.5_percent(y BP),age_flag,age_model_note,age_model_collection,quality control
SHAK-14-4G,,0,88,,,305.025,-64,3,Age model from Skinner et al. 2021,https://doi.org/10.1029/2020PA004074. Calculated with Bchron.,
SHAK-14-4G,,0.02,141,,,355.025,-27.025,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-14-4G,,0.04,259,,,463.175,5.975,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-14-4G,,0.06,366,,,751.45,80.925,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-14-4G,,0.08,473.5,,,957.05,147.975,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-14-4G,,0.1,571,,,1091.075,193.875,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-14-4G,,0.12,655,,,1287.025,235.925,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-14-4G,,0.14,758,,,1382.125,283.925,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-14-4G,,0.16,862,,,1569.125,318.85,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-14-4G,,0.18,948.5,,,1676.225,391.525,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-14-4G,,0.2,1042,,,1773.425,430.85,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-14-4G,,0.22,1121,,,1911.025,484.525,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-14-4G,,0.24,1211.5,,,2000.05,525,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-14-4G,,0.26,1307.5,,,2100.075,572.55,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-14-4G,,0.28,1403,,,2162.025,679.8,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-14-4G,,0.3,1512,,,2235.075,743,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-14-4G,,0.32,1606.5,,,2315.1,829.925,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-14-4G,,0.34,1685.5,,,2383.275,935.975,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-14-4G,,0.36,1775.5,,,2458.025,1037.825,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-14-4G,,0.38,1874.5,,,2527.125,1142,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-14-4G,,0.4,1976,,,2580.05,1233.975,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-14-4G,,0.42,2065,,,2672.075,1339.95,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-14-4G,,0.44,2166,,,2723.175,1471.975,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
