Site,Sample Label,archival_depth (m),d13C (VPDB),d18O (VPDB),d13C_corrected (PDB),d18O_corrected (PDB),Number of shells,Minimum mesh size (um),Maximum mesh size (um),Taxon,Taxon_flag,Taxon_note1,Taxon_note2,Taxon_note3,Additional_note,Publication source,Original Reference,File Name,Data source,quality control
KNR207-2_GGC3,,0.13,0.944,2.66,0.944,2.66,,,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Middleton, J. L., C. H. Langmuir, S. Mukhopadhyay, J. F. McManus, and J. X. Mitrovica (2016), Hydrothermal iron flux variability following rapid sea level changes, Geophysical Research Letters, 43(8), 3848-3856, https://doi.org/10.1002/2016GL068408. ; Middleton, J. L., S. Mukhopadhyay, C. H. Langmuir, J. F. McManus, and P. J. Huybers (2018), Millennial-scale variations in dustiness recorded in Mid-Atlantic sediments from 0 to 70 ka, Earth and Planetary Science Letters, 482, 12-22, https://doi.org/10.1016/j.epsl.2017.10.034.",,supplementary materials of the papers; https://doi.org/10.1016/j.epsl.2017.10.034,1
KNR207-2_GGC3,,0.13,0.764,2.596,0.764,2.596,,,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Middleton, J. L., C. H. Langmuir, S. Mukhopadhyay, J. F. McManus, and J. X. Mitrovica (2016), Hydrothermal iron flux variability following rapid sea level changes, Geophysical Research Letters, 43(8), 3848-3856, https://doi.org/10.1002/2016GL068408. ; Middleton, J. L., S. Mukhopadhyay, C. H. Langmuir, J. F. McManus, and P. J. Huybers (2018), Millennial-scale variations in dustiness recorded in Mid-Atlantic sediments from 0 to 70 ka, Earth and Planetary Science Letters, 482, 12-22, https://doi.org/10.1016/j.epsl.2017.10.034.",,supplementary materials of the papers; https://doi.org/10.1016/j.epsl.2017.10.034,1
KNR207-2_GGC3,,0.15,0.861,2.721,0.861,2.721,,,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Middleton, J. L., C. H. Langmuir, S. Mukhopadhyay, J. F. McManus, and J. X. Mitrovica (2016), Hydrothermal iron flux variability following rapid sea level changes, Geophysical Research Letters, 43(8), 3848-3856, https://doi.org/10.1002/2016GL068408. ; Middleton, J. L., S. Mukhopadhyay, C. H. Langmuir, J. F. McManus, and P. J. Huybers (2018), Millennial-scale variations in dustiness recorded in Mid-Atlantic sediments from 0 to 70 ka, Earth and Planetary Science Letters, 482, 12-22, https://doi.org/10.1016/j.epsl.2017.10.034.",,supplementary materials of the papers; https://doi.org/10.1016/j.epsl.2017.10.034,1
KNR207-2_GGC3,,0.17,0.799,3.196,0.799,3.196,,,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Middleton, J. L., C. H. Langmuir, S. Mukhopadhyay, J. F. McManus, and J. X. Mitrovica (2016), Hydrothermal iron flux variability following rapid sea level changes, Geophysical Research Letters, 43(8), 3848-3856, https://doi.org/10.1002/2016GL068408. ; Middleton, J. L., S. Mukhopadhyay, C. H. Langmuir, J. F. McManus, and P. J. Huybers (2018), Millennial-scale variations in dustiness recorded in Mid-Atlantic sediments from 0 to 70 ka, Earth and Planetary Science Letters, 482, 12-22, https://doi.org/10.1016/j.epsl.2017.10.034.",,supplementary materials of the papers; https://doi.org/10.1016/j.epsl.2017.10.034,1
KNR207-2_GGC3,,0.19,0.922,3.58,0.922,3.58,,,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Middleton, J. L., C. H. Langmuir, S. Mukhopadhyay, J. F. McManus, and J. X. Mitrovica (2016), Hydrothermal iron flux variability following rapid sea level changes, Geophysical Research Letters, 43(8), 3848-3856, https://doi.org/10.1002/2016GL068408. ; Middleton, J. L., S. Mukhopadhyay, C. H. Langmuir, J. F. McManus, and P. J. Huybers (2018), Millennial-scale variations in dustiness recorded in Mid-Atlantic sediments from 0 to 70 ka, Earth and Planetary Science Letters, 482, 12-22, https://doi.org/10.1016/j.epsl.2017.10.034.",,supplementary materials of the papers; https://doi.org/10.1016/j.epsl.2017.10.034,1
KNR207-2_GGC3,,0.21,0.658,2.916,0.658,2.916,,,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Middleton, J. L., C. H. Langmuir, S. Mukhopadhyay, J. F. McManus, and J. X. Mitrovica (2016), Hydrothermal iron flux variability following rapid sea level changes, Geophysical Research Letters, 43(8), 3848-3856, https://doi.org/10.1002/2016GL068408. ; Middleton, J. L., S. Mukhopadhyay, C. H. Langmuir, J. F. McManus, and P. J. Huybers (2018), Millennial-scale variations in dustiness recorded in Mid-Atlantic sediments from 0 to 70 ka, Earth and Planetary Science Letters, 482, 12-22, https://doi.org/10.1016/j.epsl.2017.10.034.",,supplementary materials of the papers; https://doi.org/10.1016/j.epsl.2017.10.034,1
KNR207-2_GGC3,,0.23,0.819,3.617,0.819,3.617,,,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Middleton, J. L., C. H. Langmuir, S. Mukhopadhyay, J. F. McManus, and J. X. Mitrovica (2016), Hydrothermal iron flux variability following rapid sea level changes, Geophysical Research Letters, 43(8), 3848-3856, https://doi.org/10.1002/2016GL068408. ; Middleton, J. L., S. Mukhopadhyay, C. H. Langmuir, J. F. McManus, and P. J. Huybers (2018), Millennial-scale variations in dustiness recorded in Mid-Atlantic sediments from 0 to 70 ka, Earth and Planetary Science Letters, 482, 12-22, https://doi.org/10.1016/j.epsl.2017.10.034.",,supplementary materials of the papers; https://doi.org/10.1016/j.epsl.2017.10.034,1
KNR207-2_GGC3,,0.25,0.549,3.76,0.549,3.76,,,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Middleton, J. L., C. H. Langmuir, S. Mukhopadhyay, J. F. McManus, and J. X. Mitrovica (2016), Hydrothermal iron flux variability following rapid sea level changes, Geophysical Research Letters, 43(8), 3848-3856, https://doi.org/10.1002/2016GL068408. ; Middleton, J. L., S. Mukhopadhyay, C. H. Langmuir, J. F. McManus, and P. J. Huybers (2018), Millennial-scale variations in dustiness recorded in Mid-Atlantic sediments from 0 to 70 ka, Earth and Planetary Science Letters, 482, 12-22, https://doi.org/10.1016/j.epsl.2017.10.034.",,supplementary materials of the papers; https://doi.org/10.1016/j.epsl.2017.10.034,1
KNR207-2_GGC3,,0.25,0.415,4.052,0.415,4.052,,,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Middleton, J. L., C. H. Langmuir, S. Mukhopadhyay, J. F. McManus, and J. X. Mitrovica (2016), Hydrothermal iron flux variability following rapid sea level changes, Geophysical Research Letters, 43(8), 3848-3856, https://doi.org/10.1002/2016GL068408. ; Middleton, J. L., S. Mukhopadhyay, C. H. Langmuir, J. F. McManus, and P. J. Huybers (2018), Millennial-scale variations in dustiness recorded in Mid-Atlantic sediments from 0 to 70 ka, Earth and Planetary Science Letters, 482, 12-22, https://doi.org/10.1016/j.epsl.2017.10.034.",,supplementary materials of the papers; https://doi.org/10.1016/j.epsl.2017.10.034,1
KNR207-2_GGC3,,0.25,0.684,3.468,0.684,3.468,,,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Middleton, J. L., C. H. Langmuir, S. Mukhopadhyay, J. F. McManus, and J. X. Mitrovica (2016), Hydrothermal iron flux variability following rapid sea level changes, Geophysical Research Letters, 43(8), 3848-3856, https://doi.org/10.1002/2016GL068408. ; Middleton, J. L., S. Mukhopadhyay, C. H. Langmuir, J. F. McManus, and P. J. Huybers (2018), Millennial-scale variations in dustiness recorded in Mid-Atlantic sediments from 0 to 70 ka, Earth and Planetary Science Letters, 482, 12-22, https://doi.org/10.1016/j.epsl.2017.10.034.",,supplementary materials of the papers; https://doi.org/10.1016/j.epsl.2017.10.034,1
KNR207-2_GGC3,,0.27,0.787,3.672,0.787,3.672,,,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Middleton, J. L., C. H. Langmuir, S. Mukhopadhyay, J. F. McManus, and J. X. Mitrovica (2016), Hydrothermal iron flux variability following rapid sea level changes, Geophysical Research Letters, 43(8), 3848-3856, https://doi.org/10.1002/2016GL068408. ; Middleton, J. L., S. Mukhopadhyay, C. H. Langmuir, J. F. McManus, and P. J. Huybers (2018), Millennial-scale variations in dustiness recorded in Mid-Atlantic sediments from 0 to 70 ka, Earth and Planetary Science Letters, 482, 12-22, https://doi.org/10.1016/j.epsl.2017.10.034.",,supplementary materials of the papers; https://doi.org/10.1016/j.epsl.2017.10.034,1
KNR207-2_GGC3,,0.29,0.307,3.656,0.307,3.656,,,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Middleton, J. L., C. H. Langmuir, S. Mukhopadhyay, J. F. McManus, and J. X. Mitrovica (2016), Hydrothermal iron flux variability following rapid sea level changes, Geophysical Research Letters, 43(8), 3848-3856, https://doi.org/10.1002/2016GL068408. ; Middleton, J. L., S. Mukhopadhyay, C. H. Langmuir, J. F. McManus, and P. J. Huybers (2018), Millennial-scale variations in dustiness recorded in Mid-Atlantic sediments from 0 to 70 ka, Earth and Planetary Science Letters, 482, 12-22, https://doi.org/10.1016/j.epsl.2017.10.034.",,supplementary materials of the papers; https://doi.org/10.1016/j.epsl.2017.10.034,1
KNR207-2_GGC3,,0.31,0.258,3.819,0.258,3.819,,,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Middleton, J. L., C. H. Langmuir, S. Mukhopadhyay, J. F. McManus, and J. X. Mitrovica (2016), Hydrothermal iron flux variability following rapid sea level changes, Geophysical Research Letters, 43(8), 3848-3856, https://doi.org/10.1002/2016GL068408. ; Middleton, J. L., S. Mukhopadhyay, C. H. Langmuir, J. F. McManus, and P. J. Huybers (2018), Millennial-scale variations in dustiness recorded in Mid-Atlantic sediments from 0 to 70 ka, Earth and Planetary Science Letters, 482, 12-22, https://doi.org/10.1016/j.epsl.2017.10.034.",,supplementary materials of the papers; https://doi.org/10.1016/j.epsl.2017.10.034,1
KNR207-2_GGC3,,0.33,0.298,3.904,0.298,3.904,,,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Middleton, J. L., C. H. Langmuir, S. Mukhopadhyay, J. F. McManus, and J. X. Mitrovica (2016), Hydrothermal iron flux variability following rapid sea level changes, Geophysical Research Letters, 43(8), 3848-3856, https://doi.org/10.1002/2016GL068408. ; Middleton, J. L., S. Mukhopadhyay, C. H. Langmuir, J. F. McManus, and P. J. Huybers (2018), Millennial-scale variations in dustiness recorded in Mid-Atlantic sediments from 0 to 70 ka, Earth and Planetary Science Letters, 482, 12-22, https://doi.org/10.1016/j.epsl.2017.10.034.",,supplementary materials of the papers; https://doi.org/10.1016/j.epsl.2017.10.034,1
KNR207-2_GGC3,,0.35,0.538,4.359,0.538,4.359,,,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Middleton, J. L., C. H. Langmuir, S. Mukhopadhyay, J. F. McManus, and J. X. Mitrovica (2016), Hydrothermal iron flux variability following rapid sea level changes, Geophysical Research Letters, 43(8), 3848-3856, https://doi.org/10.1002/2016GL068408. ; Middleton, J. L., S. Mukhopadhyay, C. H. Langmuir, J. F. McManus, and P. J. Huybers (2018), Millennial-scale variations in dustiness recorded in Mid-Atlantic sediments from 0 to 70 ka, Earth and Planetary Science Letters, 482, 12-22, https://doi.org/10.1016/j.epsl.2017.10.034.",,supplementary materials of the papers; https://doi.org/10.1016/j.epsl.2017.10.034,1
KNR207-2_GGC3,,0.35,0.838,4.287,0.838,4.287,,,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Middleton, J. L., C. H. Langmuir, S. Mukhopadhyay, J. F. McManus, and J. X. Mitrovica (2016), Hydrothermal iron flux variability following rapid sea level changes, Geophysical Research Letters, 43(8), 3848-3856, https://doi.org/10.1002/2016GL068408. ; Middleton, J. L., S. Mukhopadhyay, C. H. Langmuir, J. F. McManus, and P. J. Huybers (2018), Millennial-scale variations in dustiness recorded in Mid-Atlantic sediments from 0 to 70 ka, Earth and Planetary Science Letters, 482, 12-22, https://doi.org/10.1016/j.epsl.2017.10.034.",,supplementary materials of the papers; https://doi.org/10.1016/j.epsl.2017.10.034,1
KNR207-2_GGC3,,0.35,0.688,4.323,0.688,4.323,,,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Middleton, J. L., C. H. Langmuir, S. Mukhopadhyay, J. F. McManus, and J. X. Mitrovica (2016), Hydrothermal iron flux variability following rapid sea level changes, Geophysical Research Letters, 43(8), 3848-3856, https://doi.org/10.1002/2016GL068408. ; Middleton, J. L., S. Mukhopadhyay, C. H. Langmuir, J. F. McManus, and P. J. Huybers (2018), Millennial-scale variations in dustiness recorded in Mid-Atlantic sediments from 0 to 70 ka, Earth and Planetary Science Letters, 482, 12-22, https://doi.org/10.1016/j.epsl.2017.10.034.",,supplementary materials of the papers; https://doi.org/10.1016/j.epsl.2017.10.034,1
KNR207-2_GGC3,,0.37,0.597,4.146,0.597,4.146,,,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Middleton, J. L., C. H. Langmuir, S. Mukhopadhyay, J. F. McManus, and J. X. Mitrovica (2016), Hydrothermal iron flux variability following rapid sea level changes, Geophysical Research Letters, 43(8), 3848-3856, https://doi.org/10.1002/2016GL068408. ; Middleton, J. L., S. Mukhopadhyay, C. H. Langmuir, J. F. McManus, and P. J. Huybers (2018), Millennial-scale variations in dustiness recorded in Mid-Atlantic sediments from 0 to 70 ka, Earth and Planetary Science Letters, 482, 12-22, https://doi.org/10.1016/j.epsl.2017.10.034.",,supplementary materials of the papers; https://doi.org/10.1016/j.epsl.2017.10.034,1
KNR207-2_GGC3,,0.39,0.707,3.928,0.707,3.928,,,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Middleton, J. L., C. H. Langmuir, S. Mukhopadhyay, J. F. McManus, and J. X. Mitrovica (2016), Hydrothermal iron flux variability following rapid sea level changes, Geophysical Research Letters, 43(8), 3848-3856, https://doi.org/10.1002/2016GL068408. ; Middleton, J. L., S. Mukhopadhyay, C. H. Langmuir, J. F. McManus, and P. J. Huybers (2018), Millennial-scale variations in dustiness recorded in Mid-Atlantic sediments from 0 to 70 ka, Earth and Planetary Science Letters, 482, 12-22, https://doi.org/10.1016/j.epsl.2017.10.034.",,supplementary materials of the papers; https://doi.org/10.1016/j.epsl.2017.10.034,1
KNR207-2_GGC3,,0.39,1.045,3.792,1.045,3.792,,,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Middleton, J. L., C. H. Langmuir, S. Mukhopadhyay, J. F. McManus, and J. X. Mitrovica (2016), Hydrothermal iron flux variability following rapid sea level changes, Geophysical Research Letters, 43(8), 3848-3856, https://doi.org/10.1002/2016GL068408. ; Middleton, J. L., S. Mukhopadhyay, C. H. Langmuir, J. F. McManus, and P. J. Huybers (2018), Millennial-scale variations in dustiness recorded in Mid-Atlantic sediments from 0 to 70 ka, Earth and Planetary Science Letters, 482, 12-22, https://doi.org/10.1016/j.epsl.2017.10.034.",,supplementary materials of the papers; https://doi.org/10.1016/j.epsl.2017.10.034,1
KNR207-2_GGC3,,0.39,0.369,4.064,0.369,4.064,,,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Middleton, J. L., C. H. Langmuir, S. Mukhopadhyay, J. F. McManus, and J. X. Mitrovica (2016), Hydrothermal iron flux variability following rapid sea level changes, Geophysical Research Letters, 43(8), 3848-3856, https://doi.org/10.1002/2016GL068408. ; Middleton, J. L., S. Mukhopadhyay, C. H. Langmuir, J. F. McManus, and P. J. Huybers (2018), Millennial-scale variations in dustiness recorded in Mid-Atlantic sediments from 0 to 70 ka, Earth and Planetary Science Letters, 482, 12-22, https://doi.org/10.1016/j.epsl.2017.10.034.",,supplementary materials of the papers; https://doi.org/10.1016/j.epsl.2017.10.034,1
