Site,Sample Label,archival_depth (m),d13C (VPDB),d18O (VPDB),d13C_corrected (PDB),d18O_corrected (PDB),Number of shells,Minimum mesh size (um),Maximum mesh size (um),Taxon,Taxon_flag,Taxon_note1,Taxon_note2,Taxon_note3,Additional_note,Publication source,Original Reference,File Name,Data source,quality control
GIK23419-8,,0.2,1.31,2.39,1.31,2.39,5-15,315,400,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Jung, Simon J A (1996): Wassermassenaustausch zwischen NE-Atlantik und Nordmeer waehrend der letzten 300 000/80 000 Jahre im Abbild stabiler O- und C- Isotope. Berichte aus dem Sonderforschungsbereich 313, Christian-Albrechts-Universitaet, Kiel, 61, 104 pp, https://doi.org/10.2312/reports-sfb313.1996.61",,"Jung, Simon J A; Sarnthein, Michael (2003): Stable isotope data of sediment cores GIK23419-8. PANGAEA, https://doi.org/10.1594/PANGAEA.112916; age model: Jung, Simon J A (2004): Age model of sediment core GIK23419-8. PANGAEA, https://doi.org/10.1594/PANGAEA.186497Vogelsang, Elke; Sarnthein, Michael; Pflaumann, Uwe (2004): Age control of sediment core GIK23419-8. PANGAEA, https://doi.org/10.1594/PANGAEA.143169, Chi, J; Mienert, Juergen (2003): Age model of sediment core GIK23419-8. PANGAEA, https://doi.org/10.1594/PANGAEA.133934",1
GIK23419-8,,0.215,1.3,2.39,1.3,2.39,5-15,315,400,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Jung, Simon J A (1996): Wassermassenaustausch zwischen NE-Atlantik und Nordmeer waehrend der letzten 300 000/80 000 Jahre im Abbild stabiler O- und C- Isotope. Berichte aus dem Sonderforschungsbereich 313, Christian-Albrechts-Universitaet, Kiel, 61, 104 pp, https://doi.org/10.2312/reports-sfb313.1996.61",,"Jung, Simon J A; Sarnthein, Michael (2003): Stable isotope data of sediment cores GIK23419-8. PANGAEA, https://doi.org/10.1594/PANGAEA.112916; age model: Jung, Simon J A (2004): Age model of sediment core GIK23419-8. PANGAEA, https://doi.org/10.1594/PANGAEA.186497Vogelsang, Elke; Sarnthein, Michael; Pflaumann, Uwe (2004): Age control of sediment core GIK23419-8. PANGAEA, https://doi.org/10.1594/PANGAEA.143169, Chi, J; Mienert, Juergen (2003): Age model of sediment core GIK23419-8. PANGAEA, https://doi.org/10.1594/PANGAEA.133934",1
GIK23419-8,,0.227,1.31,2.59,1.31,2.59,5-15,315,400,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Jung, Simon J A (1996): Wassermassenaustausch zwischen NE-Atlantik und Nordmeer waehrend der letzten 300 000/80 000 Jahre im Abbild stabiler O- und C- Isotope. Berichte aus dem Sonderforschungsbereich 313, Christian-Albrechts-Universitaet, Kiel, 61, 104 pp, https://doi.org/10.2312/reports-sfb313.1996.61",,"Jung, Simon J A; Sarnthein, Michael (2003): Stable isotope data of sediment cores GIK23419-8. PANGAEA, https://doi.org/10.1594/PANGAEA.112916; age model: Jung, Simon J A (2004): Age model of sediment core GIK23419-8. PANGAEA, https://doi.org/10.1594/PANGAEA.186497Vogelsang, Elke; Sarnthein, Michael; Pflaumann, Uwe (2004): Age control of sediment core GIK23419-8. PANGAEA, https://doi.org/10.1594/PANGAEA.143169, Chi, J; Mienert, Juergen (2003): Age model of sediment core GIK23419-8. PANGAEA, https://doi.org/10.1594/PANGAEA.133934",1
GIK23419-8,,0.235,1.21,2.23,1.21,2.23,5-15,315,400,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Jung, Simon J A (1996): Wassermassenaustausch zwischen NE-Atlantik und Nordmeer waehrend der letzten 300 000/80 000 Jahre im Abbild stabiler O- und C- Isotope. Berichte aus dem Sonderforschungsbereich 313, Christian-Albrechts-Universitaet, Kiel, 61, 104 pp, https://doi.org/10.2312/reports-sfb313.1996.61",,"Jung, Simon J A; Sarnthein, Michael (2003): Stable isotope data of sediment cores GIK23419-8. PANGAEA, https://doi.org/10.1594/PANGAEA.112916; age model: Jung, Simon J A (2004): Age model of sediment core GIK23419-8. PANGAEA, https://doi.org/10.1594/PANGAEA.186497Vogelsang, Elke; Sarnthein, Michael; Pflaumann, Uwe (2004): Age control of sediment core GIK23419-8. PANGAEA, https://doi.org/10.1594/PANGAEA.143169, Chi, J; Mienert, Juergen (2003): Age model of sediment core GIK23419-8. PANGAEA, https://doi.org/10.1594/PANGAEA.133934",1
GIK23419-8,,0.239,1.27,2.56,1.27,2.56,5-15,315,400,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Jung, Simon J A (1996): Wassermassenaustausch zwischen NE-Atlantik und Nordmeer waehrend der letzten 300 000/80 000 Jahre im Abbild stabiler O- und C- Isotope. Berichte aus dem Sonderforschungsbereich 313, Christian-Albrechts-Universitaet, Kiel, 61, 104 pp, https://doi.org/10.2312/reports-sfb313.1996.61",,"Jung, Simon J A; Sarnthein, Michael (2003): Stable isotope data of sediment cores GIK23419-8. PANGAEA, https://doi.org/10.1594/PANGAEA.112916; age model: Jung, Simon J A (2004): Age model of sediment core GIK23419-8. PANGAEA, https://doi.org/10.1594/PANGAEA.186497Vogelsang, Elke; Sarnthein, Michael; Pflaumann, Uwe (2004): Age control of sediment core GIK23419-8. PANGAEA, https://doi.org/10.1594/PANGAEA.143169, Chi, J; Mienert, Juergen (2003): Age model of sediment core GIK23419-8. PANGAEA, https://doi.org/10.1594/PANGAEA.133934",1
GIK23419-8,,0.245,1.35,2.34,1.35,2.34,5-15,315,400,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Jung, Simon J A (1996): Wassermassenaustausch zwischen NE-Atlantik und Nordmeer waehrend der letzten 300 000/80 000 Jahre im Abbild stabiler O- und C- Isotope. Berichte aus dem Sonderforschungsbereich 313, Christian-Albrechts-Universitaet, Kiel, 61, 104 pp, https://doi.org/10.2312/reports-sfb313.1996.61",,"Jung, Simon J A; Sarnthein, Michael (2003): Stable isotope data of sediment cores GIK23419-8. PANGAEA, https://doi.org/10.1594/PANGAEA.112916; age model: Jung, Simon J A (2004): Age model of sediment core GIK23419-8. PANGAEA, https://doi.org/10.1594/PANGAEA.186497Vogelsang, Elke; Sarnthein, Michael; Pflaumann, Uwe (2004): Age control of sediment core GIK23419-8. PANGAEA, https://doi.org/10.1594/PANGAEA.143169, Chi, J; Mienert, Juergen (2003): Age model of sediment core GIK23419-8. PANGAEA, https://doi.org/10.1594/PANGAEA.133934",1
GIK23419-8,,0.265,1.35,3,1.35,3,5-15,315,400,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Jung, Simon J A (1996): Wassermassenaustausch zwischen NE-Atlantik und Nordmeer waehrend der letzten 300 000/80 000 Jahre im Abbild stabiler O- und C- Isotope. Berichte aus dem Sonderforschungsbereich 313, Christian-Albrechts-Universitaet, Kiel, 61, 104 pp, https://doi.org/10.2312/reports-sfb313.1996.61",,"Jung, Simon J A; Sarnthein, Michael (2003): Stable isotope data of sediment cores GIK23419-8. PANGAEA, https://doi.org/10.1594/PANGAEA.112916; age model: Jung, Simon J A (2004): Age model of sediment core GIK23419-8. PANGAEA, https://doi.org/10.1594/PANGAEA.186497Vogelsang, Elke; Sarnthein, Michael; Pflaumann, Uwe (2004): Age control of sediment core GIK23419-8. PANGAEA, https://doi.org/10.1594/PANGAEA.143169, Chi, J; Mienert, Juergen (2003): Age model of sediment core GIK23419-8. PANGAEA, https://doi.org/10.1594/PANGAEA.133934",1
GIK23419-8,,0.275,1.2,2.22,1.2,2.22,5-15,315,400,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Jung, Simon J A (1996): Wassermassenaustausch zwischen NE-Atlantik und Nordmeer waehrend der letzten 300 000/80 000 Jahre im Abbild stabiler O- und C- Isotope. Berichte aus dem Sonderforschungsbereich 313, Christian-Albrechts-Universitaet, Kiel, 61, 104 pp, https://doi.org/10.2312/reports-sfb313.1996.61",,"Jung, Simon J A; Sarnthein, Michael (2003): Stable isotope data of sediment cores GIK23419-8. PANGAEA, https://doi.org/10.1594/PANGAEA.112916; age model: Jung, Simon J A (2004): Age model of sediment core GIK23419-8. PANGAEA, https://doi.org/10.1594/PANGAEA.186497Vogelsang, Elke; Sarnthein, Michael; Pflaumann, Uwe (2004): Age control of sediment core GIK23419-8. PANGAEA, https://doi.org/10.1594/PANGAEA.143169, Chi, J; Mienert, Juergen (2003): Age model of sediment core GIK23419-8. PANGAEA, https://doi.org/10.1594/PANGAEA.133934",1
GIK23419-8,,0.285,1.25,2.95,1.25,2.95,5-15,315,400,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Jung, Simon J A (1996): Wassermassenaustausch zwischen NE-Atlantik und Nordmeer waehrend der letzten 300 000/80 000 Jahre im Abbild stabiler O- und C- Isotope. Berichte aus dem Sonderforschungsbereich 313, Christian-Albrechts-Universitaet, Kiel, 61, 104 pp, https://doi.org/10.2312/reports-sfb313.1996.61",,"Jung, Simon J A; Sarnthein, Michael (2003): Stable isotope data of sediment cores GIK23419-8. PANGAEA, https://doi.org/10.1594/PANGAEA.112916; age model: Jung, Simon J A (2004): Age model of sediment core GIK23419-8. PANGAEA, https://doi.org/10.1594/PANGAEA.186497Vogelsang, Elke; Sarnthein, Michael; Pflaumann, Uwe (2004): Age control of sediment core GIK23419-8. PANGAEA, https://doi.org/10.1594/PANGAEA.143169, Chi, J; Mienert, Juergen (2003): Age model of sediment core GIK23419-8. PANGAEA, https://doi.org/10.1594/PANGAEA.133934",1
GIK23419-8,,0.289,1.19,2.7,1.19,2.7,5-15,315,400,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Jung, Simon J A (1996): Wassermassenaustausch zwischen NE-Atlantik und Nordmeer waehrend der letzten 300 000/80 000 Jahre im Abbild stabiler O- und C- Isotope. Berichte aus dem Sonderforschungsbereich 313, Christian-Albrechts-Universitaet, Kiel, 61, 104 pp, https://doi.org/10.2312/reports-sfb313.1996.61",,"Jung, Simon J A; Sarnthein, Michael (2003): Stable isotope data of sediment cores GIK23419-8. PANGAEA, https://doi.org/10.1594/PANGAEA.112916; age model: Jung, Simon J A (2004): Age model of sediment core GIK23419-8. PANGAEA, https://doi.org/10.1594/PANGAEA.186497Vogelsang, Elke; Sarnthein, Michael; Pflaumann, Uwe (2004): Age control of sediment core GIK23419-8. PANGAEA, https://doi.org/10.1594/PANGAEA.143169, Chi, J; Mienert, Juergen (2003): Age model of sediment core GIK23419-8. PANGAEA, https://doi.org/10.1594/PANGAEA.133934",1
