Site,Sample Label,archival_depth (m),d13C (VPDB),d18O (VPDB),d13C_corrected (PDB),d18O_corrected (PDB),Number of shells,Minimum mesh size (um),Maximum mesh size (um),Taxon,Taxon_flag,Taxon_note1,Taxon_note2,Taxon_note3,Additional_note,Publication source,Original Reference,File Name,Data source,quality control,
SO82-5-2,,0.02,1.56,3.91,1.56,3.91,5-15,315,400,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Cannot get citation for doi: 10.2312/reports-sfb313.1996.61, probably a report. AND Van Kreveld, S., Sarnthein, M., Erlenkeuser, H., Grootes, P., Jung, S., Nadeau, M. J., Pflaumann, U. and Voelker, A.: Potential links between surging ice sheets, circulation changes, and the Dansgaard-Oeschger Cycles in the Irminger Sea, 60-18 Kyr, Paleoceanography, 15(4), 425–442, doi:10.1029/1999pa000464, 2000.",,https://doi.pangaea.de/10.1594/PANGAEA.201812, https://doi.pangaea.de/10.1594/PANGAEA.261313,1
SO82-5-2,,0.08,1.4,3.74,1.4,3.74,5-15,315,400,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Cannot get citation for doi: 10.2312/reports-sfb313.1996.61, probably a report. AND Van Kreveld, S., Sarnthein, M., Erlenkeuser, H., Grootes, P., Jung, S., Nadeau, M. J., Pflaumann, U. and Voelker, A.: Potential links between surging ice sheets, circulation changes, and the Dansgaard-Oeschger Cycles in the Irminger Sea, 60-18 Kyr, Paleoceanography, 15(4), 425–442, doi:10.1029/1999pa000464, 2000.",,https://doi.pangaea.de/10.1594/PANGAEA.201812, https://doi.pangaea.de/10.1594/PANGAEA.261313,1
SO82-5-2,,0.11,1.08,2.44,1.08,2.44,5-15,315,400,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Cannot get citation for doi: 10.2312/reports-sfb313.1996.61, probably a report. AND Van Kreveld, S., Sarnthein, M., Erlenkeuser, H., Grootes, P., Jung, S., Nadeau, M. J., Pflaumann, U. and Voelker, A.: Potential links between surging ice sheets, circulation changes, and the Dansgaard-Oeschger Cycles in the Irminger Sea, 60-18 Kyr, Paleoceanography, 15(4), 425–442, doi:10.1029/1999pa000464, 2000.",,https://doi.pangaea.de/10.1594/PANGAEA.201812, https://doi.pangaea.de/10.1594/PANGAEA.261313,1
SO82-5-2,,0.375,1.15,2.37,1.15,2.37,5-15,315,400,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Cannot get citation for doi: 10.2312/reports-sfb313.1996.61, probably a report. AND Van Kreveld, S., Sarnthein, M., Erlenkeuser, H., Grootes, P., Jung, S., Nadeau, M. J., Pflaumann, U. and Voelker, A.: Potential links between surging ice sheets, circulation changes, and the Dansgaard-Oeschger Cycles in the Irminger Sea, 60-18 Kyr, Paleoceanography, 15(4), 425–442, doi:10.1029/1999pa000464, 2000.",,https://doi.pangaea.de/10.1594/PANGAEA.201812, https://doi.pangaea.de/10.1594/PANGAEA.261313,1
SO82-5-2,,0.425,1.08,3.21,1.08,3.21,5-15,315,400,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Cannot get citation for doi: 10.2312/reports-sfb313.1996.61, probably a report. AND Van Kreveld, S., Sarnthein, M., Erlenkeuser, H., Grootes, P., Jung, S., Nadeau, M. J., Pflaumann, U. and Voelker, A.: Potential links between surging ice sheets, circulation changes, and the Dansgaard-Oeschger Cycles in the Irminger Sea, 60-18 Kyr, Paleoceanography, 15(4), 425–442, doi:10.1029/1999pa000464, 2000.",,https://doi.pangaea.de/10.1594/PANGAEA.201812, https://doi.pangaea.de/10.1594/PANGAEA.261313,1
SO82-5-2,,0.45,0.95,2.89,0.95,2.89,5-15,315,400,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Cannot get citation for doi: 10.2312/reports-sfb313.1996.61, probably a report. AND Van Kreveld, S., Sarnthein, M., Erlenkeuser, H., Grootes, P., Jung, S., Nadeau, M. J., Pflaumann, U. and Voelker, A.: Potential links between surging ice sheets, circulation changes, and the Dansgaard-Oeschger Cycles in the Irminger Sea, 60-18 Kyr, Paleoceanography, 15(4), 425–442, doi:10.1029/1999pa000464, 2000.",,https://doi.pangaea.de/10.1594/PANGAEA.201812, https://doi.pangaea.de/10.1594/PANGAEA.261313,1
SO82-5-2,,0.475,1.05,3.51,1.05,3.51,5-15,315,400,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Cannot get citation for doi: 10.2312/reports-sfb313.1996.61, probably a report. AND Van Kreveld, S., Sarnthein, M., Erlenkeuser, H., Grootes, P., Jung, S., Nadeau, M. J., Pflaumann, U. and Voelker, A.: Potential links between surging ice sheets, circulation changes, and the Dansgaard-Oeschger Cycles in the Irminger Sea, 60-18 Kyr, Paleoceanography, 15(4), 425–442, doi:10.1029/1999pa000464, 2000.",,https://doi.pangaea.de/10.1594/PANGAEA.201812, https://doi.pangaea.de/10.1594/PANGAEA.261313,1
SO82-5-2,,0.525,0.8,2.85,0.8,2.85,5-15,315,400,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Cannot get citation for doi: 10.2312/reports-sfb313.1996.61, probably a report. AND Van Kreveld, S., Sarnthein, M., Erlenkeuser, H., Grootes, P., Jung, S., Nadeau, M. J., Pflaumann, U. and Voelker, A.: Potential links between surging ice sheets, circulation changes, and the Dansgaard-Oeschger Cycles in the Irminger Sea, 60-18 Kyr, Paleoceanography, 15(4), 425–442, doi:10.1029/1999pa000464, 2000.",,https://doi.pangaea.de/10.1594/PANGAEA.201812, https://doi.pangaea.de/10.1594/PANGAEA.261313,1
SO82-5-2,,0.55,0.86,2.83,0.86,2.83,5-15,315,400,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Cannot get citation for doi: 10.2312/reports-sfb313.1996.61, probably a report. AND Van Kreveld, S., Sarnthein, M., Erlenkeuser, H., Grootes, P., Jung, S., Nadeau, M. J., Pflaumann, U. and Voelker, A.: Potential links between surging ice sheets, circulation changes, and the Dansgaard-Oeschger Cycles in the Irminger Sea, 60-18 Kyr, Paleoceanography, 15(4), 425–442, doi:10.1029/1999pa000464, 2000.",,https://doi.pangaea.de/10.1594/PANGAEA.201812, https://doi.pangaea.de/10.1594/PANGAEA.261313,1
SO82-5-2,,0.575,0.91,2.85,0.91,2.85,5-15,315,400,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Cannot get citation for doi: 10.2312/reports-sfb313.1996.61, probably a report. AND Van Kreveld, S., Sarnthein, M., Erlenkeuser, H., Grootes, P., Jung, S., Nadeau, M. J., Pflaumann, U. and Voelker, A.: Potential links between surging ice sheets, circulation changes, and the Dansgaard-Oeschger Cycles in the Irminger Sea, 60-18 Kyr, Paleoceanography, 15(4), 425–442, doi:10.1029/1999pa000464, 2000.",,https://doi.pangaea.de/10.1594/PANGAEA.201812, https://doi.pangaea.de/10.1594/PANGAEA.261313,1
