Site,Sample Label,archival_depth (m),d13C (VPDB),d18O (VPDB),d13C_corrected (PDB),d18O_corrected (PDB),Number of shells,Minimum mesh size (um),Maximum mesh size (um),Taxon,Taxon_flag,Taxon_note1,Taxon_note2,Taxon_note3,Additional_note,Publication source,Original Reference,File Name,Data source,quality control
MD01-2420,43,2.51575,-0.0808,3.073,,,1,,,Cibicidoides Wuellerstorfi,1,,,,,,"Sagawa, T., K. Toyoda, and T. Oba, Sea surface temperature record off central Japan since the Last Glacial Maximum using planktonic foraminiferal Mg/Ca thermometry, Journal of Quaternary Science, 21, 63-73, 2006.; Okazaki, Y., T. Sagawa, H. Asahi, K. Horikawa and J. Onodera, Ventilation changes in the western North Pacific since the last glacial period, Climate of the Past 8, 17-24, 2012.",MD012420_Cibicidoides_isotopes_OC3.xls,,1
MD01-2420,49,2.66155,-0.2098,3.775,,,1,,,Cibicidoides Wuellerstorfi,1,,,,,,"Sagawa, T., K. Toyoda, and T. Oba, Sea surface temperature record off central Japan since the Last Glacial Maximum using planktonic foraminiferal Mg/Ca thermometry, Journal of Quaternary Science, 21, 63-73, 2006.; Okazaki, Y., T. Sagawa, H. Asahi, K. Horikawa and J. Onodera, Ventilation changes in the western North Pacific since the last glacial period, Climate of the Past 8, 17-24, 2012.",MD012420_Cibicidoides_isotopes_OC3.xls,,1
MD01-2420,9,3.18525,-0.1738,3.862,,,1,,,Cibicidoides Wuellerstorfi,1,,,,,,"Sagawa, T., K. Toyoda, and T. Oba, Sea surface temperature record off central Japan since the Last Glacial Maximum using planktonic foraminiferal Mg/Ca thermometry, Journal of Quaternary Science, 21, 63-73, 2006.; Okazaki, Y., T. Sagawa, H. Asahi, K. Horikawa and J. Onodera, Ventilation changes in the western North Pacific since the last glacial period, Climate of the Past 8, 17-24, 2012.",MD012420_Cibicidoides_isotopes_OC3.xls,,1
MD01-2420,28,3.6465,-0.1863,3.598,,,3,,,Cibicidoides Wuellerstorfi,1,,,,,,"Sagawa, T., K. Toyoda, and T. Oba, Sea surface temperature record off central Japan since the Last Glacial Maximum using planktonic foraminiferal Mg/Ca thermometry, Journal of Quaternary Science, 21, 63-73, 2006.; Okazaki, Y., T. Sagawa, H. Asahi, K. Horikawa and J. Onodera, Ventilation changes in the western North Pacific since the last glacial period, Climate of the Past 8, 17-24, 2012.",MD012420_Cibicidoides_isotopes_OC3.xls,,1
MD01-2420,29,3.6707,-0.2123,3.884,,,5,,,Cibicidoides Wuellerstorfi,1,,,,,,"Sagawa, T., K. Toyoda, and T. Oba, Sea surface temperature record off central Japan since the Last Glacial Maximum using planktonic foraminiferal Mg/Ca thermometry, Journal of Quaternary Science, 21, 63-73, 2006.; Okazaki, Y., T. Sagawa, H. Asahi, K. Horikawa and J. Onodera, Ventilation changes in the western North Pacific since the last glacial period, Climate of the Past 8, 17-24, 2012.",MD012420_Cibicidoides_isotopes_OC3.xls,,1
MD01-2420,30,3.6949,-0.3303,3.844,,,5,,,Cibicidoides Wuellerstorfi,1,,,,,,"Sagawa, T., K. Toyoda, and T. Oba, Sea surface temperature record off central Japan since the Last Glacial Maximum using planktonic foraminiferal Mg/Ca thermometry, Journal of Quaternary Science, 21, 63-73, 2006.; Okazaki, Y., T. Sagawa, H. Asahi, K. Horikawa and J. Onodera, Ventilation changes in the western North Pacific since the last glacial period, Climate of the Past 8, 17-24, 2012.",MD012420_Cibicidoides_isotopes_OC3.xls,,1
MD01-2420,33,3.76775,-0.4343,3.792,,,5,,,Cibicidoides Wuellerstorfi,1,,,,,,"Sagawa, T., K. Toyoda, and T. Oba, Sea surface temperature record off central Japan since the Last Glacial Maximum using planktonic foraminiferal Mg/Ca thermometry, Journal of Quaternary Science, 21, 63-73, 2006.; Okazaki, Y., T. Sagawa, H. Asahi, K. Horikawa and J. Onodera, Ventilation changes in the western North Pacific since the last glacial period, Climate of the Past 8, 17-24, 2012.",MD012420_Cibicidoides_isotopes_OC3.xls,,1
MD01-2420,35,3.81635,-0.2413,3.85,,,5,,,Cibicidoides Wuellerstorfi,1,,,,,,"Sagawa, T., K. Toyoda, and T. Oba, Sea surface temperature record off central Japan since the Last Glacial Maximum using planktonic foraminiferal Mg/Ca thermometry, Journal of Quaternary Science, 21, 63-73, 2006.; Okazaki, Y., T. Sagawa, H. Asahi, K. Horikawa and J. Onodera, Ventilation changes in the western North Pacific since the last glacial period, Climate of the Past 8, 17-24, 2012.",MD012420_Cibicidoides_isotopes_OC3.xls,,1
MD01-2420,38,3.88925,-0.2983,3.749,,,5,,,Cibicidoides Wuellerstorfi,1,,,,,,"Sagawa, T., K. Toyoda, and T. Oba, Sea surface temperature record off central Japan since the Last Glacial Maximum using planktonic foraminiferal Mg/Ca thermometry, Journal of Quaternary Science, 21, 63-73, 2006.; Okazaki, Y., T. Sagawa, H. Asahi, K. Horikawa and J. Onodera, Ventilation changes in the western North Pacific since the last glacial period, Climate of the Past 8, 17-24, 2012.",MD012420_Cibicidoides_isotopes_OC3.xls,,1
MD01-2420,39,3.91355,-0.2053,3.749,,,5,,,Cibicidoides Wuellerstorfi,1,,,,,,"Sagawa, T., K. Toyoda, and T. Oba, Sea surface temperature record off central Japan since the Last Glacial Maximum using planktonic foraminiferal Mg/Ca thermometry, Journal of Quaternary Science, 21, 63-73, 2006.; Okazaki, Y., T. Sagawa, H. Asahi, K. Horikawa and J. Onodera, Ventilation changes in the western North Pacific since the last glacial period, Climate of the Past 8, 17-24, 2012.",MD012420_Cibicidoides_isotopes_OC3.xls,,1
