Site,Sample Label,age_model_depth (m),age_model (y BP),age_model_sigma_plus(y BP),age_model_sigma_minus(y BP),upper_95_percent(y BP),lower_95_percent(y BP),age_flag,age_model_note,age_model_collection,quality control
MD01-2420,,1.2907,4568,5509,3532,,,3,Age model calculate with BACON by Lorraine Lisiecki,,1
MD01-2420,,1.3007,4605,5556,3565,,,3,Age model calculate with BACON by Lorraine Lisiecki,,1
MD01-2420,,1.3107,4642,5587,3612,,,3,Age model calculate with BACON by Lorraine Lisiecki,,1
MD01-2420,,1.3207,4678,5624,3663,,,3,Age model calculate with BACON by Lorraine Lisiecki,,1
MD01-2420,,1.3307,4714,5663,3702,,,3,Age model calculate with BACON by Lorraine Lisiecki,,1
MD01-2420,,1.3407,4750,5711,3733,,,3,Age model calculate with BACON by Lorraine Lisiecki,,1
MD01-2420,,1.3507,4787,5753,3762,,,3,Age model calculate with BACON by Lorraine Lisiecki,,1
MD01-2420,,1.3607,4823,5781,3824,,,3,Age model calculate with BACON by Lorraine Lisiecki,,1
MD01-2420,,1.3707,4860,5810,3862,,,3,Age model calculate with BACON by Lorraine Lisiecki,,1
MD01-2420,,1.3807,4896,5846,3894,,,3,Age model calculate with BACON by Lorraine Lisiecki,,1
MD01-2420,,1.3907,4933,5881,3930,,,3,Age model calculate with BACON by Lorraine Lisiecki,,1
MD01-2420,,1.4007,4969,5918,3960,,,3,Age model calculate with BACON by Lorraine Lisiecki,,1
MD01-2420,,1.4107,5006,5947,3997,,,3,Age model calculate with BACON by Lorraine Lisiecki,,1
MD01-2420,,1.4207,5042,5982,4033,,,3,Age model calculate with BACON by Lorraine Lisiecki,,1
MD01-2420,,1.4307,5079,6019,4063,,,3,Age model calculate with BACON by Lorraine Lisiecki,,1
MD01-2420,,1.4407,5115,6059,4090,,,3,Age model calculate with BACON by Lorraine Lisiecki,,1
MD01-2420,,1.4507,5152,6106,4129,,,3,Age model calculate with BACON by Lorraine Lisiecki,,1
MD01-2420,,1.4607,5188,6132,4171,,,3,Age model calculate with BACON by Lorraine Lisiecki,,1
MD01-2420,,1.4707,5225,6168,4226,,,3,Age model calculate with BACON by Lorraine Lisiecki,,1
MD01-2420,,1.4807,5262,6193,4263,,,3,Age model calculate with BACON by Lorraine Lisiecki,,1
MD01-2420,,1.4907,5298,6228,4288,,,3,Age model calculate with BACON by Lorraine Lisiecki,,1
MD01-2420,,1.5007,5335,6268,4320,,,3,Age model calculate with BACON by Lorraine Lisiecki,,1
MD01-2420,,1.5107,5371,6301,4364,,,3,Age model calculate with BACON by Lorraine Lisiecki,,1
MD01-2420,,1.5207,5408,6337,4409,,,3,Age model calculate with BACON by Lorraine Lisiecki,,1
MD01-2420,,1.5307,5445,6371,4438,,,3,Age model calculate with BACON by Lorraine Lisiecki,,1
MD01-2420,,1.5407,5481,6406,4480,,,3,Age model calculate with BACON by Lorraine Lisiecki,,1
MD01-2420,,1.5507,5518,6451,4509,,,3,Age model calculate with BACON by Lorraine Lisiecki,,1
MD01-2420,,1.5607,5554,6480,4551,,,3,Age model calculate with BACON by Lorraine Lisiecki,,1
MD01-2420,,1.5707,5591,6508,4591,,,3,Age model calculate with BACON by Lorraine Lisiecki,,1
MD01-2420,,1.5807,5627,6543,4644,,,3,Age model calculate with BACON by Lorraine Lisiecki,,1
MD01-2420,,1.5907,5663,6577,4672,,,3,Age model calculate with BACON by Lorraine Lisiecki,,1
MD01-2420,,1.6007,5700,6614,4706,,,3,Age model calculate with BACON by Lorraine Lisiecki,,1
MD01-2420,,1.6107,5735,6642,4752,,,3,Age model calculate with BACON by Lorraine Lisiecki,,1
MD01-2420,,1.6207,5770,6671,4791,,,3,Age model calculate with BACON by Lorraine Lisiecki,,1
MD01-2420,,1.6307,5806,6708,4821,,,3,Age model calculate with BACON by Lorraine Lisiecki,,1
MD01-2420,,1.6407,5841,6740,4858,,,3,Age model calculate with BACON by Lorraine Lisiecki,,1
MD01-2420,,1.6507,5876,6780,4890,,,3,Age model calculate with BACON by Lorraine Lisiecki,,1
MD01-2420,,1.6607,5912,6811,4925,,,3,Age model calculate with BACON by Lorraine Lisiecki,,1
MD01-2420,,1.6707,5947,6838,4965,,,3,Age model calculate with BACON by Lorraine Lisiecki,,1
MD01-2420,,1.6807,5983,6871,5003,,,3,Age model calculate with BACON by Lorraine Lisiecki,,1
MD01-2420,,1.6907,6018,6906,5032,,,3,Age model calculate with BACON by Lorraine Lisiecki,,1
MD01-2420,,1.7007,6054,6939,5058,,,3,Age model calculate with BACON by Lorraine Lisiecki,,1
MD01-2420,,1.7107,6090,6969,5106,,,3,Age model calculate with BACON by Lorraine Lisiecki,,1
MD01-2420,,1.7207,6126,7001,5154,,,3,Age model calculate with BACON by Lorraine Lisiecki,,1
MD01-2420,,1.7307,6162,7032,5202,,,3,Age model calculate with BACON by Lorraine Lisiecki,,1
MD01-2420,,1.7407,6198,7076,5232,,,3,Age model calculate with BACON by Lorraine Lisiecki,,1
MD01-2420,,1.7507,6234,7110,5256,,,3,Age model calculate with BACON by Lorraine Lisiecki,,1
MD01-2420,,1.7607,6271,7135,5311,,,3,Age model calculate with BACON by Lorraine Lisiecki,,1
MD01-2420,,1.7707,6308,7168,5363,,,3,Age model calculate with BACON by Lorraine Lisiecki,,1
MD01-2420,,1.7807,6345,7206,5398,,,3,Age model calculate with BACON by Lorraine Lisiecki,,1
MD01-2420,,1.7907,6382,7248,5435,,,3,Age model calculate with BACON by Lorraine Lisiecki,,1
MD01-2420,,1.8007,6419,7285,5478,,,3,Age model calculate with BACON by Lorraine Lisiecki,,1
MD01-2420,,1.8107,6455,7311,5523,,,3,Age model calculate with BACON by Lorraine Lisiecki,,1
MD01-2420,,1.8207,6491,7335,5568,,,3,Age model calculate with BACON by Lorraine Lisiecki,,1
MD01-2420,,1.8307,6527,7366,5610,,,3,Age model calculate with BACON by Lorraine Lisiecki,,1
MD01-2420,,1.8407,6563,7408,5646,,,3,Age model calculate with BACON by Lorraine Lisiecki,,1
MD01-2420,,1.8507,6599,7446,5681,,,3,Age model calculate with BACON by Lorraine Lisiecki,,1
MD01-2420,,1.8607,6634,7465,5725,,,3,Age model calculate with BACON by Lorraine Lisiecki,,1
MD01-2420,,1.8707,6669,7491,5773,,,3,Age model calculate with BACON by Lorraine Lisiecki,,1
MD01-2420,,1.8807,6704,7519,5806,,,3,Age model calculate with BACON by Lorraine Lisiecki,,1
MD01-2420,,1.8907,6738,7548,5842,,,3,Age model calculate with BACON by Lorraine Lisiecki,,1
MD01-2420,,1.9007,6773,7574,5878,,,3,Age model calculate with BACON by Lorraine Lisiecki,,1
MD01-2420,,1.9107,6808,7600,5918,,,3,Age model calculate with BACON by Lorraine Lisiecki,,1
MD01-2420,,1.9207,6844,7624,5954,,,3,Age model calculate with BACON by Lorraine Lisiecki,,1
MD01-2420,,1.9307,6879,7658,6000,,,3,Age model calculate with BACON by Lorraine Lisiecki,,1
MD01-2420,,1.9407,6914,7682,6033,,,3,Age model calculate with BACON by Lorraine Lisiecki,,1
MD01-2420,,1.9507,6949,7711,6070,,,3,Age model calculate with BACON by Lorraine Lisiecki,,1
MD01-2420,,1.9607,6985,7740,6107,,,3,Age model calculate with BACON by Lorraine Lisiecki,,1
MD01-2420,,1.9707,7021,7762,6154,,,3,Age model calculate with BACON by Lorraine Lisiecki,,1
MD01-2420,,1.9807,7057,7795,6188,,,3,Age model calculate with BACON by Lorraine Lisiecki,,1
MD01-2420,,1.9907,7093,7833,6227,,,3,Age model calculate with BACON by Lorraine Lisiecki,,1
MD01-2420,,2.0007,7129,7870,6260,,,3,Age model calculate with BACON by Lorraine Lisiecki,,1
MD01-2420,,2.0107,7165,7895,6308,,,3,Age model calculate with BACON by Lorraine Lisiecki,,1
MD01-2420,,2.0207,7201,7927,6349,,,3,Age model calculate with BACON by Lorraine Lisiecki,,1
MD01-2420,,2.0307,7238,7957,6400,,,3,Age model calculate with BACON by Lorraine Lisiecki,,1
MD01-2420,,2.0407,7274,7993,6435,,,3,Age model calculate with BACON by Lorraine Lisiecki,,1
MD01-2420,,2.0507,7310,8032,6475,,,3,Age model calculate with BACON by Lorraine Lisiecki,,1
MD01-2420,,2.0607,7345,8063,6525,,,3,Age model calculate with BACON by Lorraine Lisiecki,,1
MD01-2420,,2.0707,7381,8093,6565,,,3,Age model calculate with BACON by Lorraine Lisiecki,,1
MD01-2420,,2.0807,7416,8126,6613,,,3,Age model calculate with BACON by Lorraine Lisiecki,,1
MD01-2420,,2.0907,7451,8167,6650,,,3,Age model calculate with BACON by Lorraine Lisiecki,,1
MD01-2420,,2.1007,7486,8204,6691,,,3,Age model calculate with BACON by Lorraine Lisiecki,,1
MD01-2420,,2.1107,7522,8224,6755,,,3,Age model calculate with BACON by Lorraine Lisiecki,,1
MD01-2420,,2.1207,7557,8243,6804,,,3,Age model calculate with BACON by Lorraine Lisiecki,,1
MD01-2420,,2.1307,7593,8267,6855,,,3,Age model calculate with BACON by Lorraine Lisiecki,,1
MD01-2420,,2.1407,7629,8296,6890,,,3,Age model calculate with BACON by Lorraine Lisiecki,,1
MD01-2420,,2.1507,7664,8331,6930,,,3,Age model calculate with BACON by Lorraine Lisiecki,,1
MD01-2420,,2.1607,7701,8353,6984,,,3,Age model calculate with BACON by Lorraine Lisiecki,,1
MD01-2420,,2.1707,7737,8383,7031,,,3,Age model calculate with BACON by Lorraine Lisiecki,,1
MD01-2420,,2.1807,7774,8415,7070,,,3,Age model calculate with BACON by Lorraine Lisiecki,,1
