Site,Sample Label,archival_depth (m),d13C (VPDB),d18O (VPDB),d13C_corrected (PDB),d18O_corrected (PDB),Number of shells,Minimum mesh size (um),Maximum mesh size (um),Taxon,Taxon_flag,Taxon_note1,Taxon_note2,Taxon_note3,Additional_note,Publication source,Original Reference,File Name,Data source,quality control
PS2498-1,,0.06,-0.1,2.59,-0.1,2.59,2-5,,,Cibicidoides spp.,7,,,,,Repschlaeger et al. 2021 compilation,"Mackensen, Andreas; Rudolph, Miriam; Kuhn, Gerhard (2001): Stable isotopes (Cibicidoides) of sediment core PS2498-1. PANGAEA, https://doi.org/10.1594/PANGAEA.80802",,https://doi.org/10.1594/PANGAEA.80802,1
PS2498-1,,0.16,-0.29,2.68,-0.29,2.68,2-5,,,Cibicidoides spp.,7,,,,,Repschlaeger et al. 2021 compilation,"Mackensen, Andreas; Rudolph, Miriam; Kuhn, Gerhard (2001): Stable isotopes (Cibicidoides) of sediment core PS2498-1. PANGAEA, https://doi.org/10.1594/PANGAEA.80802",,https://doi.org/10.1594/PANGAEA.80802,1
PS2498-1,,0.22,-0.16,2.56,-0.16,2.56,2-5,,,Cibicidoides spp.,7,,,,,Repschlaeger et al. 2021 compilation,"Mackensen, Andreas; Rudolph, Miriam; Kuhn, Gerhard (2001): Stable isotopes (Cibicidoides) of sediment core PS2498-1. PANGAEA, https://doi.org/10.1594/PANGAEA.80802",,https://doi.org/10.1594/PANGAEA.80802,1
PS2498-1,,0.22,0.04,2.61,0.04,2.61,2-5,,,Cibicidoides spp.,7,,,,,Repschlaeger et al. 2021 compilation,"Mackensen, Andreas; Rudolph, Miriam; Kuhn, Gerhard (2001): Stable isotopes (Cibicidoides) of sediment core PS2498-1. PANGAEA, https://doi.org/10.1594/PANGAEA.80802",,https://doi.org/10.1594/PANGAEA.80802,1
PS2498-1,,0.31,0.37,2.72,0.37,2.72,2-5,,,Cibicidoides spp.,7,,,,,Repschlaeger et al. 2021 compilation,"Mackensen, Andreas; Rudolph, Miriam; Kuhn, Gerhard (2001): Stable isotopes (Cibicidoides) of sediment core PS2498-1. PANGAEA, https://doi.org/10.1594/PANGAEA.80802",,https://doi.org/10.1594/PANGAEA.80802,1
PS2498-1,,0.41,0.2,2.88,0.2,2.88,2-5,,,Cibicidoides spp.,7,,,,,Repschlaeger et al. 2021 compilation,"Mackensen, Andreas; Rudolph, Miriam; Kuhn, Gerhard (2001): Stable isotopes (Cibicidoides) of sediment core PS2498-1. PANGAEA, https://doi.org/10.1594/PANGAEA.80802",,https://doi.org/10.1594/PANGAEA.80802,1
PS2498-1,,0.51,0.12,2.79,0.12,2.79,2-5,,,Cibicidoides spp.,7,,,,,Repschlaeger et al. 2021 compilation,"Mackensen, Andreas; Rudolph, Miriam; Kuhn, Gerhard (2001): Stable isotopes (Cibicidoides) of sediment core PS2498-1. PANGAEA, https://doi.org/10.1594/PANGAEA.80802",,https://doi.org/10.1594/PANGAEA.80802,1
PS2498-1,,0.61,0.38,3.04,0.38,3.04,2-5,,,Cibicidoides spp.,7,,,,,Repschlaeger et al. 2021 compilation,"Mackensen, Andreas; Rudolph, Miriam; Kuhn, Gerhard (2001): Stable isotopes (Cibicidoides) of sediment core PS2498-1. PANGAEA, https://doi.org/10.1594/PANGAEA.80802",,https://doi.org/10.1594/PANGAEA.80802,1
PS2498-1,,0.71,-0.72,3.35,-0.72,3.35,2-5,,,Cibicidoides spp.,7,,,,,Repschlaeger et al. 2021 compilation,"Mackensen, Andreas; Rudolph, Miriam; Kuhn, Gerhard (2001): Stable isotopes (Cibicidoides) of sediment core PS2498-1. PANGAEA, https://doi.org/10.1594/PANGAEA.80802",,https://doi.org/10.1594/PANGAEA.80802,1
PS2498-1,,0.81,-0.8,3.27,-0.8,3.27,2-5,,,Cibicidoides spp.,7,,,,,Repschlaeger et al. 2021 compilation,"Mackensen, Andreas; Rudolph, Miriam; Kuhn, Gerhard (2001): Stable isotopes (Cibicidoides) of sediment core PS2498-1. PANGAEA, https://doi.org/10.1594/PANGAEA.80802",,https://doi.org/10.1594/PANGAEA.80802,1
