Site,Sample Label,archival_depth (m),d13C (VPDB),d18O (VPDB),d13C_corrected (PDB),d18O_corrected (PDB),Number of shells,Minimum mesh size (um),Maximum mesh size (um),Taxon,Taxon_flag,Taxon_note1,Taxon_note2,Taxon_note3,Additional_note,Publication source,Original Reference,File Name,Data source,quality control
BOFS14K,,0.32,1.23,4.87,1.23,4.87,15-20,215,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Bertram, CJ et al. (1995): Cadmium/calcium and carbon isotope reconstructions of the glacial northeast Atlantic Ocean. Paleoceanography, 10(3), 563-578, https://doi.org/10.1029/94PA0305",,"Bertram, Caroline J; Elderfield, Henry; Shackleton, Nicholas J; McDonald, J A (1995): (Table B2) Cadmium/calcium ratio of sediment core BOFS14K. PANGAEA, https://doi.org/10.1594/PANGAEA.199654,",1
BOFS14K,,0.34,1.33,5.03,1.33,5.03,15-20,215,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Bertram, CJ et al. (1995): Cadmium/calcium and carbon isotope reconstructions of the glacial northeast Atlantic Ocean. Paleoceanography, 10(3), 563-578, https://doi.org/10.1029/94PA0305",,"Bertram, Caroline J; Elderfield, Henry; Shackleton, Nicholas J; McDonald, J A (1995): (Table B2) Cadmium/calcium ratio of sediment core BOFS14K. PANGAEA, https://doi.org/10.1594/PANGAEA.199654,",1
BOFS14K,,0.36,1.47,5.03,1.47,5.03,15-20,215,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Bertram, CJ et al. (1995): Cadmium/calcium and carbon isotope reconstructions of the glacial northeast Atlantic Ocean. Paleoceanography, 10(3), 563-578, https://doi.org/10.1029/94PA0305",,"Bertram, Caroline J; Elderfield, Henry; Shackleton, Nicholas J; McDonald, J A (1995): (Table B2) Cadmium/calcium ratio of sediment core BOFS14K. PANGAEA, https://doi.org/10.1594/PANGAEA.199654,",1
BOFS14K,,0.4,1.26,4.68,1.26,4.68,15-20,215,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Bertram, CJ et al. (1995): Cadmium/calcium and carbon isotope reconstructions of the glacial northeast Atlantic Ocean. Paleoceanography, 10(3), 563-578, https://doi.org/10.1029/94PA0305",,"Bertram, Caroline J; Elderfield, Henry; Shackleton, Nicholas J; McDonald, J A (1995): (Table B2) Cadmium/calcium ratio of sediment core BOFS14K. PANGAEA, https://doi.org/10.1594/PANGAEA.199654,",1
BOFS14K,,0.42,1.31,5.23,1.31,5.23,15-20,215,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Bertram, CJ et al. (1995): Cadmium/calcium and carbon isotope reconstructions of the glacial northeast Atlantic Ocean. Paleoceanography, 10(3), 563-578, https://doi.org/10.1029/94PA0305",,"Bertram, Caroline J; Elderfield, Henry; Shackleton, Nicholas J; McDonald, J A (1995): (Table B2) Cadmium/calcium ratio of sediment core BOFS14K. PANGAEA, https://doi.org/10.1594/PANGAEA.199654,",1
BOFS14K,,0.44,1.46,4.98,1.46,4.98,15-20,215,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Bertram, CJ et al. (1995): Cadmium/calcium and carbon isotope reconstructions of the glacial northeast Atlantic Ocean. Paleoceanography, 10(3), 563-578, https://doi.org/10.1029/94PA0305",,"Bertram, Caroline J; Elderfield, Henry; Shackleton, Nicholas J; McDonald, J A (1995): (Table B2) Cadmium/calcium ratio of sediment core BOFS14K. PANGAEA, https://doi.org/10.1594/PANGAEA.199654,",1
BOFS14K,,0.46,1.42,4.84,1.42,4.84,15-20,215,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Bertram, CJ et al. (1995): Cadmium/calcium and carbon isotope reconstructions of the glacial northeast Atlantic Ocean. Paleoceanography, 10(3), 563-578, https://doi.org/10.1029/94PA0305",,"Bertram, Caroline J; Elderfield, Henry; Shackleton, Nicholas J; McDonald, J A (1995): (Table B2) Cadmium/calcium ratio of sediment core BOFS14K. PANGAEA, https://doi.org/10.1594/PANGAEA.199654,",1
BOFS14K,,0.48,1.45,4.89,1.45,4.89,15-20,215,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Bertram, CJ et al. (1995): Cadmium/calcium and carbon isotope reconstructions of the glacial northeast Atlantic Ocean. Paleoceanography, 10(3), 563-578, https://doi.org/10.1029/94PA0305",,"Bertram, Caroline J; Elderfield, Henry; Shackleton, Nicholas J; McDonald, J A (1995): (Table B2) Cadmium/calcium ratio of sediment core BOFS14K. PANGAEA, https://doi.org/10.1594/PANGAEA.199654,",1
BOFS14K,,0.5,1.45,4.81,1.45,4.81,15-20,215,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Bertram, CJ et al. (1995): Cadmium/calcium and carbon isotope reconstructions of the glacial northeast Atlantic Ocean. Paleoceanography, 10(3), 563-578, https://doi.org/10.1029/94PA0305",,"Bertram, Caroline J; Elderfield, Henry; Shackleton, Nicholas J; McDonald, J A (1995): (Table B2) Cadmium/calcium ratio of sediment core BOFS14K. PANGAEA, https://doi.org/10.1594/PANGAEA.199654,",1
BOFS14K,,0.56,1.45,4.58,1.45,4.58,15-20,215,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Bertram, CJ et al. (1995): Cadmium/calcium and carbon isotope reconstructions of the glacial northeast Atlantic Ocean. Paleoceanography, 10(3), 563-578, https://doi.org/10.1029/94PA0305",,"Bertram, Caroline J; Elderfield, Henry; Shackleton, Nicholas J; McDonald, J A (1995): (Table B2) Cadmium/calcium ratio of sediment core BOFS14K. PANGAEA, https://doi.org/10.1594/PANGAEA.199654,",1
BOFS14K,,0.58,1.52,4.56,1.52,4.56,15-20,215,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Bertram, CJ et al. (1995): Cadmium/calcium and carbon isotope reconstructions of the glacial northeast Atlantic Ocean. Paleoceanography, 10(3), 563-578, https://doi.org/10.1029/94PA0305",,"Bertram, Caroline J; Elderfield, Henry; Shackleton, Nicholas J; McDonald, J A (1995): (Table B2) Cadmium/calcium ratio of sediment core BOFS14K. PANGAEA, https://doi.org/10.1594/PANGAEA.199654,",1
BOFS14K,,0.6,1.52,4.55,1.52,4.55,15-20,215,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Bertram, CJ et al. (1995): Cadmium/calcium and carbon isotope reconstructions of the glacial northeast Atlantic Ocean. Paleoceanography, 10(3), 563-578, https://doi.org/10.1029/94PA0305",,"Bertram, Caroline J; Elderfield, Henry; Shackleton, Nicholas J; McDonald, J A (1995): (Table B2) Cadmium/calcium ratio of sediment core BOFS14K. PANGAEA, https://doi.org/10.1594/PANGAEA.199654,",1
BOFS14K,,0.62,1.38,4.65,1.38,4.65,15-20,215,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Bertram, CJ et al. (1995): Cadmium/calcium and carbon isotope reconstructions of the glacial northeast Atlantic Ocean. Paleoceanography, 10(3), 563-578, https://doi.org/10.1029/94PA0305",,"Bertram, Caroline J; Elderfield, Henry; Shackleton, Nicholas J; McDonald, J A (1995): (Table B2) Cadmium/calcium ratio of sediment core BOFS14K. PANGAEA, https://doi.org/10.1594/PANGAEA.199654,",1
BOFS14K,,0.67,1.34,4.71,1.34,4.71,15-20,215,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Bertram, CJ et al. (1995): Cadmium/calcium and carbon isotope reconstructions of the glacial northeast Atlantic Ocean. Paleoceanography, 10(3), 563-578, https://doi.org/10.1029/94PA0305",,"Bertram, Caroline J; Elderfield, Henry; Shackleton, Nicholas J; McDonald, J A (1995): (Table B2) Cadmium/calcium ratio of sediment core BOFS14K. PANGAEA, https://doi.org/10.1594/PANGAEA.199654,",1
