Site,Sample Label,archival_depth (m),d13C (VPDB),d18O (VPDB),d13C_corrected (PDB),d18O_corrected (PDB),Number of shells,Minimum mesh size (um),Maximum mesh size (um),Taxon,Taxon_flag,Taxon_note1,Taxon_note2,Taxon_note3,Additional_note,Publication source,Original Reference,File Name,Data source,quality control
OCE205-2-100GGC,,0.15,1.63,,1.63,,,,,Cibicidoides spp.,7,,,,,Repschlaeger et al. 2021 compilation,Slowey and Curry (1995); Came et al. (2008),,https://www.ncdc.noaa.gov/paleo/study/8720,1
OCE205-2-100GGC,,0.15,1.47,,1.47,,,,,Cibicidoides spp.,7,,,,,Repschlaeger et al. 2021 compilation,Slowey and Curry (1995); Came et al. (2008),,https://www.ncdc.noaa.gov/paleo/study/8720,1
OCE205-2-100GGC,,0.15,1.79,,1.79,,,,,Cibicidoides spp.,7,,,,,Repschlaeger et al. 2021 compilation,Slowey and Curry (1995); Came et al. (2008),,https://www.ncdc.noaa.gov/paleo/study/8720,1
OCE205-2-100GGC,,0.16,1.44,,1.44,,,,,Cibicidoides spp.,7,,,,,Repschlaeger et al. 2021 compilation,Slowey and Curry (1995); Came et al. (2008),,https://www.ncdc.noaa.gov/paleo/study/8720,1
OCE205-2-100GGC,,0.16,1.54,,1.54,,,,,Cibicidoides spp.,7,,,,,Repschlaeger et al. 2021 compilation,Slowey and Curry (1995); Came et al. (2008),,https://www.ncdc.noaa.gov/paleo/study/8720,1
OCE205-2-100GGC,,0.16,1.49,,1.49,,,,,Cibicidoides spp.,7,,,,,Repschlaeger et al. 2021 compilation,Slowey and Curry (1995); Came et al. (2008),,https://www.ncdc.noaa.gov/paleo/study/8720,1
OCE205-2-100GGC,,0.17,1.395,,1.395,,,,,Cibicidoides spp.,7,,,,,Repschlaeger et al. 2021 compilation,Slowey and Curry (1995); Came et al. (2008),,https://www.ncdc.noaa.gov/paleo/study/8720,1
OCE205-2-100GGC,,0.17,1.36,,1.36,,,,,Cibicidoides spp.,7,,,,,Repschlaeger et al. 2021 compilation,Slowey and Curry (1995); Came et al. (2008),,https://www.ncdc.noaa.gov/paleo/study/8720,1
OCE205-2-100GGC,,0.17,1.43,,1.43,,,,,Cibicidoides spp.,7,,,,,Repschlaeger et al. 2021 compilation,Slowey and Curry (1995); Came et al. (2008),,https://www.ncdc.noaa.gov/paleo/study/8720,1
OCE205-2-100GGC,,0.19,1.56,,1.56,,,,,Cibicidoides spp.,7,,,,,Repschlaeger et al. 2021 compilation,Slowey and Curry (1995); Came et al. (2008),,https://www.ncdc.noaa.gov/paleo/study/8720,1
OCE205-2-100GGC,,0.19,1.65,,1.65,,,,,Cibicidoides spp.,7,,,,,Repschlaeger et al. 2021 compilation,Slowey and Curry (1995); Came et al. (2008),,https://www.ncdc.noaa.gov/paleo/study/8720,1
OCE205-2-100GGC,,0.19,1.605,,1.605,,,,,Cibicidoides spp.,7,,,,,Repschlaeger et al. 2021 compilation,Slowey and Curry (1995); Came et al. (2008),,https://www.ncdc.noaa.gov/paleo/study/8720,1
OCE205-2-100GGC,,0.2,1.37,,1.37,,,,,Cibicidoides spp.,7,,,,,Repschlaeger et al. 2021 compilation,Slowey and Curry (1995); Came et al. (2008),,https://www.ncdc.noaa.gov/paleo/study/8720,1
OCE205-2-100GGC,,0.2,1.3,,1.3,,,,,Cibicidoides spp.,7,,,,,Repschlaeger et al. 2021 compilation,Slowey and Curry (1995); Came et al. (2008),,https://www.ncdc.noaa.gov/paleo/study/8720,1
OCE205-2-100GGC,,0.2,1.44,,1.44,,,,,Cibicidoides spp.,7,,,,,Repschlaeger et al. 2021 compilation,Slowey and Curry (1995); Came et al. (2008),,https://www.ncdc.noaa.gov/paleo/study/8720,1
OCE205-2-100GGC,,0.22,1.32,,1.32,,,,,Cibicidoides spp.,7,,,,,Repschlaeger et al. 2021 compilation,Slowey and Curry (1995); Came et al. (2008),,https://www.ncdc.noaa.gov/paleo/study/8720,1
OCE205-2-100GGC,,0.22,1.37,,1.37,,,,,Cibicidoides spp.,7,,,,,Repschlaeger et al. 2021 compilation,Slowey and Curry (1995); Came et al. (2008),,https://www.ncdc.noaa.gov/paleo/study/8720,1
OCE205-2-100GGC,,0.22,1.32,,1.32,,,,,Cibicidoides spp.,7,,,,,Repschlaeger et al. 2021 compilation,Slowey and Curry (1995); Came et al. (2008),,https://www.ncdc.noaa.gov/paleo/study/8720,1
OCE205-2-100GGC,,0.22,1.337,,1.337,,,,,Cibicidoides spp.,7,,,,,Repschlaeger et al. 2021 compilation,Slowey and Curry (1995); Came et al. (2008),,https://www.ncdc.noaa.gov/paleo/study/8720,1
OCE205-2-100GGC,,0.23,1.38,,1.38,,,,,Cibicidoides spp.,7,,,,,Repschlaeger et al. 2021 compilation,Slowey and Curry (1995); Came et al. (2008),,https://www.ncdc.noaa.gov/paleo/study/8720,1
OCE205-2-100GGC,,0.23,1.277,,1.277,,,,,Cibicidoides spp.,7,,,,,Repschlaeger et al. 2021 compilation,Slowey and Curry (1995); Came et al. (2008),,https://www.ncdc.noaa.gov/paleo/study/8720,1
OCE205-2-100GGC,,0.23,1.16,,1.16,,,,,Cibicidoides spp.,7,,,,,Repschlaeger et al. 2021 compilation,Slowey and Curry (1995); Came et al. (2008),,https://www.ncdc.noaa.gov/paleo/study/8720,1
OCE205-2-100GGC,,0.23,1.29,,1.29,,,,,Cibicidoides spp.,7,,,,,Repschlaeger et al. 2021 compilation,Slowey and Curry (1995); Came et al. (2008),,https://www.ncdc.noaa.gov/paleo/study/8720,1
OCE205-2-100GGC,,0.24,1.2,,1.2,,,,,Cibicidoides spp.,7,,,,,Repschlaeger et al. 2021 compilation,Slowey and Curry (1995); Came et al. (2008),,https://www.ncdc.noaa.gov/paleo/study/8720,1
OCE205-2-100GGC,,0.24,1.17,,1.17,,,,,Cibicidoides spp.,7,,,,,Repschlaeger et al. 2021 compilation,Slowey and Curry (1995); Came et al. (2008),,https://www.ncdc.noaa.gov/paleo/study/8720,1
OCE205-2-100GGC,,0.24,1.46,,1.46,,,,,Cibicidoides spp.,7,,,,,Repschlaeger et al. 2021 compilation,Slowey and Curry (1995); Came et al. (2008),,https://www.ncdc.noaa.gov/paleo/study/8720,1
OCE205-2-100GGC,,0.24,1.41,,1.41,,,,,Cibicidoides spp.,7,,,,,Repschlaeger et al. 2021 compilation,Slowey and Curry (1995); Came et al. (2008),,https://www.ncdc.noaa.gov/paleo/study/8720,1
OCE205-2-100GGC,,0.24,1.31,,1.31,,,,,Cibicidoides spp.,7,,,,,Repschlaeger et al. 2021 compilation,Slowey and Curry (1995); Came et al. (2008),,https://www.ncdc.noaa.gov/paleo/study/8720,1
OCE205-2-100GGC,,0.25,1.37,,1.37,,,,,Cibicidoides spp.,7,,,,,Repschlaeger et al. 2021 compilation,Slowey and Curry (1995); Came et al. (2008),,https://www.ncdc.noaa.gov/paleo/study/8720,1
