Site,Sample Label,archival_depth (m),d13C (VPDB),d18O (VPDB),d13C_corrected (PDB),d18O_corrected (PDB),Number of shells,Minimum mesh size (um),Maximum mesh size (um),Taxon,Taxon_flag,Taxon_note1,Taxon_note2,Taxon_note3,Additional_note,Publication source,Original Reference,File Name,Data source,quality control
GeoB4240-2,,0.23,1.04,2.11,1.04,2.11,3-6,,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Freudenthal, Tim; Meggers, Helge; Henderiks, Jorijntje; Kuhlmann, Holger; Moreno, Ana; Wefer, Gerold (2002): Upwelling intensity and filament activity off Morocco during the last 250,000 years. Deep Sea Research Part II: Topical Studies in Oceanography, 49(17), 3655-3674, doi:10.1016/S0967-0645(02)00101-7",,NaN,1
GeoB4240-2,,0.33,1.03,2.21,1.03,2.21,3-6,,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Freudenthal, Tim; Meggers, Helge; Henderiks, Jorijntje; Kuhlmann, Holger; Moreno, Ana; Wefer, Gerold (2002): Upwelling intensity and filament activity off Morocco during the last 250,000 years. Deep Sea Research Part II: Topical Studies in Oceanography, 49(17), 3655-3674, doi:10.1016/S0967-0645(02)00101-7",,NaN,1
GeoB4240-2,,0.38,1.04,2.24,1.04,2.24,3-6,,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Freudenthal, Tim; Meggers, Helge; Henderiks, Jorijntje; Kuhlmann, Holger; Moreno, Ana; Wefer, Gerold (2002): Upwelling intensity and filament activity off Morocco during the last 250,000 years. Deep Sea Research Part II: Topical Studies in Oceanography, 49(17), 3655-3674, doi:10.1016/S0967-0645(02)00101-7",,NaN,1
GeoB4240-2,,0.48,0.88,1.96,0.88,1.96,3-6,,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Freudenthal, Tim; Meggers, Helge; Henderiks, Jorijntje; Kuhlmann, Holger; Moreno, Ana; Wefer, Gerold (2002): Upwelling intensity and filament activity off Morocco during the last 250,000 years. Deep Sea Research Part II: Topical Studies in Oceanography, 49(17), 3655-3674, doi:10.1016/S0967-0645(02)00101-7",,NaN,1
GeoB4240-2,,0.53,0.9,1.99,0.9,1.99,3-6,,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Freudenthal, Tim; Meggers, Helge; Henderiks, Jorijntje; Kuhlmann, Holger; Moreno, Ana; Wefer, Gerold (2002): Upwelling intensity and filament activity off Morocco during the last 250,000 years. Deep Sea Research Part II: Topical Studies in Oceanography, 49(17), 3655-3674, doi:10.1016/S0967-0645(02)00101-7",,NaN,1
GeoB4240-2,,0.58,0.55,2.16,0.55,2.16,3-6,,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Freudenthal, Tim; Meggers, Helge; Henderiks, Jorijntje; Kuhlmann, Holger; Moreno, Ana; Wefer, Gerold (2002): Upwelling intensity and filament activity off Morocco during the last 250,000 years. Deep Sea Research Part II: Topical Studies in Oceanography, 49(17), 3655-3674, doi:10.1016/S0967-0645(02)00101-7",,NaN,1
GeoB4240-2,,0.68,0.87,2.26,0.87,2.26,3-6,,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Freudenthal, Tim; Meggers, Helge; Henderiks, Jorijntje; Kuhlmann, Holger; Moreno, Ana; Wefer, Gerold (2002): Upwelling intensity and filament activity off Morocco during the last 250,000 years. Deep Sea Research Part II: Topical Studies in Oceanography, 49(17), 3655-3674, doi:10.1016/S0967-0645(02)00101-7",,NaN,1
GeoB4240-2,,0.73,0.77,2.69,0.77,2.69,3-6,,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Freudenthal, Tim; Meggers, Helge; Henderiks, Jorijntje; Kuhlmann, Holger; Moreno, Ana; Wefer, Gerold (2002): Upwelling intensity and filament activity off Morocco during the last 250,000 years. Deep Sea Research Part II: Topical Studies in Oceanography, 49(17), 3655-3674, doi:10.1016/S0967-0645(02)00101-7",,NaN,1
GeoB4240-2,,0.88,0.67,2.5,0.67,2.5,3-6,,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Freudenthal, Tim; Meggers, Helge; Henderiks, Jorijntje; Kuhlmann, Holger; Moreno, Ana; Wefer, Gerold (2002): Upwelling intensity and filament activity off Morocco during the last 250,000 years. Deep Sea Research Part II: Topical Studies in Oceanography, 49(17), 3655-3674, doi:10.1016/S0967-0645(02)00101-7",,NaN,1
GeoB4240-2,,0.93,0.56,2.66,0.56,2.66,3-6,,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Freudenthal, Tim; Meggers, Helge; Henderiks, Jorijntje; Kuhlmann, Holger; Moreno, Ana; Wefer, Gerold (2002): Upwelling intensity and filament activity off Morocco during the last 250,000 years. Deep Sea Research Part II: Topical Studies in Oceanography, 49(17), 3655-3674, doi:10.1016/S0967-0645(02)00101-7",,NaN,1
