Site,Longitude (degE),Latitude (degN),Site Depth (m),published_archival_depth (m),age_model (y BP),d13C (VPDB),d18O (VPDB),Taxon_flag,Ocean_flag(1=Atl.;2=Pac.;3=Ind.)
GIK23415_9,-19.145,53.178333,2472.0,2.525,32473.0,1.09,4.24,1.0,1
GIK23415_9,-19.145,53.178333,2472.0,2.55,32838.0,0.88,3.99,1.0,1
GIK23415_9,-19.145,53.178333,2472.0,2.575,33215.0,0.91,4.07,1.0,1
GIK23415_9,-19.145,53.178333,2472.0,2.6,33593.0,1.03,4.03,1.0,1
GIK23415_9,-19.145,53.178333,2472.0,2.625,33956.5,1.02,4.13,1.0,1
GIK23415_9,-19.145,53.178333,2472.0,2.65,34304.0,0.99,4.22,1.0,1
GIK23415_9,-19.145,53.178333,2472.0,2.675,34656.5,0.62,3.85,1.0,1
GIK23415_9,-19.145,53.178333,2472.0,2.7,35005.0,0.94,4.11,1.0,1
GIK23415_9,-19.145,53.178333,2472.0,2.725,35354.5,0.75,4.01,1.0,1
GIK23415_9,-19.145,53.178333,2472.0,2.775,36067.0,0.89,4.04,1.0,1
GIK23415_9,-19.145,53.178333,2472.0,2.8,36414.0,1.06,4.31,1.0,1
GIK23415_9,-19.145,53.178333,2472.0,2.875,37454.0,0.6,3.98,1.0,1
GIK23415_9,-19.145,53.178333,2472.0,2.925,38149.5,1.09,3.32,1.0,1
GIK23415_9,-19.145,53.178333,2472.0,2.95,38420.0,0.62,3.81,1.0,1
GIK23415_9,-19.145,53.178333,2472.0,2.975,38664.0,0.62,3.81,1.0,1
GIK23415_9,-19.145,53.178333,2472.0,3.0,38907.0,0.7,3.8,1.0,1
GIK23415_9,-19.145,53.178333,2472.0,3.025,39132.0,0.64,3.79,1.0,1
GIK23415_9,-19.145,53.178333,2472.0,3.05,39360.0,0.7,3.82,1.0,1
GIK23415_9,-19.145,53.178333,2472.0,3.075,39580.5,0.77,3.72,1.0,1
GIK23415_9,-19.145,53.178333,2472.0,3.1,39791.0,0.8,4.01,1.0,1
GIK23415_9,-19.145,53.178333,2472.0,3.125,40004.5,0.77,3.92,1.0,1
GIK23415_9,-19.145,53.178333,2472.0,3.15,40229.0,0.85,3.85,1.0,1
GIK23415_9,-19.145,53.178333,2472.0,3.175,40464.5,0.61,3.66,1.0,1
GIK23415_9,-19.145,53.178333,2472.0,3.2,40710.0,0.62,4.07,1.0,1
GIK23415_9,-19.145,53.178333,2472.0,3.25,41207.0,0.48,4.06,1.0,1
GIK23415_9,-19.145,53.178333,2472.0,3.275,41504.5,0.96,3.89,1.0,1
GIK23415_9,-19.145,53.178333,2472.0,3.3,41863.0,0.84,4.0,1.0,1
GIK23415_9,-19.145,53.178333,2472.0,3.325,42240.0,0.85,4.03,1.0,1
GIK23415_9,-19.145,53.178333,2472.0,3.425,43741.5,0.75,3.96,1.0,1
GIK23415_9,-19.145,53.178333,2472.0,3.45,44092.0,0.94,3.92,1.0,1
GIK23415_9,-19.145,53.178333,2472.0,3.5,44757.0,0.87,4.03,1.0,1
GIK23415_9,-19.145,53.178333,2472.0,3.525,45062.5,1.06,3.68,1.0,1
GIK23415_9,-19.145,53.178333,2472.0,3.55,45373.0,0.84,3.77,1.0,1
GIK23415_9,-19.145,53.178333,2472.0,3.6,46028.0,0.77,3.72,1.0,1
GIK23415_9,-19.145,53.178333,2472.0,3.625,46362.0,0.56,3.55,1.0,1
GIK23415_9,-19.145,53.178333,2472.0,3.65,46705.0,0.42,3.68,1.0,1
GIK23415_9,-19.145,53.178333,2472.0,3.675,47044.0,0.63,3.51,1.0,1
GIK23415_9,-19.145,53.178333,2472.0,3.7,47382.0,0.82,3.72,1.0,1
GIK23415_9,-19.145,53.178333,2472.0,3.725,47718.5,0.96,4.06,1.0,1
GIK23415_9,-19.145,53.178333,2472.0,3.75,48055.0,0.87,4.01,1.0,1
GIK23415_9,-19.145,53.178333,2472.0,3.775,48378.5,0.62,3.87,1.0,1
GIK23415_9,-19.145,53.178333,2472.0,3.8,48714.0,0.9,4.2,1.0,1
GIK23415_9,-19.145,53.178333,2472.0,3.825,49042.0,0.88,3.79,1.0,1
GIK23415_9,-19.145,53.178333,2472.0,3.975,50931.0,1.02,3.88,1.0,1
GIK23415_9,-19.145,53.178333,2472.0,4.0,51239.0,0.95,3.83,1.0,1
GIK23415_9,-19.145,53.178333,2472.0,4.05,51866.0,1.06,3.83,1.0,1
GIK23415_9,-19.145,53.178333,2472.0,4.1,52491.0,0.85,3.83,1.0,1
GIK23415_9,-19.145,53.178333,2472.0,4.15,53133.0,0.9,3.82,1.0,1
GIK23415_9,-19.145,53.178333,2472.0,4.2,53800.0,0.99,3.68,1.0,1
GIK23415_9,-19.145,53.178333,2472.0,4.3,55397.0,0.91,3.19,1.0,1
GIK23415_9,-19.145,53.178333,2472.0,4.35,56186.0,0.79,3.8,1.0,1
GIK23415_9,-19.145,53.178333,2472.0,4.39,56806.0,0.83,3.64,1.0,1
GIK23415_9,-19.145,53.178333,2472.0,4.45,57693.0,0.82,3.75,1.0,1
GIK23415_9,-19.145,53.178333,2472.0,4.5,58412.0,0.78,3.61,1.0,1
GIK23415_9,-19.145,53.178333,2472.0,4.55,59133.0,0.25,3.67,1.0,1
GIK23415_9,-19.145,53.178333,2472.0,4.6,59849.0,0.66,3.7,1.0,1
GIK23415_9,-19.145,53.178333,2472.0,4.8,62685.0,0.49,4.22,1.0,1
GIK23415_9,-19.145,53.178333,2472.0,4.85,63370.0,0.45,4.08,1.0,1
GIK23415_9,-19.145,53.178333,2472.0,5.0,65519.99999999999,0.42,4.15,1.0,1
GIK23415_9,-19.145,53.178333,2472.0,5.05,66266.0,0.36,3.72,1.0,1
GIK23415_9,-19.145,53.178333,2472.0,5.15,67812.0,0.73,3.51,1.0,1
GIK23415_9,-19.145,53.178333,2472.0,5.2,68608.0,0.55,3.51,1.0,1
GIK23415_9,-19.145,53.178333,2472.0,5.3,70187.0,1.06,3.89,1.0,1
GIK23415_9,-19.145,53.178333,2472.0,5.35,70965.0,0.96,3.48,1.0,1
GIK23415_9,-19.145,53.178333,2472.0,5.39,71595.0,1.07,3.57,1.0,1
GIK23415_9,-19.145,53.178333,2472.0,5.45,72175.0,0.9,3.42,1.0,1
GeoB1711,12.633,-25.533,1967.0,0.23,4319.0,0.77,2.3,1.0,1
GeoB1711,12.633,-25.533,1967.0,0.43,6653.0,0.74,2.48,1.0,1
GeoB1711,12.633,-25.533,1967.0,0.48,7391.0,0.51,3.4,1.0,1
GeoB1711,12.633,-25.533,1967.0,0.53,7929.0,0.51,2.64,1.0,1
GeoB1711,12.633,-25.533,1967.0,0.58,8419.0,0.63,2.77,1.0,1
GeoB1711,12.633,-25.533,1967.0,0.63,8922.0,0.5,3.05,1.0,1
GeoB1711,12.633,-25.533,1967.0,0.68,9419.0,0.44,2.8,1.0,1
GeoB1711,12.633,-25.533,1967.0,0.73,9926.0,0.02,3.26,1.0,1
GeoB1711,12.633,-25.533,1967.0,0.77,10343.0,0.42,3.59,1.0,1
GeoB1711,12.633,-25.533,1967.0,0.83,10991.0,0.62,3.39,1.0,1
GeoB1711,12.633,-25.533,1967.0,0.88,11545.0,0.51,3.54,1.0,1
GeoB1711,12.633,-25.533,1967.0,0.93,12098.0,0.72,3.43,1.0,1
GeoB1711,12.633,-25.533,1967.0,0.98,12648.0,0.48,3.53,1.0,1
GeoB1711,12.633,-25.533,1967.0,1.03,13203.0,0.62,3.65,1.0,1
GeoB1711,12.633,-25.533,1967.0,1.08,13745.0,0.53,3.45,1.0,1
GeoB1711,12.633,-25.533,1967.0,1.13,14211.0,-0.1,3.27,1.0,1
GeoB1711,12.633,-25.533,1967.0,1.18,14577.0,0.41,3.55,1.0,1
GeoB1711,12.633,-25.533,1967.0,1.23,14924.0,0.16,3.96,1.0,1
GeoB1711,12.633,-25.533,1967.0,1.28,15206.0,0.17,4.1,1.0,1
GeoB1711,12.633,-25.533,1967.0,1.33,15442.0,0.15,3.76,1.0,1
GeoB1711,12.633,-25.533,1967.0,1.38,15724.0,0.08,4.22,1.0,1
GeoB1711,12.633,-25.533,1967.0,1.43,16062.000000000002,0.05,4.31,1.0,1
GeoB1711,12.633,-25.533,1967.0,1.48,16601.0,0.24,4.18,1.0,1
GeoB1711,12.633,-25.533,1967.0,1.53,17282.0,0.29,4.3,1.0,1
GeoB1711,12.633,-25.533,1967.0,1.58,18009.0,0.26,4.57,1.0,1
GeoB1711,12.633,-25.533,1967.0,1.63,18438.0,0.24,4.39,1.0,1
GeoB1711,12.633,-25.533,1967.0,1.68,18789.0,0.0,4.27,1.0,1
GeoB1711,12.633,-25.533,1967.0,1.73,19066.0,-0.05,4.08,1.0,1
GeoB1711,12.633,-25.533,1967.0,1.78,19404.0,0.21,4.49,1.0,1
GeoB1711,12.633,-25.533,1967.0,1.83,19691.0,0.34,4.5,1.0,1
GeoB1711,12.633,-25.533,1967.0,1.88,20086.0,0.13,4.56,1.0,1
GeoB1711,12.633,-25.533,1967.0,1.93,20570.0,0.27,4.51,1.0,1
GeoB1711,12.633,-25.533,1967.0,1.98,21139.0,0.15,4.26,1.0,1
GeoB1711,12.633,-25.533,1967.0,2.03,21539.0,0.41,4.41,1.0,1
GeoB1711,12.633,-25.533,1967.0,2.08,21987.0,0.27,4.48,1.0,1
