Site,Longitude (degE),Latitude (degN),Site Depth (m),published_archival_depth (m),age_model (y BP),d13C (VPDB),d18O (VPDB),Taxon_flag,Ocean_flag(1=Atl.;2=Pac.;3=Ind.)
GIK16402,-20.5,14.4,4202.0,0.03,913.23,0.48,2.75,1.0,1
GIK16402,-20.5,14.4,4202.0,0.13,1328.1,0.58,2.5,1.0,1
GIK16402,-20.5,14.4,4202.0,0.145,2623.6000000000004,0.77,2.32,1.0,1
GIK16402,-20.5,14.4,4202.0,0.165,4333.1,0.76,2.45,1.0,1
GIK16402,-20.5,14.4,4202.0,0.18,5272.9,0.91,2.82,1.0,1
GIK16402,-20.5,14.4,4202.0,0.185,5587.6,0.73,2.71,1.0,1
GIK16402,-20.5,14.4,4202.0,0.19,5867.4,0.71,2.51,1.0,1
GIK16402,-20.5,14.4,4202.0,0.21,7076.4,0.6,2.97,1.0,1
GIK16402,-20.5,14.4,4202.0,0.23,8211.4,0.31,2.78,1.0,1
GIK16402,-20.5,14.4,4202.0,0.25,9197.4,0.54,2.85,1.0,1
GIK16402,-20.5,14.4,4202.0,0.27,9994.8,0.28,3.29,1.0,1
GIK16402,-20.5,14.4,4202.0,0.29,10722.999999999998,0.37,3.5,1.0,1
GIK16402,-20.5,14.4,4202.0,0.31,11530.0,0.61,3.65,1.0,1
GIK16402,-20.5,14.4,4202.0,0.33,12354.000000000002,0.03,2.48,1.0,1
GIK16402,-20.5,14.4,4202.0,0.35,13135.0,0.23,2.68,1.0,1
GIK16402,-20.5,14.4,4202.0,0.37,13818.0,0.13,2.74,1.0,1
GIK16402,-20.5,14.4,4202.0,0.39,14279.000000000002,0.14,2.69,1.0,1
GIK16402,-20.5,14.4,4202.0,0.4,14519.0,0.34,3.28,1.0,1
GIK16402,-20.5,14.4,4202.0,0.41,14760.0,0.29,3.33,1.0,1
GIK16402,-20.5,14.4,4202.0,0.43,15232.000000000002,0.04,3.51,1.0,1
GIK16402,-20.5,14.4,4202.0,0.45,15613.0,-0.05,3.61,1.0,1
GIK16402,-20.5,14.4,4202.0,0.47,15960.0,0.02,3.81,1.0,1
GIK16402,-20.5,14.4,4202.0,0.49,16202.000000000002,0.07,3.8,1.0,1
GIK16402,-20.5,14.4,4202.0,0.5,16311.0,-0.18,4.05,1.0,1
GIK16402,-20.5,14.4,4202.0,0.6,17557.000000000004,-0.01,4.16,1.0,1
GIK16402,-20.5,14.4,4202.0,0.63,18045.0,-0.17,4.39,1.0,1
GIK16402,-20.5,14.4,4202.0,0.7,19087.0,-0.03,4.65,1.0,1
GIK16402,-20.5,14.4,4202.0,0.8,20608.0,-0.06,4.54,1.0,1
GIK16402,-20.5,14.4,4202.0,0.81,20790.0,-0.3,4.75,1.0,1
GIK16402,-20.5,14.4,4202.0,0.91,22573.0,-0.18,4.38,1.0,1
GIK16402,-20.5,14.4,4202.0,1.0,24018.0,-0.44,4.4,1.0,1
GIK16402,-20.5,14.4,4202.0,1.2,27510.0,0.04,4.16,1.0,1
GIK16402,-20.5,14.4,4202.0,1.3,29992.0,0.14,4.14,1.0,1
GIK16402,-20.5,14.4,4202.0,1.4,32107.0,0.02,4.12,1.0,1
GIK16402,-20.5,14.4,4202.0,1.6,45093.99999999999,0.27,3.87,1.0,1
