SiteName
108_658C
117_723A
130_806B
161_976
167_1014
167_1019C
175_1078C
177_1089
181_1123
184_1143
184_1144A
184_1146
184_1147
186_1150A
202_1233
202_1240
202_1242
323_U1340A
3cBx
A7
AAS_9_21
BJ8_03_13GGC
BJ8_03_70GGC
BOFS31_1K
BOFS5K
BS79_33
CH07_98_GGC_19
CHAT_16k
CHAT1K
D13882
D13902
FR1_94_GC3
GeoB10029_4
GeoB10038_4
GeoB10042_1
GeoB10043_3
GeoB10065_7
GeoB10069_3
GeoB1023_5
GeoB1032_3
GeoB1105_3
GeoB1112_4
GeoB1117_2
GeoB12605_3
GeoB12610_2
GeoB12615_4
GeoB16224_1
GeoB16602
GeoB1710_3
GeoB1711_4
GeoB1720_2
GeoB17426_3
GeoB3129_1
GeoB3302_1
GeoB3327_5
GeoB3359_3
GeoB3910_2
GeoB4901_8
GeoB4905_4
GeoB5844_2
GeoB5901_2
GeoB6211_2
GeoB6518_1
GeoB7165_1
GeoB7186_3
GeoB7702_3
GeoB7926_2
GeoB8331_4
GeoB9307_3
GeoB9508_5
GeoB9526_5
GeoB9528_3
GIK12310_4
GIK12329_6
GIK12392_1
GIK15612_2
GIK15627_3
GIK15637_1
GIK15669_1
GIK16396_1
GIK16397_2
GIK16772_2
GIK16867_2
GIK17049_6
GIK17051_3
GIK17286_1
GIK17730_4
GIK17748_2
GIK17927_2
GIK17940_2
GIK17961_2
GIK18252_3
GIK18287_3
GIK18462_3
GIK18471_1
GiK18515_3
GIK18519_2
GIK18522_3
GIK18526_3
GIK18540_3
GIK23065_2
GIK23074_1
GIK23258_2
GIK23414_9
GIK23415_9
GL1090
H214
HM79_4_6
HM79_4
HU90_013_013
HU91_045_093
IOW225514
IOW225517
JR244_GC528
JT96_09PC
KF16
KNR159_5_36
KNR195_5_CDH23
KNR195_5_CDH26
KT05_7_PC_02
KX973_21_2
KX973_22_4
LaPAS_KF02
LPAZ21P
LV29_114_3
M125_445_7
M25_4_KL11
M35003_4
M35027_1
M39_008
M44_1_KL71
M75_3_137_3
M77_2_056_5
M77_2_059_1
M78_1_235_1
MD01_2378
MD01_2386
MD01_2390
MD01_2412
MD01_2416
MD01_2421
MD02_2489
MD02_2496
MD02_2529
MD02_2550C2
MD02_2575
MD02_2594
MD03_2607
MD03_2611G
MD03_2697
MD03_2707
MD05_2896
MD05_2904
MD05_2920
MD05_2925
MD06_3018
MD06_3047B
MD06_3067
MD06_3075
MD07_3128
MD10_3340
MD161_17
MD77_194
MD79_257
MD84_527
MD84_551
MD88_770
MD95_2002
MD95_2015
MD95_2024
MD95_2039
MD95_2040
MD95_2041
MD95_2042
MD95_2043
MD96_2048
MD97_2120
MD97_2121
MD97_2125_abovehiatus
MD97_2138
MD97_2141_abovehiatus
MD97_2142
MD97_2151
MD98_2160
MD98_2161
MD98_2162
MD98_2165
MD98_2170
MD98_2176
MD98_2178
MD98_2181
MD98_2188
MD99_2203
MD99_2256
MD99_2281
MD99_2284
MD99_2304
MD99_2331
MD99_2339
ME0005A_24JC
ME0005A_27JC
ME0005A_43JC
MR00_05_2PC
MR99_04_2PC
MSM02_3_666_4
MSM05_5_712_1
MSM05_5_723_2
NA87_22
NGHP_01_17
OCE326_GGC30
ODP1012
ODP1016C
ODP1020
ODP1084B
ODP1145
ODP1239
ODP807
ODP846
ODP982
ODP984C
P178_15P
PBBC_1
PM9462_4
POS200_10_28_1
PS2082_1
PS2495_3
PS2498_1
PS75_056_1
R657
RAPiD_10_1P
RAPiD_12_1K
RAPiD_15_4P
RC11_120
RC13_228
RS147_GC07
RS147_GC14
SCS90_36
SK157_4
SK168_GC_1
SK17
SK218_1
SK237_GC04
SO164_17_2
SO18480
SO189_119KL
SO189_39KL
SO201_2_114KL
SO201_2_12KL
SO201_2_85
SO213_2_59_2
SO217_18517_2
SO42_74KL
SO82_5_2
SU81_14
SU81_18
SU90_39
SU92_03
TAN0803_09
TGS_931
TR163_19
TR163_22
TR163_31P
TTR12_293G
TTR17_434G
U1429
U1446
U938
U939
V19_27
V19_28
V19_30
V25_59
V28_122
V28_127
V28_14
V30_49
W8402A_14
WIND_28K
