Site,Sample label,sample depth,technique,lab. code,species/material,radiocarbon age (y),radiocarbon age error plus (y),radiocarbon age error minus (y),reservoir age (y),reservoir age error plus (y),reservoir age error minus (y),calendar age (yBP),calendar age error plus (yBP),calendar age error minus (yBP),calibration curve,alignment target,alignment proxy,note1,note2,original reference,data doi
GL-1180,Beta-504070,0.2100,AMS 14C,,G. ruber and T. sacculifer,2440.0000,30.0000,30.0000,400.0000,200.0000,200.0000,2077.0000,106.0000,106.0000,IntCal13,,,,,"NASCIMENTO, Rodrigo A., et al. Tropical Atlantic stratification response to late Quaternary precessional forcing. Earth and Planetary Science Letters, 2021, vol. 568, p. 117030.",
GL-1180,Beta-510823,0.8100,AMS 14C,,G. ruber and T. sacculifer,9630.0000,30.0000,30.0000,400.0000,200.0000,200.0000,10518.5000,103.5000,103.5000,IntCal13,,,,,"NASCIMENTO, Rodrigo A., et al. Tropical Atlantic stratification response to late Quaternary precessional forcing. Earth and Planetary Science Letters, 2021, vol. 568, p. 117030.",
GL-1180,Beta-519329,1.1100,AMS 14C,,G. ruber and T. sacculifer,11320.0000,30.0000,30.0000,400.0000,200.0000,200.0000,12782.5000,112.5000,112.5000,IntCal13,,,,,"NASCIMENTO, Rodrigo A., et al. Tropical Atlantic stratification response to late Quaternary precessional forcing. Earth and Planetary Science Letters, 2021, vol. 568, p. 117030.",
GL-1180,Beta-510824,1.4100,AMS 14C,,G. ruber and T. sacculifer,16590.0000,50.0000,50.0000,400.0000,200.0000,200.0000,19537.5000,193.5000,193.5000,IntCal13,,,,,"NASCIMENTO, Rodrigo A., et al. Tropical Atlantic stratification response to late Quaternary precessional forcing. Earth and Planetary Science Letters, 2021, vol. 568, p. 117030.",
GL-1180,Beta-519330,1.8100,AMS 14C,,G. ruber and T. sacculifer,25620.0000,100.0000,100.0000,400.0000,200.0000,200.0000,29257.0000,304.0000,304.0000,IntCal13,,,,,"NASCIMENTO, Rodrigo A., et al. Tropical Atlantic stratification response to late Quaternary precessional forcing. Earth and Planetary Science Letters, 2021, vol. 568, p. 117030.",
GL-1180,Beta-519331,2.3100,AMS 14C,,G. ruber and T. sacculifer,30690.0000,170.0000,170.0000,400.0000,200.0000,200.0000,34302.5000,347.5000,347.5000,IntCal13,,,,,"NASCIMENTO, Rodrigo A., et al. Tropical Atlantic stratification response to late Quaternary precessional forcing. Earth and Planetary Science Letters, 2021, vol. 568, p. 117030.",
