Site,Sample Label,archival_depth (m),d13C (VPDB),d18O (VPDB),d13C_corrected (PDB),d18O_corrected (PDB),Number of shells,Minimum mesh size (um),Maximum mesh size (um),Taxon,Taxon_flag,Taxon_note1,Taxon_note2,Taxon_note3,Additional_note,Publication source,Original Reference,File Name,Data source,quality control
KNR197-10-17GGC,,0.02,0.275,2.364,0.275,2.364,,150,,Cibicidoides spp.,7,,,,,Repschlaeger et al. 2021 compilation,"Keigwin, L. D., and S. A. Swift (2017), Carbon isotope evidence for a northern source of deep water in the glacial western North Atlantic, Proceedings of the National Academy of Sciences, 114(11), 2831-2835, DOI: 10.1073/pnas.1614693114.",,supplementary tables of the original publication; DOI: 10.1073/pnas.1614693114.,1
KNR197-10-17GGC,,0.04,0.666,2.68,0.666,2.68,,150,,Cibicidoides spp.,7,,,,,Repschlaeger et al. 2021 compilation,"Keigwin, L. D., and S. A. Swift (2017), Carbon isotope evidence for a northern source of deep water in the glacial western North Atlantic, Proceedings of the National Academy of Sciences, 114(11), 2831-2835, DOI: 10.1073/pnas.1614693114.",,supplementary tables of the original publication; DOI: 10.1073/pnas.1614693114.,1
KNR197-10-17GGC,,0.08,-0.783,2.609,-0.783,2.609,,150,,Cibicidoides spp.,7,,,,,Repschlaeger et al. 2021 compilation,"Keigwin, L. D., and S. A. Swift (2017), Carbon isotope evidence for a northern source of deep water in the glacial western North Atlantic, Proceedings of the National Academy of Sciences, 114(11), 2831-2835, DOI: 10.1073/pnas.1614693114.",,supplementary tables of the original publication; DOI: 10.1073/pnas.1614693114.,1
KNR197-10-17GGC,,0.1,1.122,2.284,1.122,2.284,,150,,Cibicidoides spp.,7,,,,,Repschlaeger et al. 2021 compilation,"Keigwin, L. D., and S. A. Swift (2017), Carbon isotope evidence for a northern source of deep water in the glacial western North Atlantic, Proceedings of the National Academy of Sciences, 114(11), 2831-2835, DOI: 10.1073/pnas.1614693114.",,supplementary tables of the original publication; DOI: 10.1073/pnas.1614693114.,1
KNR197-10-17GGC,,0.14,0.521,2.312,0.521,2.312,,150,,Cibicidoides spp.,7,,,,,Repschlaeger et al. 2021 compilation,"Keigwin, L. D., and S. A. Swift (2017), Carbon isotope evidence for a northern source of deep water in the glacial western North Atlantic, Proceedings of the National Academy of Sciences, 114(11), 2831-2835, DOI: 10.1073/pnas.1614693114.",,supplementary tables of the original publication; DOI: 10.1073/pnas.1614693114.,1
KNR197-10-17GGC,,0.18,0.311,2.435,0.311,2.435,,150,,Cibicidoides spp.,7,,,,,Repschlaeger et al. 2021 compilation,"Keigwin, L. D., and S. A. Swift (2017), Carbon isotope evidence for a northern source of deep water in the glacial western North Atlantic, Proceedings of the National Academy of Sciences, 114(11), 2831-2835, DOI: 10.1073/pnas.1614693114.",,supplementary tables of the original publication; DOI: 10.1073/pnas.1614693114.,1
KNR197-10-17GGC,,0.22,1.157,2.269,1.157,2.269,,150,,Cibicidoides spp.,7,,,,,Repschlaeger et al. 2021 compilation,"Keigwin, L. D., and S. A. Swift (2017), Carbon isotope evidence for a northern source of deep water in the glacial western North Atlantic, Proceedings of the National Academy of Sciences, 114(11), 2831-2835, DOI: 10.1073/pnas.1614693114.",,supplementary tables of the original publication; DOI: 10.1073/pnas.1614693114.,1
KNR197-10-17GGC,,0.26,0.873,2.405,0.873,2.405,,150,,Cibicidoides spp.,7,,,,,Repschlaeger et al. 2021 compilation,"Keigwin, L. D., and S. A. Swift (2017), Carbon isotope evidence for a northern source of deep water in the glacial western North Atlantic, Proceedings of the National Academy of Sciences, 114(11), 2831-2835, DOI: 10.1073/pnas.1614693114.",,supplementary tables of the original publication; DOI: 10.1073/pnas.1614693114.,1
KNR197-10-17GGC,,0.3,0.994,2.399,0.994,2.399,,150,,Cibicidoides spp.,7,,,,,Repschlaeger et al. 2021 compilation,"Keigwin, L. D., and S. A. Swift (2017), Carbon isotope evidence for a northern source of deep water in the glacial western North Atlantic, Proceedings of the National Academy of Sciences, 114(11), 2831-2835, DOI: 10.1073/pnas.1614693114.",,supplementary tables of the original publication; DOI: 10.1073/pnas.1614693114.,1
KNR197-10-17GGC,,0.34,1.12,2.639,1.12,2.639,,150,,Cibicidoides spp.,7,,,,,Repschlaeger et al. 2021 compilation,"Keigwin, L. D., and S. A. Swift (2017), Carbon isotope evidence for a northern source of deep water in the glacial western North Atlantic, Proceedings of the National Academy of Sciences, 114(11), 2831-2835, DOI: 10.1073/pnas.1614693114.",,supplementary tables of the original publication; DOI: 10.1073/pnas.1614693114.,1
