Site,Sample Label,archival_depth (m),d13C (VPDB),d18O (VPDB),d13C_corrected (PDB),d18O_corrected (PDB),Number of shells,Minimum mesh size (um),Maximum mesh size (um),Taxon,Taxon_flag,Taxon_note1,Taxon_note2,Taxon_note3,Additional_note,Publication source,Original Reference,File Name,Data source,quality control,,,,,,,,,,,,,,,
ODP-202-1242,,0.33,-0.75,3.84,,,,150,,Uvigerina,5,,,,,Age model calculated by Alan Mix,,,,1,,202,,1242A,1H-2,,,,,,,150,,,
ODP-202-1242,,0.37,-0.81,3.79,,,10,250,,Uvigerina,5,,,,,Age model calculated by Alan Mix,,,,1,,202,,1242A,1H-2,,,,,,,,,,250
ODP-202-1242,,0.41,-0.99,4.09,,,,150,,Uvigerina,5,,,,,Age model calculated by Alan Mix,,,,1,,202,,1242A,1H-2,,,,,,,150,,,
ODP-202-1242,,0.45,-0.93,4.11,,,10,250,,Uvigerina,5,,,,,Age model calculated by Alan Mix,,,,1,,202,,1242A,1H-2,,,,,,,,,,250
ODP-202-1242,,0.49,-1.02,4.15,,,,150,,Uvigerina,5,,,,,Age model calculated by Alan Mix,,,,1,,202,,1242A,1H-2,,,,,,,150,,,
ODP-202-1242,,0.53,-0.94,4.08,,,10,250,,Uvigerina,5,,,,,Age model calculated by Alan Mix,,,,1,,202,,1242A,1H-2,,,,,,,,,,250
ODP-202-1242,,0.57,-0.89,4.32,,,,150,,Uvigerina,5,,,,,Age model calculated by Alan Mix,,,,1,,202,,1242A,1H-2,,,,,,,150,,,
ODP-202-1242,,0.61,-0.87,4.07,,,10,250,,Uvigerina,5,,,,,Age model calculated by Alan Mix,,,,1,,202,,1242A,1H-2,,,,,,,,,,250
ODP-202-1242,,0.65,-0.99,4.31,,,,150,,Uvigerina,5,,,,,Age model calculated by Alan Mix,,,,1,,202,,1242A,1H-2,,,,,,,150,,,
ODP-202-1242,,0.69,-0.82,4.19,,,10,250,,Uvigerina,5,,,,,Age model calculated by Alan Mix,,,,1,,202,,1242A,1H-2,,,,,,,,,,250
ODP-202-1242,,0.73,-1.09,4.52,,,,150,,Uvigerina,5,,,,,Age model calculated by Alan Mix,,,,1,,202,,1242A,1H-2,,,,,,,150,,,
ODP-202-1242,,0.77,-0.99,4,,,10,250,,Uvigerina,5,,,,,Age model calculated by Alan Mix,,,,1,,202,,1242A,1H-2,,,,,,,,,,250
ODP-202-1242,,0.81,-1.05,4.49,,,,150,,Uvigerina,5,,,,,Age model calculated by Alan Mix,,,,1,,202,,1242A,1H-2,,,,,,,150,,,
ODP-202-1242,,0.85,-0.85,4.52,,,9,250,,Uvigerina,5,,,,,Age model calculated by Alan Mix,,,,1,,202,,1242A,1H-2,,,,,,,,,,250
ODP-202-1242,,0.89,-0.85,4.56,,,,150,,Uvigerina,5,,,,,Age model calculated by Alan Mix,,,,1,,202,,1242A,1H-2,,,,,,,150,,,
ODP-202-1242,,0.93,-0.94,4.33,,,10,250,,Uvigerina,5,,,,,Age model calculated by Alan Mix,,,,1,,202,,1242A,1H-2,,,,,,,,,,250
ODP-202-1242,,0.97,-0.81,4.83,,,,150,,Uvigerina,5,,,,,Age model calculated by Alan Mix,,,,1,,202,,1242A,1H-2,,,,,,,150,,,
ODP-202-1242,,1.01,-0.9,4.75,,,10,250,,Uvigerina,5,,,,,Age model calculated by Alan Mix,,,,1,,202,,1242A,1H-2,,,,,,,,,,250
ODP-202-1242,,1.05,-0.73,4.88,,,,150,,Uvigerina,5,,,,,Age model calculated by Alan Mix,,,,1,,202,,1242A,1H-2,,,,,,,150,,,
ODP-202-1242,,1.09,-1.06,4.84,,,10,250,,Uvigerina,5,,,,,Age model calculated by Alan Mix,,,,1,,202,,1242A,1H-2,,,,,,,,,,250
ODP-202-1242,,1.13,-1.05,5.05,,,,150,,Uvigerina,5,,,,,Age model calculated by Alan Mix,,,,1,,202,,1242A,1H-2,,,,,,,150,,,
ODP-202-1242,,1.17,-0.9,4.79,,,10,250,,Uvigerina,5,,,,,Age model calculated by Alan Mix,,,,1,,202,,1242A,1H-2,,,,,,,,,,250
ODP-202-1242,,1.21,-0.93,4.98,,,,150,,Uvigerina,5,,,,,Age model calculated by Alan Mix,,,,1,,202,,1242A,1H-2,,,,,,,150,,,
ODP-202-1242,,1.25,-1.02,4.81,,,10,250,,Uvigerina,5,,,,,Age model calculated by Alan Mix,,,,1,,202,,1242A,1H-2,,,,,,,,,,250
ODP-202-1242,,1.29,-1.01,4.96,,,,150,,Uvigerina,5,,,,,Age model calculated by Alan Mix,,,,1,,202,,1242A,1H-2,,,,,,,150,,,
ODP-202-1242,,1.33,-1.14,4.88,,,10,250,,Uvigerina,5,,,,,Age model calculated by Alan Mix,,,,1,,202,,1242A,1H-2,,,,,,,,,,250
ODP-202-1242,,1.37,-0.88,5.04,,,,150,,Uvigerina,5,,,,,Age model calculated by Alan Mix,,,,1,,202,,1242A,1H-2,,,,,,,150,,,
ODP-202-1242,,1.41,-1.09,4.77,,,12,250,,Uvigerina,5,,,,,Age model calculated by Alan Mix,,,,1,,202,,1242A,1H-2,,,,,,,,,,250
ODP-202-1242,,1.45,-0.89,4.89,,,,150,,Uvigerina,5,,,,,Age model calculated by Alan Mix,,,,1,,202,,1242A,1H-2,,,,,,,150,,,
ODP-202-1242,,1.49,-1.22,4.67,,,10,250,,Uvigerina,5,,,,,Age model calculated by Alan Mix,,,,1,,202,,1242A,1H-2,,,,,,,,,,250
