Site,Sample Label,archival_depth (m),d13C (VPDB),d18O (VPDB),d13C_corrected (PDB),d18O_corrected (PDB),Number of shells,Minimum mesh size (um),Maximum mesh size (um),Taxon,Taxon_flag,Taxon_note1,Taxon_note2,Taxon_note3,Additional_note,Publication source,Original Reference,File Name,Data source,quality control,,
MD01-2378,,1.16,0.56,2.46,0.56,2.46,3-8,250,,Cibicidoides spp.,7,,,,,Jonkers et al. 2020 compilation,"Holbourn, A., Kuhnt, W., Kawamura, H., Jian, Z., Grootes, P., Erlenkeuser, H. and Xu, J.: Orbitally paced paleoproductivity variations in the Timor Sea and Indonesian Throughflow variability during the last 460 kyr, Paleoceanography, 20(3), n/a–n/a, doi:10.1029/2004pa001094, 2005. AND Xu, J., Kuhnt, W., Holbourn, A., Andersen, N. and Bartoli, G.: Changes in the vertical profile of the Indonesian Throughflow during Termination II: Evidence from the Timor Sea, Paleoceanography, 21(4), doi:10.1029/2006pa001278, 2006. AND Dürkop, A., Holbourn, A., Kuhnt, W., Zuraida, R., Andersen, N. and Grootes, P. M.: Centennial-scale climate variability in the Timor Sea during Marine Isotope Stage 3, Marine Micropaleontology, 66(3-4), 208–221, doi:10.1016/j.marmicro.2007.10.002, 2008.",,https://doi.pangaea.de/10.1594/PANGAEA.263755, https://doi.pangaea.de/10.1594/PANGAEA.472294, https://doi.pangaea.de/10.1594/PANGAEA.666556,1
MD01-2378,,1.26,0.65,2.33,0.65,2.33,3-8,250,,Cibicidoides spp.,7,,,,,Jonkers et al. 2020 compilation,"Holbourn, A., Kuhnt, W., Kawamura, H., Jian, Z., Grootes, P., Erlenkeuser, H. and Xu, J.: Orbitally paced paleoproductivity variations in the Timor Sea and Indonesian Throughflow variability during the last 460 kyr, Paleoceanography, 20(3), n/a–n/a, doi:10.1029/2004pa001094, 2005. AND Xu, J., Kuhnt, W., Holbourn, A., Andersen, N. and Bartoli, G.: Changes in the vertical profile of the Indonesian Throughflow during Termination II: Evidence from the Timor Sea, Paleoceanography, 21(4), doi:10.1029/2006pa001278, 2006. AND Dürkop, A., Holbourn, A., Kuhnt, W., Zuraida, R., Andersen, N. and Grootes, P. M.: Centennial-scale climate variability in the Timor Sea during Marine Isotope Stage 3, Marine Micropaleontology, 66(3-4), 208–221, doi:10.1016/j.marmicro.2007.10.002, 2008.",,https://doi.pangaea.de/10.1594/PANGAEA.263755, https://doi.pangaea.de/10.1594/PANGAEA.472294, https://doi.pangaea.de/10.1594/PANGAEA.666556,1
MD01-2378,,1.36,0.53,2.41,0.53,2.41,3-8,250,,Cibicidoides spp.,7,,,,,Jonkers et al. 2020 compilation,"Holbourn, A., Kuhnt, W., Kawamura, H., Jian, Z., Grootes, P., Erlenkeuser, H. and Xu, J.: Orbitally paced paleoproductivity variations in the Timor Sea and Indonesian Throughflow variability during the last 460 kyr, Paleoceanography, 20(3), n/a–n/a, doi:10.1029/2004pa001094, 2005. AND Xu, J., Kuhnt, W., Holbourn, A., Andersen, N. and Bartoli, G.: Changes in the vertical profile of the Indonesian Throughflow during Termination II: Evidence from the Timor Sea, Paleoceanography, 21(4), doi:10.1029/2006pa001278, 2006. AND Dürkop, A., Holbourn, A., Kuhnt, W., Zuraida, R., Andersen, N. and Grootes, P. M.: Centennial-scale climate variability in the Timor Sea during Marine Isotope Stage 3, Marine Micropaleontology, 66(3-4), 208–221, doi:10.1016/j.marmicro.2007.10.002, 2008.",,https://doi.pangaea.de/10.1594/PANGAEA.263755, https://doi.pangaea.de/10.1594/PANGAEA.472294, https://doi.pangaea.de/10.1594/PANGAEA.666556,1
MD01-2378,,1.46,0.51,2.52,0.51,2.52,3-8,250,,Cibicidoides spp.,7,,,,,Jonkers et al. 2020 compilation,"Holbourn, A., Kuhnt, W., Kawamura, H., Jian, Z., Grootes, P., Erlenkeuser, H. and Xu, J.: Orbitally paced paleoproductivity variations in the Timor Sea and Indonesian Throughflow variability during the last 460 kyr, Paleoceanography, 20(3), n/a–n/a, doi:10.1029/2004pa001094, 2005. AND Xu, J., Kuhnt, W., Holbourn, A., Andersen, N. and Bartoli, G.: Changes in the vertical profile of the Indonesian Throughflow during Termination II: Evidence from the Timor Sea, Paleoceanography, 21(4), doi:10.1029/2006pa001278, 2006. AND Dürkop, A., Holbourn, A., Kuhnt, W., Zuraida, R., Andersen, N. and Grootes, P. M.: Centennial-scale climate variability in the Timor Sea during Marine Isotope Stage 3, Marine Micropaleontology, 66(3-4), 208–221, doi:10.1016/j.marmicro.2007.10.002, 2008.",,https://doi.pangaea.de/10.1594/PANGAEA.263755, https://doi.pangaea.de/10.1594/PANGAEA.472294, https://doi.pangaea.de/10.1594/PANGAEA.666556,1
MD01-2378,,1.53,0.21,2.55,0.21,2.55,3-8,250,,Cibicidoides spp.,7,,,,,Jonkers et al. 2020 compilation,"Holbourn, A., Kuhnt, W., Kawamura, H., Jian, Z., Grootes, P., Erlenkeuser, H. and Xu, J.: Orbitally paced paleoproductivity variations in the Timor Sea and Indonesian Throughflow variability during the last 460 kyr, Paleoceanography, 20(3), n/a–n/a, doi:10.1029/2004pa001094, 2005. AND Xu, J., Kuhnt, W., Holbourn, A., Andersen, N. and Bartoli, G.: Changes in the vertical profile of the Indonesian Throughflow during Termination II: Evidence from the Timor Sea, Paleoceanography, 21(4), doi:10.1029/2006pa001278, 2006. AND Dürkop, A., Holbourn, A., Kuhnt, W., Zuraida, R., Andersen, N. and Grootes, P. M.: Centennial-scale climate variability in the Timor Sea during Marine Isotope Stage 3, Marine Micropaleontology, 66(3-4), 208–221, doi:10.1016/j.marmicro.2007.10.002, 2008.",,https://doi.pangaea.de/10.1594/PANGAEA.263755, https://doi.pangaea.de/10.1594/PANGAEA.472294, https://doi.pangaea.de/10.1594/PANGAEA.666556,1
MD01-2378,,1.63,0.5,2.61,0.5,2.61,3-8,250,,Cibicidoides spp.,7,,,,,Jonkers et al. 2020 compilation,"Holbourn, A., Kuhnt, W., Kawamura, H., Jian, Z., Grootes, P., Erlenkeuser, H. and Xu, J.: Orbitally paced paleoproductivity variations in the Timor Sea and Indonesian Throughflow variability during the last 460 kyr, Paleoceanography, 20(3), n/a–n/a, doi:10.1029/2004pa001094, 2005. AND Xu, J., Kuhnt, W., Holbourn, A., Andersen, N. and Bartoli, G.: Changes in the vertical profile of the Indonesian Throughflow during Termination II: Evidence from the Timor Sea, Paleoceanography, 21(4), doi:10.1029/2006pa001278, 2006. AND Dürkop, A., Holbourn, A., Kuhnt, W., Zuraida, R., Andersen, N. and Grootes, P. M.: Centennial-scale climate variability in the Timor Sea during Marine Isotope Stage 3, Marine Micropaleontology, 66(3-4), 208–221, doi:10.1016/j.marmicro.2007.10.002, 2008.",,https://doi.pangaea.de/10.1594/PANGAEA.263755, https://doi.pangaea.de/10.1594/PANGAEA.472294, https://doi.pangaea.de/10.1594/PANGAEA.666556,1
MD01-2378,,1.73,0.39,2.64,0.39,2.64,3-8,250,,Cibicidoides spp.,7,,,,,Jonkers et al. 2020 compilation,"Holbourn, A., Kuhnt, W., Kawamura, H., Jian, Z., Grootes, P., Erlenkeuser, H. and Xu, J.: Orbitally paced paleoproductivity variations in the Timor Sea and Indonesian Throughflow variability during the last 460 kyr, Paleoceanography, 20(3), n/a–n/a, doi:10.1029/2004pa001094, 2005. AND Xu, J., Kuhnt, W., Holbourn, A., Andersen, N. and Bartoli, G.: Changes in the vertical profile of the Indonesian Throughflow during Termination II: Evidence from the Timor Sea, Paleoceanography, 21(4), doi:10.1029/2006pa001278, 2006. AND Dürkop, A., Holbourn, A., Kuhnt, W., Zuraida, R., Andersen, N. and Grootes, P. M.: Centennial-scale climate variability in the Timor Sea during Marine Isotope Stage 3, Marine Micropaleontology, 66(3-4), 208–221, doi:10.1016/j.marmicro.2007.10.002, 2008.",,https://doi.pangaea.de/10.1594/PANGAEA.263755, https://doi.pangaea.de/10.1594/PANGAEA.472294, https://doi.pangaea.de/10.1594/PANGAEA.666556,1
MD01-2378,,1.83,0.44,2.65,0.44,2.65,3-8,250,,Cibicidoides spp.,7,,,,,Jonkers et al. 2020 compilation,"Holbourn, A., Kuhnt, W., Kawamura, H., Jian, Z., Grootes, P., Erlenkeuser, H. and Xu, J.: Orbitally paced paleoproductivity variations in the Timor Sea and Indonesian Throughflow variability during the last 460 kyr, Paleoceanography, 20(3), n/a–n/a, doi:10.1029/2004pa001094, 2005. AND Xu, J., Kuhnt, W., Holbourn, A., Andersen, N. and Bartoli, G.: Changes in the vertical profile of the Indonesian Throughflow during Termination II: Evidence from the Timor Sea, Paleoceanography, 21(4), doi:10.1029/2006pa001278, 2006. AND Dürkop, A., Holbourn, A., Kuhnt, W., Zuraida, R., Andersen, N. and Grootes, P. M.: Centennial-scale climate variability in the Timor Sea during Marine Isotope Stage 3, Marine Micropaleontology, 66(3-4), 208–221, doi:10.1016/j.marmicro.2007.10.002, 2008.",,https://doi.pangaea.de/10.1594/PANGAEA.263755, https://doi.pangaea.de/10.1594/PANGAEA.472294, https://doi.pangaea.de/10.1594/PANGAEA.666556,1
MD01-2378,,1.93,0.3,2.94,0.3,2.94,3-8,250,,Cibicidoides spp.,7,,,,,Jonkers et al. 2020 compilation,"Holbourn, A., Kuhnt, W., Kawamura, H., Jian, Z., Grootes, P., Erlenkeuser, H. and Xu, J.: Orbitally paced paleoproductivity variations in the Timor Sea and Indonesian Throughflow variability during the last 460 kyr, Paleoceanography, 20(3), n/a–n/a, doi:10.1029/2004pa001094, 2005. AND Xu, J., Kuhnt, W., Holbourn, A., Andersen, N. and Bartoli, G.: Changes in the vertical profile of the Indonesian Throughflow during Termination II: Evidence from the Timor Sea, Paleoceanography, 21(4), doi:10.1029/2006pa001278, 2006. AND Dürkop, A., Holbourn, A., Kuhnt, W., Zuraida, R., Andersen, N. and Grootes, P. M.: Centennial-scale climate variability in the Timor Sea during Marine Isotope Stage 3, Marine Micropaleontology, 66(3-4), 208–221, doi:10.1016/j.marmicro.2007.10.002, 2008.",,https://doi.pangaea.de/10.1594/PANGAEA.263755, https://doi.pangaea.de/10.1594/PANGAEA.472294, https://doi.pangaea.de/10.1594/PANGAEA.666556,1
MD01-2378,,2.03,0.44,2.75,0.44,2.75,3-8,250,,Cibicidoides spp.,7,,,,,Jonkers et al. 2020 compilation,"Holbourn, A., Kuhnt, W., Kawamura, H., Jian, Z., Grootes, P., Erlenkeuser, H. and Xu, J.: Orbitally paced paleoproductivity variations in the Timor Sea and Indonesian Throughflow variability during the last 460 kyr, Paleoceanography, 20(3), n/a–n/a, doi:10.1029/2004pa001094, 2005. AND Xu, J., Kuhnt, W., Holbourn, A., Andersen, N. and Bartoli, G.: Changes in the vertical profile of the Indonesian Throughflow during Termination II: Evidence from the Timor Sea, Paleoceanography, 21(4), doi:10.1029/2006pa001278, 2006. AND Dürkop, A., Holbourn, A., Kuhnt, W., Zuraida, R., Andersen, N. and Grootes, P. M.: Centennial-scale climate variability in the Timor Sea during Marine Isotope Stage 3, Marine Micropaleontology, 66(3-4), 208–221, doi:10.1016/j.marmicro.2007.10.002, 2008.",,https://doi.pangaea.de/10.1594/PANGAEA.263755, https://doi.pangaea.de/10.1594/PANGAEA.472294, https://doi.pangaea.de/10.1594/PANGAEA.666556,1
