Site,Sample Label,age_model_depth (m),age_model (y BP),age_model_sigma_plus(y BP),age_model_sigma_minus(y BP),97.5_percent(y BP),2.5_percent(y BP),age_flag,age_model_note,age_model_collection,quality control
SHAK-03-6K,,0,80,,,311,-63,3,Age model from Skinner et al. 2021,https://doi.org/10.1029/2020PA004074. Calculated with Bchron.,
SHAK-03-6K,,0.02,178.5,,,357.075,-20,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-03-6K,,0.04,292,,,544.075,38.9,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-03-6K,,0.06,477,,,1173.7,192,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-03-6K,,0.08,636.5,,,1503.225,239,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-03-6K,,0.1,801.5,,,1692.275,306.85,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-03-6K,,0.12,967.5,,,1917.15,370.9,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-03-6K,,0.14,1115.5,,,2098.55,426.85,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-03-6K,,0.16,1279,,,2348.075,491.95,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-03-6K,,0.18,1434,,,2531.2,576.85,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-03-6K,,0.2,1588,,,2660.05,654.85,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-03-6K,,0.22,1741,,,2816.1,753.8,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
