Site,Sample label,sample_depth,technique,lab. code,species/material,radiocarbon_age (y),radiocarbon_age_error_plus (y),radiocarbon_age_error_minus (y),reservoir_age (y),reservoir_age_error_plus (y),reservoir_age_error_minus (y),calendar_age (yBP),calendar_age_error_plus (yBP),calendar_age_error_minus (yBP),calibration curve,alignment target,alignment proxy,note1,note2,original reference,data doi
CH69_K09,,3,,,N.pachydermas,14970,120,120,795.7,98.6,98.6,17241,434,487,IntCal13,,,From Jonkers et al. 2020 compilation paper,,"Labeyrie, Laurent D; Leclaire, H?lo?se; Waelbroeck, Claire; Cortijo, Elsa; Duplessy, Jean-Claude; Vidal, Laurence; Elliot, Mary; Le Coat, B (1999): Temporal variability of the surface and deep waters of the North West Atlantic Ocean at orbital and millenial scales. Geophysical Monograph Series, 112, 77-9",doi:10.1029/2010PA002007
CH69_K09,,3.2,,,G.bulloides,18020,140,140,778.8,100.7,100.7,20817,497,447,IntCal13,,,From Jonkers et al. 2020 compilation paper,,"Labeyrie, Laurent D; Leclaire, H?lo?se; Waelbroeck, Claire; Cortijo, Elsa; Duplessy, Jean-Claude; Vidal, Laurence; Elliot, Mary; Le Coat, B (1999): Temporal variability of the surface and deep waters of the North West Atlantic Ocean at orbital and millenial scales. Geophysical Monograph Series, 112, 77-9",doi:10.1029/2010PA002007
CH69_K09,,3.65,,,N.pachydermas,23010,210,210,895.6,106.4,106.4,26392,612,470,IntCal13,,,From Jonkers et al. 2020 compilation paper,,"Labeyrie, Laurent D; Leclaire, H?lo?se; Waelbroeck, Claire; Cortijo, Elsa; Duplessy, Jean-Claude; Vidal, Laurence; Elliot, Mary; Le Coat, B (1999): Temporal variability of the surface and deep waters of the North West Atlantic Ocean at orbital and millenial scales. Geophysical Monograph Series, 112, 77-9",doi:10.1029/2010PA002007
CH69_K09,,3.7,,,N.pachydermas,24810,230,230,851.8,102.8,102.8,28060,500,419,IntCal13,,,From Jonkers et al. 2020 compilation paper,,"Labeyrie, Laurent D; Leclaire, H?lo?se; Waelbroeck, Claire; Cortijo, Elsa; Duplessy, Jean-Claude; Vidal, Laurence; Elliot, Mary; Le Coat, B (1999): Temporal variability of the surface and deep waters of the North West Atlantic Ocean at orbital and millenial scales. Geophysical Monograph Series, 112, 77-9",doi:10.1029/2010PA002007
CH69_K09,,3.9,,,N.pachydermas,28010,320,320,965,113.1,113.1,31083,447,433,IntCal13,,,From Jonkers et al. 2020 compilation paper,,"Labeyrie, Laurent D; Leclaire, H?lo?se; Waelbroeck, Claire; Cortijo, Elsa; Duplessy, Jean-Claude; Vidal, Laurence; Elliot, Mary; Le Coat, B (1999): Temporal variability of the surface and deep waters of the North West Atlantic Ocean at orbital and millenial scales. Geophysical Monograph Series, 112, 77-9",doi:10.1029/2010PA002007
CH69_K09,,4.3,,,N.pachydermas,31560,410,410,833.3,99.2,99.2,34694,831,723,IntCal13,,,From Jonkers et al. 2020 compilation paper,,"Labeyrie, Laurent D; Leclaire, H?lo?se; Waelbroeck, Claire; Cortijo, Elsa; Duplessy, Jean-Claude; Vidal, Laurence; Elliot, Mary; Le Coat, B (1999): Temporal variability of the surface and deep waters of the North West Atlantic Ocean at orbital and millenial scales. Geophysical Monograph Series, 112, 77-9",doi:10.1029/2010PA002007
CH69_K09,,4.54,,,N.incompta,31140,370,370,848,102.6,102.6,34326,640,596,IntCal13,,,From Jonkers et al. 2020 compilation paper,,"Labeyrie, Laurent D; Leclaire, H?lo?se; Waelbroeck, Claire; Cortijo, Elsa; Duplessy, Jean-Claude; Vidal, Laurence; Elliot, Mary; Le Coat, B (1999): Temporal variability of the surface and deep waters of the North West Atlantic Ocean at orbital and millenial scales. Geophysical Monograph Series, 112, 77-9",doi:10.1029/2010PA002007
CH69_K09,,4.54,,,G.bulloides,30650,290,290,913.9,103.8,103.8,33892,582,536,IntCal13,,,From Jonkers et al. 2020 compilation paper,,"Labeyrie, Laurent D; Leclaire, H?lo?se; Waelbroeck, Claire; Cortijo, Elsa; Duplessy, Jean-Claude; Vidal, Laurence; Elliot, Mary; Le Coat, B (1999): Temporal variability of the surface and deep waters of the North West Atlantic Ocean at orbital and millenial scales. Geophysical Monograph Series, 112, 77-9",doi:10.1029/2010PA002007
CH69_K09,,4.54,,,G.bulloides,32130,380,380,756.5,103.3,103.3,35309,801,709,IntCal13,,,From Jonkers et al. 2020 compilation paper,,"Labeyrie, Laurent D; Leclaire, H?lo?se; Waelbroeck, Claire; Cortijo, Elsa; Duplessy, Jean-Claude; Vidal, Laurence; Elliot, Mary; Le Coat, B (1999): Temporal variability of the surface and deep waters of the North West Atlantic Ocean at orbital and millenial scales. Geophysical Monograph Series, 112, 77-9",doi:10.1029/2010PA002007
CH69_K09,,4.75,,,N.pachydermas,33580,460,460,662.4,129,129,37153,1248,1113,IntCal13,,,From Jonkers et al. 2020 compilation paper,,"Labeyrie, Laurent D; Leclaire, H?lo?se; Waelbroeck, Claire; Cortijo, Elsa; Duplessy, Jean-Claude; Vidal, Laurence; Elliot, Mary; Le Coat, B (1999): Temporal variability of the surface and deep waters of the North West Atlantic Ocean at orbital and millenial scales. Geophysical Monograph Series, 112, 77-9",doi:10.1029/2010PA002007
CH69_K09,,4.9,,,N.pachydermas,34940,550,550,853.4,114.1,114.1,38527,1353,1558,IntCal13,,,From Jonkers et al. 2020 compilation paper,,"Labeyrie, Laurent D; Leclaire, H?lo?se; Waelbroeck, Claire; Cortijo, Elsa; Duplessy, Jean-Claude; Vidal, Laurence; Elliot, Mary; Le Coat, B (1999): Temporal variability of the surface and deep waters of the North West Atlantic Ocean at orbital and millenial scales. Geophysical Monograph Series, 112, 77-9",doi:10.1029/2010PA002007
CH69_K09,,4.9,,,G.bulloides,34810,560,560,865.5,113.3,113.3,38312,1413,1527,IntCal13,,,From Jonkers et al. 2020 compilation paper,,"Labeyrie, Laurent D; Leclaire, H?lo?se; Waelbroeck, Claire; Cortijo, Elsa; Duplessy, Jean-Claude; Vidal, Laurence; Elliot, Mary; Le Coat, B (1999): Temporal variability of the surface and deep waters of the North West Atlantic Ocean at orbital and millenial scales. Geophysical Monograph Series, 112, 77-9",doi:10.1029/2010PA002007
CH69_K09,,5.1,,,N.pachydermas,39090,810,810,1036.8,120.5,120.5,42311,1269,1153,IntCal13,,,From Jonkers et al. 2020 compilation paper,,"Labeyrie, Laurent D; Leclaire, H?lo?se; Waelbroeck, Claire; Cortijo, Elsa; Duplessy, Jean-Claude; Vidal, Laurence; Elliot, Mary; Le Coat, B (1999): Temporal variability of the surface and deep waters of the North West Atlantic Ocean at orbital and millenial scales. Geophysical Monograph Series, 112, 77-9",doi:10.1029/2010PA002007
CH69_K09,,5.35,,,N.pachydermas,42400,1100,1100,870.3,112.3,112.3,45077,2190,1869,IntCal13,,,From Jonkers et al. 2020 compilation paper,,"Labeyrie, Laurent D; Leclaire, H?lo?se; Waelbroeck, Claire; Cortijo, Elsa; Duplessy, Jean-Claude; Vidal, Laurence; Elliot, Mary; Le Coat, B (1999): Temporal variability of the surface and deep waters of the North West Atlantic Ocean at orbital and millenial scales. Geophysical Monograph Series, 112, 77-9",doi:10.1029/2010PA002007
CH69_K09,,6.18,,,N.pachydermas,46900,1900,1900,839,133.5,133.5,48647,1352,1997,IntCal13,,,From Jonkers et al. 2020 compilation paper,,"Labeyrie, Laurent D; Leclaire, H?lo?se; Waelbroeck, Claire; Cortijo, Elsa; Duplessy, Jean-Claude; Vidal, Laurence; Elliot, Mary; Le Coat, B (1999): Temporal variability of the surface and deep waters of the North West Atlantic Ocean at orbital and millenial scales. Geophysical Monograph Series, 112, 77-9",doi:10.1029/2010PA002007
