Site,Sample Label,archival-depth (m),d13C (VPDB),d18O (VPDB),d13C-corrected (PDB),d18O-corrected (PDB),Number of shells,Minimum mesh size (um),Maximum mesh size (um),Taxon,Taxon-flag,Taxon-note1,Taxon-note2,Taxon-note3,Additional-note,Publication source,Original Reference,File Name,Data source,quality control
KNR166-2-29JPC,,0.1825,0.98,2.06,,,,,,Cibicidoides Pachyderma,4,,,,,,"Lynch-Stieglitz, J., M.W. Schmidt, and W.B. Curry. 2011. Evidence from the Florida Straits for Younger Dryas ocean circulation changes. ocean circulation changes.",,,1
KNR166-2-29JPC,,0.2025,0.99,1.94,,,,,,Cibicidoides Pachyderma,4,,,,,,"Lynch-Stieglitz, J., M.W. Schmidt, and W.B. Curry. 2011. Evidence from the Florida Straits for Younger Dryas ocean circulation changes. ocean circulation changes.",,,1
KNR166-2-29JPC,,0.2225,0.85,2.47,,,,,,Cibicidoides Pachyderma,4,,,,,,"Lynch-Stieglitz, J., M.W. Schmidt, and W.B. Curry. 2011. Evidence from the Florida Straits for Younger Dryas ocean circulation changes. ocean circulation changes.",,,1
KNR166-2-29JPC,,0.2225,0.85,2.32,,,,,,Cibicidoides Pachyderma,4,,,,,,"Lynch-Stieglitz, J., M.W. Schmidt, and W.B. Curry. 2011. Evidence from the Florida Straits for Younger Dryas ocean circulation changes. ocean circulation changes.",,,1
KNR166-2-29JPC,,0.2225,0.66,1.76,,,,,,Cibicidoides Pachyderma,4,,,,,,"Lynch-Stieglitz, J., M.W. Schmidt, and W.B. Curry. 2011. Evidence from the Florida Straits for Younger Dryas ocean circulation changes. ocean circulation changes.",,,1
KNR166-2-29JPC,,0.2425,0.74,2.18,,,,,,Cibicidoides Pachyderma,4,,,,,,"Lynch-Stieglitz, J., M.W. Schmidt, and W.B. Curry. 2011. Evidence from the Florida Straits for Younger Dryas ocean circulation changes. ocean circulation changes.",,,1
KNR166-2-29JPC,,0.2625,0.88,1.99,,,,,,Cibicidoides Pachyderma,4,,,,,,"Lynch-Stieglitz, J., M.W. Schmidt, and W.B. Curry. 2011. Evidence from the Florida Straits for Younger Dryas ocean circulation changes. ocean circulation changes.",,,1
KNR166-2-29JPC,,0.2625,0.79,2.13,,,,,,Cibicidoides Pachyderma,4,,,,,,"Lynch-Stieglitz, J., M.W. Schmidt, and W.B. Curry. 2011. Evidence from the Florida Straits for Younger Dryas ocean circulation changes. ocean circulation changes.",,,1
KNR166-2-29JPC,,0.2625,0.98,2.08,,,,,,Cibicidoides Pachyderma,4,,,,,,"Lynch-Stieglitz, J., M.W. Schmidt, and W.B. Curry. 2011. Evidence from the Florida Straits for Younger Dryas ocean circulation changes. ocean circulation changes.",,,1
KNR166-2-29JPC,,0.2825,1.06,1.96,,,,,,Cibicidoides Pachyderma,4,,,,,,"Lynch-Stieglitz, J., M.W. Schmidt, and W.B. Curry. 2011. Evidence from the Florida Straits for Younger Dryas ocean circulation changes. ocean circulation changes.",,,1
KNR166-2-29JPC,,0.3025,0.86,1.84,,,,,,Cibicidoides Pachyderma,4,,,,,,"Lynch-Stieglitz, J., M.W. Schmidt, and W.B. Curry. 2011. Evidence from the Florida Straits for Younger Dryas ocean circulation changes. ocean circulation changes.",,,1
KNR166-2-29JPC,,0.3025,1.01,2,,,,,,Cibicidoides Pachyderma,4,,,,,,"Lynch-Stieglitz, J., M.W. Schmidt, and W.B. Curry. 2011. Evidence from the Florida Straits for Younger Dryas ocean circulation changes. ocean circulation changes.",,,1
KNR166-2-29JPC,,0.3025,0.8,1.9,,,,,,Cibicidoides Pachyderma,4,,,,,,"Lynch-Stieglitz, J., M.W. Schmidt, and W.B. Curry. 2011. Evidence from the Florida Straits for Younger Dryas ocean circulation changes. ocean circulation changes.",,,1
KNR166-2-29JPC,,0.3225,0.94,2.02,,,,,,Cibicidoides Pachyderma,4,,,,,,"Lynch-Stieglitz, J., M.W. Schmidt, and W.B. Curry. 2011. Evidence from the Florida Straits for Younger Dryas ocean circulation changes. ocean circulation changes.",,,1
KNR166-2-29JPC,,0.3425,0.59,2.31,,,,,,Cibicidoides Pachyderma,4,,,,,,"Lynch-Stieglitz, J., M.W. Schmidt, and W.B. Curry. 2011. Evidence from the Florida Straits for Younger Dryas ocean circulation changes. ocean circulation changes.",,,1
KNR166-2-29JPC,,0.3425,0.98,2.13,,,,,,Cibicidoides Pachyderma,4,,,,,,"Lynch-Stieglitz, J., M.W. Schmidt, and W.B. Curry. 2011. Evidence from the Florida Straits for Younger Dryas ocean circulation changes. ocean circulation changes.",,,1
KNR166-2-29JPC,,0.3625,0.87,2.12,,,,,,Cibicidoides Pachyderma,4,,,,,,"Lynch-Stieglitz, J., M.W. Schmidt, and W.B. Curry. 2011. Evidence from the Florida Straits for Younger Dryas ocean circulation changes. ocean circulation changes.",,,1
KNR166-2-29JPC,,0.3825,0.74,2.29,,,,,,Cibicidoides Pachyderma,4,,,,,,"Lynch-Stieglitz, J., M.W. Schmidt, and W.B. Curry. 2011. Evidence from the Florida Straits for Younger Dryas ocean circulation changes. ocean circulation changes.",,,1
KNR166-2-29JPC,,0.3825,0.29,2.44,,,,,,Cibicidoides Pachyderma,4,,,,,,"Lynch-Stieglitz, J., M.W. Schmidt, and W.B. Curry. 2011. Evidence from the Florida Straits for Younger Dryas ocean circulation changes. ocean circulation changes.",,,1
KNR166-2-29JPC,,0.3825,0.68,2.4,,,,,,Cibicidoides Pachyderma,4,,,,,,"Lynch-Stieglitz, J., M.W. Schmidt, and W.B. Curry. 2011. Evidence from the Florida Straits for Younger Dryas ocean circulation changes. ocean circulation changes.",,,1
KNR166-2-29JPC,,0.4025,0.84,2.18,,,,,,Cibicidoides Pachyderma,4,,,,,,"Lynch-Stieglitz, J., M.W. Schmidt, and W.B. Curry. 2011. Evidence from the Florida Straits for Younger Dryas ocean circulation changes. ocean circulation changes.",,,1
KNR166-2-29JPC,,0.4225,0.73,2.12,,,,,,Cibicidoides Pachyderma,4,,,,,,"Lynch-Stieglitz, J., M.W. Schmidt, and W.B. Curry. 2011. Evidence from the Florida Straits for Younger Dryas ocean circulation changes. ocean circulation changes.",,,1
KNR166-2-29JPC,,0.4225,0.68,2.21,,,,,,Cibicidoides Pachyderma,4,,,,,,"Lynch-Stieglitz, J., M.W. Schmidt, and W.B. Curry. 2011. Evidence from the Florida Straits for Younger Dryas ocean circulation changes. ocean circulation changes.",,,1
KNR166-2-29JPC,,0.4425,0.68,2.29,,,,,,Cibicidoides Pachyderma,4,,,,,,"Lynch-Stieglitz, J., M.W. Schmidt, and W.B. Curry. 2011. Evidence from the Florida Straits for Younger Dryas ocean circulation changes. ocean circulation changes.",,,1
KNR166-2-29JPC,,0.4625,0.58,2.19,,,,,,Cibicidoides Pachyderma,4,,,,,,"Lynch-Stieglitz, J., M.W. Schmidt, and W.B. Curry. 2011. Evidence from the Florida Straits for Younger Dryas ocean circulation changes. ocean circulation changes.",,,1
KNR166-2-29JPC,,0.4625,0.67,2.13,,,,,,Cibicidoides Pachyderma,4,,,,,,"Lynch-Stieglitz, J., M.W. Schmidt, and W.B. Curry. 2011. Evidence from the Florida Straits for Younger Dryas ocean circulation changes. ocean circulation changes.",,,1
KNR166-2-29JPC,,0.4625,0.72,2.35,,,,,,Cibicidoides Pachyderma,4,,,,,,"Lynch-Stieglitz, J., M.W. Schmidt, and W.B. Curry. 2011. Evidence from the Florida Straits for Younger Dryas ocean circulation changes. ocean circulation changes.",,,1
KNR166-2-29JPC,,0.4625,0.88,2.03,,,,,,Cibicidoides Pachyderma,4,,,,,,"Lynch-Stieglitz, J., M.W. Schmidt, and W.B. Curry. 2011. Evidence from the Florida Straits for Younger Dryas ocean circulation changes. ocean circulation changes.",,,1
KNR166-2-29JPC,,0.6025,0.84,2.1,,,,,,Cibicidoides Pachyderma,4,,,,,,"Lynch-Stieglitz, J., M.W. Schmidt, and W.B. Curry. 2011. Evidence from the Florida Straits for Younger Dryas ocean circulation changes. ocean circulation changes.",,,1
KNR166-2-29JPC,,0.6225,0.91,2.07,,,,,,Cibicidoides Pachyderma,4,,,,,,"Lynch-Stieglitz, J., M.W. Schmidt, and W.B. Curry. 2011. Evidence from the Florida Straits for Younger Dryas ocean circulation changes. ocean circulation changes.",,,1
KNR166-2-29JPC,,0.6225,0.38,2.22,,,,,,Cibicidoides Pachyderma,4,,,,,,"Lynch-Stieglitz, J., M.W. Schmidt, and W.B. Curry. 2011. Evidence from the Florida Straits for Younger Dryas ocean circulation changes. ocean circulation changes.",,,1
KNR166-2-29JPC,,0.6225,0.96,2.01,,,,,,Cibicidoides Pachyderma,4,,,,,,"Lynch-Stieglitz, J., M.W. Schmidt, and W.B. Curry. 2011. Evidence from the Florida Straits for Younger Dryas ocean circulation changes. ocean circulation changes.",,,1
KNR166-2-29JPC,,0.6425,0.91,2.28,,,,,,Cibicidoides Pachyderma,4,,,,,,"Lynch-Stieglitz, J., M.W. Schmidt, and W.B. Curry. 2011. Evidence from the Florida Straits for Younger Dryas ocean circulation changes. ocean circulation changes.",,,1
KNR166-2-29JPC,,0.6625,0.77,2.24,,,,,,Cibicidoides Pachyderma,4,,,,,,"Lynch-Stieglitz, J., M.W. Schmidt, and W.B. Curry. 2011. Evidence from the Florida Straits for Younger Dryas ocean circulation changes. ocean circulation changes.",,,1
KNR166-2-29JPC,,0.6625,0.76,2.05,,,,,,Cibicidoides Pachyderma,4,,,,,,"Lynch-Stieglitz, J., M.W. Schmidt, and W.B. Curry. 2011. Evidence from the Florida Straits for Younger Dryas ocean circulation changes. ocean circulation changes.",,,1
KNR166-2-29JPC,,0.6825,1.12,2.68,,,,,,Cibicidoides Pachyderma,4,,,,,,"Lynch-Stieglitz, J., M.W. Schmidt, and W.B. Curry. 2011. Evidence from the Florida Straits for Younger Dryas ocean circulation changes. ocean circulation changes.",,,1
KNR166-2-29JPC,,0.7025,1.02,2.05,,,,,,Cibicidoides Pachyderma,4,,,,,,"Lynch-Stieglitz, J., M.W. Schmidt, and W.B. Curry. 2011. Evidence from the Florida Straits for Younger Dryas ocean circulation changes. ocean circulation changes.",,,1
KNR166-2-29JPC,,0.7025,0.62,2.33,,,,,,Cibicidoides Pachyderma,4,,,,,,"Lynch-Stieglitz, J., M.W. Schmidt, and W.B. Curry. 2011. Evidence from the Florida Straits for Younger Dryas ocean circulation changes. ocean circulation changes.",,,1
KNR166-2-29JPC,,0.7025,0.67,2.18,,,,,,Cibicidoides Pachyderma,4,,,,,,"Lynch-Stieglitz, J., M.W. Schmidt, and W.B. Curry. 2011. Evidence from the Florida Straits for Younger Dryas ocean circulation changes. ocean circulation changes.",,,1
KNR166-2-29JPC,,0.7225,0.85,1.79,,,,,,Cibicidoides Pachyderma,4,,,,,,"Lynch-Stieglitz, J., M.W. Schmidt, and W.B. Curry. 2011. Evidence from the Florida Straits for Younger Dryas ocean circulation changes. ocean circulation changes.",,,1
KNR166-2-29JPC,,0.7425,0.84,2.57,,,,,,Cibicidoides Pachyderma,4,,,,,,"Lynch-Stieglitz, J., M.W. Schmidt, and W.B. Curry. 2011. Evidence from the Florida Straits for Younger Dryas ocean circulation changes. ocean circulation changes.",,,1
KNR166-2-29JPC,,0.7425,0.59,2.28,,,,,,Cibicidoides Pachyderma,4,,,,,,"Lynch-Stieglitz, J., M.W. Schmidt, and W.B. Curry. 2011. Evidence from the Florida Straits for Younger Dryas ocean circulation changes. ocean circulation changes.",,,1
KNR166-2-29JPC,,0.7425,0.49,2.41,,,,,,Cibicidoides Pachyderma,4,,,,,,"Lynch-Stieglitz, J., M.W. Schmidt, and W.B. Curry. 2011. Evidence from the Florida Straits for Younger Dryas ocean circulation changes. ocean circulation changes.",,,1
KNR166-2-29JPC,,0.7625,0.49,2.15,,,,,,Cibicidoides Pachyderma,4,,,,,,"Lynch-Stieglitz, J., M.W. Schmidt, and W.B. Curry. 2011. Evidence from the Florida Straits for Younger Dryas ocean circulation changes. ocean circulation changes.",,,1
KNR166-2-29JPC,,0.7825,0.67,2.35,,,,,,Cibicidoides Pachyderma,4,,,,,,"Lynch-Stieglitz, J., M.W. Schmidt, and W.B. Curry. 2011. Evidence from the Florida Straits for Younger Dryas ocean circulation changes. ocean circulation changes.",,,1
KNR166-2-29JPC,,0.7825,0.66,2.2,,,,,,Cibicidoides Pachyderma,4,,,,,,"Lynch-Stieglitz, J., M.W. Schmidt, and W.B. Curry. 2011. Evidence from the Florida Straits for Younger Dryas ocean circulation changes. ocean circulation changes.",,,1
KNR166-2-29JPC,,0.7825,0.68,2.34,,,,,,Cibicidoides Pachyderma,4,,,,,,"Lynch-Stieglitz, J., M.W. Schmidt, and W.B. Curry. 2011. Evidence from the Florida Straits for Younger Dryas ocean circulation changes. ocean circulation changes.",,,1
