Site,Sample Label,archival_depth (m),d13C (VPDB),d18O (VPDB),d13C_corrected (PDB),d18O_corrected (PDB),Number of shells,Minimum mesh size (um),Maximum mesh size (um),Taxon,Taxon_flag,Taxon_note1,Taxon_note2,Taxon_note3,Additional_note,Publication source,Original Reference,File Name,Data source,quality control
H214,,1.131,0.25,3.27,,,1-5,150,,Cibicidoides wuellerstorfi,1,,,,,,"Sikes, E. L., Elmore, A. C., Allen, K. A., Cook, M. S., & Guilderson, T. P. (2016). Glacial water mass structure and rapid d18O and d13C changes during the last glacial termination in the Southwest Pacific. Earth and Planetary Science Letters, 456, 87-97.",Jonkers et al. 2020 compilation,https://www.ncdc.noaa.gov/paleo-search/study/22585,1
H214,,1.153,0.32,2.97,,,1-5,150,,Cibicidoides wuellerstorfi,1,,,,,,"Sikes, E. L., Elmore, A. C., Allen, K. A., Cook, M. S., & Guilderson, T. P. (2016). Glacial water mass structure and rapid d18O and d13C changes during the last glacial termination in the Southwest Pacific. Earth and Planetary Science Letters, 456, 87-97.",Jonkers et al. 2020 compilation,https://www.ncdc.noaa.gov/paleo-search/study/22585,1
H214,,1.197,0.26,2.88,,,1-5,150,,Cibicidoides wuellerstorfi,1,,,,,,"Sikes, E. L., Elmore, A. C., Allen, K. A., Cook, M. S., & Guilderson, T. P. (2016). Glacial water mass structure and rapid d18O and d13C changes during the last glacial termination in the Southwest Pacific. Earth and Planetary Science Letters, 456, 87-97.",Jonkers et al. 2020 compilation,https://www.ncdc.noaa.gov/paleo-search/study/22585,1
H214,,1.219,0.22,2.96,,,1-5,150,,Cibicidoides wuellerstorfi,1,,,,,,"Sikes, E. L., Elmore, A. C., Allen, K. A., Cook, M. S., & Guilderson, T. P. (2016). Glacial water mass structure and rapid d18O and d13C changes during the last glacial termination in the Southwest Pacific. Earth and Planetary Science Letters, 456, 87-97.",Jonkers et al. 2020 compilation,https://www.ncdc.noaa.gov/paleo-search/study/22585,1
H214,,1.242,-0.07,3.37,,,1-5,150,,Cibicidoides wuellerstorfi,1,,,,,,"Sikes, E. L., Elmore, A. C., Allen, K. A., Cook, M. S., & Guilderson, T. P. (2016). Glacial water mass structure and rapid d18O and d13C changes during the last glacial termination in the Southwest Pacific. Earth and Planetary Science Letters, 456, 87-97.",Jonkers et al. 2020 compilation,https://www.ncdc.noaa.gov/paleo-search/study/22585,1
H214,,1.264,0.25,3.2,,,1-5,150,,Cibicidoides wuellerstorfi,1,,,,,,"Sikes, E. L., Elmore, A. C., Allen, K. A., Cook, M. S., & Guilderson, T. P. (2016). Glacial water mass structure and rapid d18O and d13C changes during the last glacial termination in the Southwest Pacific. Earth and Planetary Science Letters, 456, 87-97.",Jonkers et al. 2020 compilation,https://www.ncdc.noaa.gov/paleo-search/study/22585,1
H214,,1.286,0.18,3.28,,,1-5,150,,Cibicidoides wuellerstorfi,1,,,,,,"Sikes, E. L., Elmore, A. C., Allen, K. A., Cook, M. S., & Guilderson, T. P. (2016). Glacial water mass structure and rapid d18O and d13C changes during the last glacial termination in the Southwest Pacific. Earth and Planetary Science Letters, 456, 87-97.",Jonkers et al. 2020 compilation,https://www.ncdc.noaa.gov/paleo-search/study/22585,1
H214,,1.308,0.05,3.21,,,1-5,150,,Cibicidoides wuellerstorfi,1,,,,,,"Sikes, E. L., Elmore, A. C., Allen, K. A., Cook, M. S., & Guilderson, T. P. (2016). Glacial water mass structure and rapid d18O and d13C changes during the last glacial termination in the Southwest Pacific. Earth and Planetary Science Letters, 456, 87-97.",Jonkers et al. 2020 compilation,https://www.ncdc.noaa.gov/paleo-search/study/22585,1
H214,,1.33,0.08,3.34,,,1-5,150,,Cibicidoides wuellerstorfi,1,,,,,,"Sikes, E. L., Elmore, A. C., Allen, K. A., Cook, M. S., & Guilderson, T. P. (2016). Glacial water mass structure and rapid d18O and d13C changes during the last glacial termination in the Southwest Pacific. Earth and Planetary Science Letters, 456, 87-97.",Jonkers et al. 2020 compilation,https://www.ncdc.noaa.gov/paleo-search/study/22585,1
H214,,1.353,0.09,3.57,,,1-5,150,,Cibicidoides wuellerstorfi,1,,,,,,"Sikes, E. L., Elmore, A. C., Allen, K. A., Cook, M. S., & Guilderson, T. P. (2016). Glacial water mass structure and rapid d18O and d13C changes during the last glacial termination in the Southwest Pacific. Earth and Planetary Science Letters, 456, 87-97.",Jonkers et al. 2020 compilation,https://www.ncdc.noaa.gov/paleo-search/study/22585,1
