Site,Sample_label,hole_label,section_label,published_archival_depth (m),current_depth_model (m),current_depth_model_note,ODP SAMPLE Inventory:: DEPTH(mid) (m),ODP SAMPLE Inventory:: MBSF(mid) (m),ODP SAMPLE Inventory:: MCD(mid) (m),ODP SAMPLE Inventory:: CCSF(mid) (m),depth_model_1 (m),depth_model_note_1,older_depth_model_2 (m),depth_model_note_2
GeoB3104,,,,2.53,2.53,,,,,,2.53,depth model from Peterson and Lisiecki 2018,,
GeoB3104,,,,2.58,2.58,,,,,,2.58,depth model from Peterson and Lisiecki 2018,,
GeoB3104,,,,2.63,2.63,,,,,,2.63,depth model from Peterson and Lisiecki 2018,,
GeoB3104,,,,2.68,2.68,,,,,,2.68,depth model from Peterson and Lisiecki 2018,,
GeoB3104,,,,2.78,2.78,,,,,,2.78,depth model from Peterson and Lisiecki 2018,,
GeoB3104,,,,2.855,2.855,,,,,,2.855,depth model from Peterson and Lisiecki 2018,,
GeoB3104,,,,2.88,2.88,,,,,,2.88,depth model from Peterson and Lisiecki 2018,,
GeoB3104,,,,2.905,2.905,,,,,,2.905,depth model from Peterson and Lisiecki 2018,,
GeoB3104,,,,2.98,2.98,,,,,,2.98,depth model from Peterson and Lisiecki 2018,,
GeoB3104,,,,3.005,3.005,,,,,,3.005,depth model from Peterson and Lisiecki 2018,,
GeoB3104,,,,3.03,3.03,,,,,,3.03,depth model from Peterson and Lisiecki 2018,,
GeoB3104,,,,3.105,3.105,,,,,,3.105,depth model from Peterson and Lisiecki 2018,,
GeoB3104,,,,3.13,3.13,,,,,,3.13,depth model from Peterson and Lisiecki 2018,,
GeoB3104,,,,3.155,3.155,,,,,,3.155,depth model from Peterson and Lisiecki 2018,,
GeoB3104,,,,3.28,3.28,,,,,,3.28,depth model from Peterson and Lisiecki 2018,,
GeoB3104,,,,3.305,3.305,,,,,,3.305,depth model from Peterson and Lisiecki 2018,,
GeoB3104,,,,3.33,3.33,,,,,,3.33,depth model from Peterson and Lisiecki 2018,,
GeoB3104,,,,3.38,3.38,,,,,,3.38,depth model from Peterson and Lisiecki 2018,,
GeoB3104,,,,3.405,3.405,,,,,,3.405,depth model from Peterson and Lisiecki 2018,,
GeoB3104,,,,3.43,3.43,,,,,,3.43,depth model from Peterson and Lisiecki 2018,,
GeoB3104,,,,3.58,3.58,,,,,,3.58,depth model from Peterson and Lisiecki 2018,,
GeoB3104,,,,3.68,3.68,,,,,,3.68,depth model from Peterson and Lisiecki 2018,,
GeoB3104,,,,3.73,3.73,,,,,,3.73,depth model from Peterson and Lisiecki 2018,,
GeoB3104,,,,3.755,3.755,,,,,,3.755,depth model from Peterson and Lisiecki 2018,,
GeoB3104,,,,3.78,3.78,,,,,,3.78,depth model from Peterson and Lisiecki 2018,,
GeoB3104,,,,3.83,3.83,,,,,,3.83,depth model from Peterson and Lisiecki 2018,,
GeoB3104,,,,3.88,3.88,,,,,,3.88,depth model from Peterson and Lisiecki 2018,,
GeoB3104,,,,4.305,4.305,,,,,,4.305,depth model from Peterson and Lisiecki 2018,,
GeoB3104,,,,4.78,4.78,,,,,,4.78,depth model from Peterson and Lisiecki 2018,,
GeoB3104,,,,4.83,4.83,,,,,,4.83,depth model from Peterson and Lisiecki 2018,,
GeoB3104,,,,4.88,4.88,,,,,,4.88,depth model from Peterson and Lisiecki 2018,,
GeoB3104,,,,4.93,4.93,,,,,,4.93,depth model from Peterson and Lisiecki 2018,,
