Site,Sample Label,archival_depth (m),d13C (VPDB),d18O (VPDB),d13C_corrected (PDB),d18O_corrected (PDB),Number of shells,Minimum mesh size (um),Maximum mesh size (um),Taxon,Taxon_flag,Taxon_note1,Taxon_note2,Taxon_note3,Additional_note,Publication source,Original Reference,File Name,Data source,quality control
BOFS29_1K,,0.35,0.39,3.27,0.39,3.27,5-20,250,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Beveridge, N; Elderfield, Henry; Shackleton, Nicholas J (1995): (Table 3f) Stable isotope analysis on sediment core BOFS26/6K. PANGAEA, https://doi.org/10.1594/PANGAEA.59502,",,"PANGAEA, https://doi.org/10.1594/PANGAEA.59502,",1
BOFS29_1K,,0.37,0.46,3.31,0.46,3.31,5-20,250,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Beveridge, N; Elderfield, Henry; Shackleton, Nicholas J (1995): (Table 3f) Stable isotope analysis on sediment core BOFS26/6K. PANGAEA, https://doi.org/10.1594/PANGAEA.59502,",,"PANGAEA, https://doi.org/10.1594/PANGAEA.59502,",1
BOFS29_1K,,0.45,0,4.19,0,4.19,5-20,250,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Beveridge, N; Elderfield, Henry; Shackleton, Nicholas J (1995): (Table 3f) Stable isotope analysis on sediment core BOFS26/6K. PANGAEA, https://doi.org/10.1594/PANGAEA.59502,",,"PANGAEA, https://doi.org/10.1594/PANGAEA.59502,",1
BOFS29_1K,,0.47,0,4.01,0,4.01,5-20,250,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Beveridge, N; Elderfield, Henry; Shackleton, Nicholas J (1995): (Table 3f) Stable isotope analysis on sediment core BOFS26/6K. PANGAEA, https://doi.org/10.1594/PANGAEA.59502,",,"PANGAEA, https://doi.org/10.1594/PANGAEA.59502,",1
BOFS29_1K,,0.51,0,3.9,0,3.9,5-20,250,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Beveridge, N; Elderfield, Henry; Shackleton, Nicholas J (1995): (Table 3f) Stable isotope analysis on sediment core BOFS26/6K. PANGAEA, https://doi.org/10.1594/PANGAEA.59502,",,"PANGAEA, https://doi.org/10.1594/PANGAEA.59502,",1
BOFS29_1K,,0.57,0,4.13,0,4.13,5-20,250,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Beveridge, N; Elderfield, Henry; Shackleton, Nicholas J (1995): (Table 3f) Stable isotope analysis on sediment core BOFS26/6K. PANGAEA, https://doi.org/10.1594/PANGAEA.59502,",,"PANGAEA, https://doi.org/10.1594/PANGAEA.59502,",1
BOFS29_1K,,0.61,0.1,4.23,0.1,4.23,5-20,250,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Beveridge, N; Elderfield, Henry; Shackleton, Nicholas J (1995): (Table 3f) Stable isotope analysis on sediment core BOFS26/6K. PANGAEA, https://doi.org/10.1594/PANGAEA.59502,",,"PANGAEA, https://doi.org/10.1594/PANGAEA.59502,",1
BOFS29_1K,,0.65,0.29,3.97,0.29,3.97,5-20,250,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Beveridge, N; Elderfield, Henry; Shackleton, Nicholas J (1995): (Table 3f) Stable isotope analysis on sediment core BOFS26/6K. PANGAEA, https://doi.org/10.1594/PANGAEA.59502,",,"PANGAEA, https://doi.org/10.1594/PANGAEA.59502,",1
BOFS29_1K,,0.69,0.15,4.14,0.15,4.14,5-20,250,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Beveridge, N; Elderfield, Henry; Shackleton, Nicholas J (1995): (Table 3f) Stable isotope analysis on sediment core BOFS26/6K. PANGAEA, https://doi.org/10.1594/PANGAEA.59502,",,"PANGAEA, https://doi.org/10.1594/PANGAEA.59502,",1
BOFS29_1K,,0.73,0.17,4.09,0.17,4.09,5-20,250,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Beveridge, N; Elderfield, Henry; Shackleton, Nicholas J (1995): (Table 3f) Stable isotope analysis on sediment core BOFS26/6K. PANGAEA, https://doi.org/10.1594/PANGAEA.59502,",,"PANGAEA, https://doi.org/10.1594/PANGAEA.59502,",1
BOFS29_1K,,0.77,0.34,3.97,0.34,3.97,5-20,250,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Beveridge, N; Elderfield, Henry; Shackleton, Nicholas J (1995): (Table 3f) Stable isotope analysis on sediment core BOFS26/6K. PANGAEA, https://doi.org/10.1594/PANGAEA.59502,",,"PANGAEA, https://doi.org/10.1594/PANGAEA.59502,",1
BOFS29_1K,,0.81,0.25,3.72,0.25,3.72,5-20,250,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Beveridge, N; Elderfield, Henry; Shackleton, Nicholas J (1995): (Table 3f) Stable isotope analysis on sediment core BOFS26/6K. PANGAEA, https://doi.org/10.1594/PANGAEA.59502,",,"PANGAEA, https://doi.org/10.1594/PANGAEA.59502,",1
BOFS29_1K,,0.85,0.24,3.88,0.24,3.88,5-20,250,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Beveridge, N; Elderfield, Henry; Shackleton, Nicholas J (1995): (Table 3f) Stable isotope analysis on sediment core BOFS26/6K. PANGAEA, https://doi.org/10.1594/PANGAEA.59502,",,"PANGAEA, https://doi.org/10.1594/PANGAEA.59502,",1
BOFS29_1K,,0.89,0.24,3.84,0.24,3.84,5-20,250,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Beveridge, N; Elderfield, Henry; Shackleton, Nicholas J (1995): (Table 3f) Stable isotope analysis on sediment core BOFS26/6K. PANGAEA, https://doi.org/10.1594/PANGAEA.59502,",,"PANGAEA, https://doi.org/10.1594/PANGAEA.59502,",1
