Site,Sample_label,hole_label,section_label,published_archival_depth (m),current_depth_model (m),current_depth_model_note,ODP SAMPLE Inventory:: DEPTH(mid) (m),ODP SAMPLE Inventory:: MBSF(mid) (m),ODP SAMPLE Inventory:: MCD(mid) (m),ODP SAMPLE Inventory:: CCSF(mid) (m),depth_model_1 (m),depth_model_note_1,older_depth_model_2 (m)
GeoB1711,,,,5.58,5.58,,,,,,5.58,,
GeoB1711,,,,5.63,5.63,,,,,,5.63,,
GeoB1711,,,,5.68,5.68,,,,,,5.68,,
GeoB1711,,,,5.73,5.73,,,,,,5.73,,
GeoB1711,,,,5.78,5.78,,,,,,5.78,,
GeoB1711,,,,5.83,5.83,,,,,,5.83,,
GeoB1711,,,,5.88,5.88,,,,,,5.88,,
GeoB1711,,,,5.93,5.93,,,,,,5.93,,
GeoB1711,,,,5.98,5.98,,,,,,5.98,,
GeoB1711,,,,6.03,6.03,,,,,,6.03,,
GeoB1711,,,,6.08,6.08,,,,,,6.08,,
GeoB1711,,,,6.13,6.13,,,,,,6.13,,
GeoB1711,,,,6.18,6.18,,,,,,6.18,,
GeoB1711,,,,6.23,6.23,,,,,,6.23,,
GeoB1711,,,,6.28,6.28,,,,,,6.28,,
GeoB1711,,,,6.33,6.33,,,,,,6.33,,
GeoB1711,,,,6.38,6.38,,,,,,6.38,,
GeoB1711,,,,6.43,6.43,,,,,,6.43,,
GeoB1711,,,,6.48,6.48,,,,,,6.48,,
GeoB1711,,,,6.53,6.53,,,,,,6.53,,
GeoB1711,,,,6.58,6.58,,,,,,6.58,,
GeoB1711,,,,6.63,6.63,,,,,,6.63,,
GeoB1711,,,,6.68,6.68,,,,,,6.68,,
GeoB1711,,,,6.73,6.73,,,,,,6.73,,
GeoB1711,,,,6.78,6.78,,,,,,6.78,,
GeoB1711,,,,6.83,6.83,,,,,,6.83,,
GeoB1711,,,,6.88,6.88,,,,,,6.88,,
GeoB1711,,,,6.93,6.93,,,,,,6.93,,
GeoB1711,,,,6.98,6.98,,,,,,6.98,,
GeoB1711,,,,7.03,7.03,,,,,,7.03,,
GeoB1711,,,,7.08,7.08,,,,,,7.08,,
GeoB1711,,,,7.13,7.13,,,,,,7.13,,
GeoB1711,,,,7.18,7.18,,,,,,7.18,,
GeoB1711,,,,7.23,7.23,,,,,,7.23,,
GeoB1711,,,,7.28,7.28,,,,,,7.28,,
GeoB1711,,,,7.33,7.33,,,,,,7.33,,
GeoB1711,,,,7.38,7.38,,,,,,7.38,,
GeoB1711,,,,7.43,7.43,,,,,,7.43,,
GeoB1711,,,,7.48,7.48,,,,,,7.48,,
GeoB1711,,,,7.53,7.53,,,,,,7.53,,
GeoB1711,,,,7.58,7.58,,,,,,7.58,,
GeoB1711,,,,7.63,7.63,,,,,,7.63,,
GeoB1711,,,,7.68,7.68,,,,,,7.68,,
GeoB1711,,,,7.78,7.78,,,,,,7.78,,
GeoB1711,,,,7.83,7.83,,,,,,7.83,,
GeoB1711,,,,7.88,7.88,,,,,,7.88,,
GeoB1711,,,,7.93,7.93,,,,,,7.93,,
GeoB1711,,,,7.98,7.98,,,,,,7.98,,
GeoB1711,,,,8.03,8.03,,,,,,8.03,,
GeoB1711,,,,8.08,8.08,,,,,,8.08,,
GeoB1711,,,,8.13,8.13,,,,,,8.13,,
GeoB1711,,,,8.18,8.18,,,,,,8.18,,
GeoB1711,,,,8.23,8.23,,,,,,8.23,,
GeoB1711,,,,8.28,8.28,,,,,,8.28,,
GeoB1711,,,,8.33,8.33,,,,,,8.33,,
GeoB1711,,,,8.38,8.38,,,,,,8.38,,
GeoB1711,,,,8.43,8.43,,,,,,8.43,,
GeoB1711,,,,8.48,8.48,,,,,,8.48,,
GeoB1711,,,,8.53,8.53,,,,,,8.53,,
GeoB1711,,,,8.58,8.58,,,,,,8.58,,
GeoB1711,,,,8.63,8.63,,,,,,8.63,,
GeoB1711,,,,8.68,8.68,,,,,,8.68,,
GeoB1711,,,,8.73,8.73,,,,,,8.73,,
GeoB1711,,,,8.78,8.78,,,,,,8.78,,
GeoB1711,,,,8.83,8.83,,,,,,8.83,,
GeoB1711,,,,8.88,8.88,,,,,,8.88,,
GeoB1711,,,,8.93,8.93,,,,,,8.93,,
GeoB1711,,,,8.98,8.98,,,,,,8.98,,
GeoB1711,,,,9.03,9.03,,,,,,9.03,,
GeoB1711,,,,9.08,9.08,,,,,,9.08,,
GeoB1711,,,,9.13,9.13,,,,,,9.13,,
GeoB1711,,,,9.18,9.18,,,,,,9.18,,
GeoB1711,,,,9.23,9.23,,,,,,9.23,,
GeoB1711,,,,9.28,9.28,,,,,,9.28,,
GeoB1711,,,,9.33,9.33,,,,,,9.33,,
GeoB1711,,,,9.38,9.38,,,,,,9.38,,
GeoB1711,,,,9.43,9.43,,,,,,9.43,,
GeoB1711,,,,9.48,9.48,,,,,,9.48,,
GeoB1711,,,,9.58,9.58,,,,,,9.58,,
GeoB1711,,,,9.63,9.63,,,,,,9.63,,
GeoB1711,,,,9.68,9.68,,,,,,9.68,,
GeoB1711,,,,9.73,9.73,,,,,,9.73,,
GeoB1711,,,,9.78,9.78,,,,,,9.78,,
