Site,Sample Label,archival_depth (m),d13C (VPDB),d18O (VPDB),d13C_corrected (PDB),d18O_corrected (PDB),Number of shells,Minimum mesh size (um),Maximum mesh size (um),Taxon,Taxon_flag,Taxon_note1,Taxon_note2,Taxon_note3,Additional_note,Publication source,Original Reference,File Name,Data source,quality control
GIK11944-1,,0.05,1.18,2.16,1.18,2.16,,,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Weinelt, Mara; Sarnthein, Michael (2003): Stable isotope analysis on sediment core GIK11944-2. PANGAEA, https://doi.org/10.1594/PANGAEA.97104",,"PANGAEA, https://doi.org/10.1594/PANGAEA.97104",1
GIK11944-1,,0.16,1.23,2.24,1.23,2.24,,,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Weinelt, Mara; Sarnthein, Michael (2003): Stable isotope analysis on sediment core GIK11944-2. PANGAEA, https://doi.org/10.1594/PANGAEA.97104",,"PANGAEA, https://doi.org/10.1594/PANGAEA.97104",1
GIK11944-1,,0.25,1.22,2.37,1.22,2.37,,,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Weinelt, Mara; Sarnthein, Michael (2003): Stable isotope analysis on sediment core GIK11944-2. PANGAEA, https://doi.org/10.1594/PANGAEA.97104",,"PANGAEA, https://doi.org/10.1594/PANGAEA.97104",1
GIK11944-1,,0.35,1.21,2.51,1.21,2.51,,,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Weinelt, Mara; Sarnthein, Michael (2003): Stable isotope analysis on sediment core GIK11944-2. PANGAEA, https://doi.org/10.1594/PANGAEA.97104",,"PANGAEA, https://doi.org/10.1594/PANGAEA.97104",1
GIK11944-1,,0.41,0.99,2.55,0.99,2.55,,,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Weinelt, Mara; Sarnthein, Michael (2003): Stable isotope analysis on sediment core GIK11944-2. PANGAEA, https://doi.org/10.1594/PANGAEA.97104",,"PANGAEA, https://doi.org/10.1594/PANGAEA.97104",1
GIK11944-1,,0.41,0.95,2.75,0.95,2.75,,,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Weinelt, Mara; Sarnthein, Michael (2003): Stable isotope analysis on sediment core GIK11944-2. PANGAEA, https://doi.org/10.1594/PANGAEA.97104",,"PANGAEA, https://doi.org/10.1594/PANGAEA.97104",1
GIK11944-1,,0.41,0.97,2.65,0.97,2.65,,,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Weinelt, Mara; Sarnthein, Michael (2003): Stable isotope analysis on sediment core GIK11944-2. PANGAEA, https://doi.org/10.1594/PANGAEA.97104",,"PANGAEA, https://doi.org/10.1594/PANGAEA.97104",1
GIK11944-1,,0.43,0.97,2.61,0.97,2.61,,,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Weinelt, Mara; Sarnthein, Michael (2003): Stable isotope analysis on sediment core GIK11944-2. PANGAEA, https://doi.org/10.1594/PANGAEA.97104",,"PANGAEA, https://doi.org/10.1594/PANGAEA.97104",1
GIK11944-1,,0.44,0.9,2.63,0.9,2.63,,,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Weinelt, Mara; Sarnthein, Michael (2003): Stable isotope analysis on sediment core GIK11944-2. PANGAEA, https://doi.org/10.1594/PANGAEA.97104",,"PANGAEA, https://doi.org/10.1594/PANGAEA.97104",1
GIK11944-1,,0.44,0.94,2.66,0.94,2.66,,,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Weinelt, Mara; Sarnthein, Michael (2003): Stable isotope analysis on sediment core GIK11944-2. PANGAEA, https://doi.org/10.1594/PANGAEA.97104",,"PANGAEA, https://doi.org/10.1594/PANGAEA.97104",1
