Site,Sample Label,archival_depth (m),d13C (VPDB),d18O (VPDB),d13C_corrected (PDB),d18O_corrected (PDB),Number of shells,Minimum mesh size (um),Maximum mesh size (um),Taxon,Taxon_flag,Taxon_note1,Taxon_note2,Taxon_note3,Additional_note,Publication source,Original Reference,File Name,Data source,quality control
GIK16004,,2.205,1.15,3.47,1.15,3.47,7-10,315,400,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Sarnthein, Michael; Winn, Kyaw; Jung, Simon J A; Duplessy, Jean-Claude; Labeyrie, Laurent D; Erlenkeuser, Helmut; Ganssen, Gerald M(1994): Changes in east Atlantic deepwater circulation over the last 30,000 years: Eight time slice reconstructions. Paleoceanography, 9(2), 209-267, https://doi.org/10.1029/93PA03301",,"Sarnthein, Michael (1994): Stable isotope analysis on sediment core GIK16004. PANGAEA, https://doi.org/10.1594/PANGAEA.54371",1
GIK16004,,2.305,1.5,3.78,1.5,3.78,7-10,315,400,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Sarnthein, Michael; Winn, Kyaw; Jung, Simon J A; Duplessy, Jean-Claude; Labeyrie, Laurent D; Erlenkeuser, Helmut; Ganssen, Gerald M(1994): Changes in east Atlantic deepwater circulation over the last 30,000 years: Eight time slice reconstructions. Paleoceanography, 9(2), 209-267, https://doi.org/10.1029/93PA03301",,"Sarnthein, Michael (1994): Stable isotope analysis on sediment core GIK16004. PANGAEA, https://doi.org/10.1594/PANGAEA.54371",1
GIK16004,,2.405,1.07,3.65,1.07,3.65,7-10,315,400,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Sarnthein, Michael; Winn, Kyaw; Jung, Simon J A; Duplessy, Jean-Claude; Labeyrie, Laurent D; Erlenkeuser, Helmut; Ganssen, Gerald M(1994): Changes in east Atlantic deepwater circulation over the last 30,000 years: Eight time slice reconstructions. Paleoceanography, 9(2), 209-267, https://doi.org/10.1029/93PA03301",,"Sarnthein, Michael (1994): Stable isotope analysis on sediment core GIK16004. PANGAEA, https://doi.org/10.1594/PANGAEA.54371",1
GIK16004,,2.505,1.05,3.63,1.05,3.63,7-10,315,400,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Sarnthein, Michael; Winn, Kyaw; Jung, Simon J A; Duplessy, Jean-Claude; Labeyrie, Laurent D; Erlenkeuser, Helmut; Ganssen, Gerald M(1994): Changes in east Atlantic deepwater circulation over the last 30,000 years: Eight time slice reconstructions. Paleoceanography, 9(2), 209-267, https://doi.org/10.1029/93PA03301",,"Sarnthein, Michael (1994): Stable isotope analysis on sediment core GIK16004. PANGAEA, https://doi.org/10.1594/PANGAEA.54371",1
GIK16004,,2.605,1.12,3.15,1.12,3.15,7-10,315,400,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Sarnthein, Michael; Winn, Kyaw; Jung, Simon J A; Duplessy, Jean-Claude; Labeyrie, Laurent D; Erlenkeuser, Helmut; Ganssen, Gerald M(1994): Changes in east Atlantic deepwater circulation over the last 30,000 years: Eight time slice reconstructions. Paleoceanography, 9(2), 209-267, https://doi.org/10.1029/93PA03301",,"Sarnthein, Michael (1994): Stable isotope analysis on sediment core GIK16004. PANGAEA, https://doi.org/10.1594/PANGAEA.54371",1
GIK16004,,2.705,1.25,3.2,1.25,3.2,7-10,315,400,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Sarnthein, Michael; Winn, Kyaw; Jung, Simon J A; Duplessy, Jean-Claude; Labeyrie, Laurent D; Erlenkeuser, Helmut; Ganssen, Gerald M(1994): Changes in east Atlantic deepwater circulation over the last 30,000 years: Eight time slice reconstructions. Paleoceanography, 9(2), 209-267, https://doi.org/10.1029/93PA03301",,"Sarnthein, Michael (1994): Stable isotope analysis on sediment core GIK16004. PANGAEA, https://doi.org/10.1594/PANGAEA.54371",1
GIK16004,,2.805,1.21,2.89,1.21,2.89,7-10,315,400,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Sarnthein, Michael; Winn, Kyaw; Jung, Simon J A; Duplessy, Jean-Claude; Labeyrie, Laurent D; Erlenkeuser, Helmut; Ganssen, Gerald M(1994): Changes in east Atlantic deepwater circulation over the last 30,000 years: Eight time slice reconstructions. Paleoceanography, 9(2), 209-267, https://doi.org/10.1029/93PA03301",,"Sarnthein, Michael (1994): Stable isotope analysis on sediment core GIK16004. PANGAEA, https://doi.org/10.1594/PANGAEA.54371",1
GIK16004,,2.905,1.11,2.76,1.11,2.76,7-10,315,400,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Sarnthein, Michael; Winn, Kyaw; Jung, Simon J A; Duplessy, Jean-Claude; Labeyrie, Laurent D; Erlenkeuser, Helmut; Ganssen, Gerald M(1994): Changes in east Atlantic deepwater circulation over the last 30,000 years: Eight time slice reconstructions. Paleoceanography, 9(2), 209-267, https://doi.org/10.1029/93PA03301",,"Sarnthein, Michael (1994): Stable isotope analysis on sediment core GIK16004. PANGAEA, https://doi.org/10.1594/PANGAEA.54371",1
GIK16004,,3.005,1.13,2.86,1.13,2.86,7-10,315,400,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Sarnthein, Michael; Winn, Kyaw; Jung, Simon J A; Duplessy, Jean-Claude; Labeyrie, Laurent D; Erlenkeuser, Helmut; Ganssen, Gerald M(1994): Changes in east Atlantic deepwater circulation over the last 30,000 years: Eight time slice reconstructions. Paleoceanography, 9(2), 209-267, https://doi.org/10.1029/93PA03301",,"Sarnthein, Michael (1994): Stable isotope analysis on sediment core GIK16004. PANGAEA, https://doi.org/10.1594/PANGAEA.54371",1
GIK16004,,3.105,1.29,2.98,1.29,2.98,7-10,315,400,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Sarnthein, Michael; Winn, Kyaw; Jung, Simon J A; Duplessy, Jean-Claude; Labeyrie, Laurent D; Erlenkeuser, Helmut; Ganssen, Gerald M(1994): Changes in east Atlantic deepwater circulation over the last 30,000 years: Eight time slice reconstructions. Paleoceanography, 9(2), 209-267, https://doi.org/10.1029/93PA03301",,"Sarnthein, Michael (1994): Stable isotope analysis on sediment core GIK16004. PANGAEA, https://doi.org/10.1594/PANGAEA.54371",1
GIK16004,,3.195,1.21,2.75,1.21,2.75,7-10,315,400,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Sarnthein, Michael; Winn, Kyaw; Jung, Simon J A; Duplessy, Jean-Claude; Labeyrie, Laurent D; Erlenkeuser, Helmut; Ganssen, Gerald M(1994): Changes in east Atlantic deepwater circulation over the last 30,000 years: Eight time slice reconstructions. Paleoceanography, 9(2), 209-267, https://doi.org/10.1029/93PA03301",,"Sarnthein, Michael (1994): Stable isotope analysis on sediment core GIK16004. PANGAEA, https://doi.org/10.1594/PANGAEA.54371",1
GIK16004,,3.305,1.08,2.65,1.08,2.65,7-10,315,400,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Sarnthein, Michael; Winn, Kyaw; Jung, Simon J A; Duplessy, Jean-Claude; Labeyrie, Laurent D; Erlenkeuser, Helmut; Ganssen, Gerald M(1994): Changes in east Atlantic deepwater circulation over the last 30,000 years: Eight time slice reconstructions. Paleoceanography, 9(2), 209-267, https://doi.org/10.1029/93PA03301",,"Sarnthein, Michael (1994): Stable isotope analysis on sediment core GIK16004. PANGAEA, https://doi.org/10.1594/PANGAEA.54371",1
GIK16004,,3.405,1.03,2.71,1.03,2.71,7-10,315,400,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Sarnthein, Michael; Winn, Kyaw; Jung, Simon J A; Duplessy, Jean-Claude; Labeyrie, Laurent D; Erlenkeuser, Helmut; Ganssen, Gerald M(1994): Changes in east Atlantic deepwater circulation over the last 30,000 years: Eight time slice reconstructions. Paleoceanography, 9(2), 209-267, https://doi.org/10.1029/93PA03301",,"Sarnthein, Michael (1994): Stable isotope analysis on sediment core GIK16004. PANGAEA, https://doi.org/10.1594/PANGAEA.54371",1
GIK16004,,3.505,0.94,3.17,0.94,3.17,7-10,315,400,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Sarnthein, Michael; Winn, Kyaw; Jung, Simon J A; Duplessy, Jean-Claude; Labeyrie, Laurent D; Erlenkeuser, Helmut; Ganssen, Gerald M(1994): Changes in east Atlantic deepwater circulation over the last 30,000 years: Eight time slice reconstructions. Paleoceanography, 9(2), 209-267, https://doi.org/10.1029/93PA03301",,"Sarnthein, Michael (1994): Stable isotope analysis on sediment core GIK16004. PANGAEA, https://doi.org/10.1594/PANGAEA.54371",1
GIK16004,,3.605,1.15,2.94,1.15,2.94,7-10,315,400,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Sarnthein, Michael; Winn, Kyaw; Jung, Simon J A; Duplessy, Jean-Claude; Labeyrie, Laurent D; Erlenkeuser, Helmut; Ganssen, Gerald M(1994): Changes in east Atlantic deepwater circulation over the last 30,000 years: Eight time slice reconstructions. Paleoceanography, 9(2), 209-267, https://doi.org/10.1029/93PA03301",,"Sarnthein, Michael (1994): Stable isotope analysis on sediment core GIK16004. PANGAEA, https://doi.org/10.1594/PANGAEA.54371",1
GIK16004,,3.705,1.04,3.15,1.04,3.15,7-10,315,400,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Sarnthein, Michael; Winn, Kyaw; Jung, Simon J A; Duplessy, Jean-Claude; Labeyrie, Laurent D; Erlenkeuser, Helmut; Ganssen, Gerald M(1994): Changes in east Atlantic deepwater circulation over the last 30,000 years: Eight time slice reconstructions. Paleoceanography, 9(2), 209-267, https://doi.org/10.1029/93PA03301",,"Sarnthein, Michael (1994): Stable isotope analysis on sediment core GIK16004. PANGAEA, https://doi.org/10.1594/PANGAEA.54371",1
GIK16004,,3.805,0.97,2.67,0.97,2.67,7-10,315,400,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Sarnthein, Michael; Winn, Kyaw; Jung, Simon J A; Duplessy, Jean-Claude; Labeyrie, Laurent D; Erlenkeuser, Helmut; Ganssen, Gerald M(1994): Changes in east Atlantic deepwater circulation over the last 30,000 years: Eight time slice reconstructions. Paleoceanography, 9(2), 209-267, https://doi.org/10.1029/93PA03301",,"Sarnthein, Michael (1994): Stable isotope analysis on sediment core GIK16004. PANGAEA, https://doi.org/10.1594/PANGAEA.54371",1
GIK16004,,3.905,0.94,2.17,0.94,2.17,7-10,315,400,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Sarnthein, Michael; Winn, Kyaw; Jung, Simon J A; Duplessy, Jean-Claude; Labeyrie, Laurent D; Erlenkeuser, Helmut; Ganssen, Gerald M(1994): Changes in east Atlantic deepwater circulation over the last 30,000 years: Eight time slice reconstructions. Paleoceanography, 9(2), 209-267, https://doi.org/10.1029/93PA03301",,"Sarnthein, Michael (1994): Stable isotope analysis on sediment core GIK16004. PANGAEA, https://doi.org/10.1594/PANGAEA.54371",1
GIK16004,,3.955,0.85,2.23,0.85,2.23,7-10,315,400,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Sarnthein, Michael; Winn, Kyaw; Jung, Simon J A; Duplessy, Jean-Claude; Labeyrie, Laurent D; Erlenkeuser, Helmut; Ganssen, Gerald M(1994): Changes in east Atlantic deepwater circulation over the last 30,000 years: Eight time slice reconstructions. Paleoceanography, 9(2), 209-267, https://doi.org/10.1029/93PA03301",,"Sarnthein, Michael (1994): Stable isotope analysis on sediment core GIK16004. PANGAEA, https://doi.org/10.1594/PANGAEA.54371",1
GIK16004,,4.005,0.78,2.35,0.78,2.35,7-10,315,400,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Sarnthein, Michael; Winn, Kyaw; Jung, Simon J A; Duplessy, Jean-Claude; Labeyrie, Laurent D; Erlenkeuser, Helmut; Ganssen, Gerald M(1994): Changes in east Atlantic deepwater circulation over the last 30,000 years: Eight time slice reconstructions. Paleoceanography, 9(2), 209-267, https://doi.org/10.1029/93PA03301",,"Sarnthein, Michael (1994): Stable isotope analysis on sediment core GIK16004. PANGAEA, https://doi.org/10.1594/PANGAEA.54371",1
GIK16004,,4.055,0.7,2.55,0.7,2.55,7-10,315,400,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Sarnthein, Michael; Winn, Kyaw; Jung, Simon J A; Duplessy, Jean-Claude; Labeyrie, Laurent D; Erlenkeuser, Helmut; Ganssen, Gerald M(1994): Changes in east Atlantic deepwater circulation over the last 30,000 years: Eight time slice reconstructions. Paleoceanography, 9(2), 209-267, https://doi.org/10.1029/93PA03301",,"Sarnthein, Michael (1994): Stable isotope analysis on sediment core GIK16004. PANGAEA, https://doi.org/10.1594/PANGAEA.54371",1
GIK16004,,4.095,0.35,2.21,0.35,2.21,7-10,315,400,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Sarnthein, Michael; Winn, Kyaw; Jung, Simon J A; Duplessy, Jean-Claude; Labeyrie, Laurent D; Erlenkeuser, Helmut; Ganssen, Gerald M(1994): Changes in east Atlantic deepwater circulation over the last 30,000 years: Eight time slice reconstructions. Paleoceanography, 9(2), 209-267, https://doi.org/10.1029/93PA03301",,"Sarnthein, Michael (1994): Stable isotope analysis on sediment core GIK16004. PANGAEA, https://doi.org/10.1594/PANGAEA.54371",1
GIK16004,,4.095,0.33,2.49,0.33,2.49,7-10,315,400,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Sarnthein, Michael; Winn, Kyaw; Jung, Simon J A; Duplessy, Jean-Claude; Labeyrie, Laurent D; Erlenkeuser, Helmut; Ganssen, Gerald M(1994): Changes in east Atlantic deepwater circulation over the last 30,000 years: Eight time slice reconstructions. Paleoceanography, 9(2), 209-267, https://doi.org/10.1029/93PA03301",,"Sarnthein, Michael (1994): Stable isotope analysis on sediment core GIK16004. PANGAEA, https://doi.org/10.1594/PANGAEA.54371",1
GIK16004,,4.095,0.31,2.76,0.31,2.76,7-10,315,400,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Sarnthein, Michael; Winn, Kyaw; Jung, Simon J A; Duplessy, Jean-Claude; Labeyrie, Laurent D; Erlenkeuser, Helmut; Ganssen, Gerald M(1994): Changes in east Atlantic deepwater circulation over the last 30,000 years: Eight time slice reconstructions. Paleoceanography, 9(2), 209-267, https://doi.org/10.1029/93PA03301",,"Sarnthein, Michael (1994): Stable isotope analysis on sediment core GIK16004. PANGAEA, https://doi.org/10.1594/PANGAEA.54371",1
GIK16004,,4.155,0.7,3.89,0.7,3.89,7-10,315,400,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Sarnthein, Michael; Winn, Kyaw; Jung, Simon J A; Duplessy, Jean-Claude; Labeyrie, Laurent D; Erlenkeuser, Helmut; Ganssen, Gerald M(1994): Changes in east Atlantic deepwater circulation over the last 30,000 years: Eight time slice reconstructions. Paleoceanography, 9(2), 209-267, https://doi.org/10.1029/93PA03301",,"Sarnthein, Michael (1994): Stable isotope analysis on sediment core GIK16004. PANGAEA, https://doi.org/10.1594/PANGAEA.54371",1
GIK16004,,4.205,0.91,4.1,0.91,4.1,7-10,315,400,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Sarnthein, Michael; Winn, Kyaw; Jung, Simon J A; Duplessy, Jean-Claude; Labeyrie, Laurent D; Erlenkeuser, Helmut; Ganssen, Gerald M(1994): Changes in east Atlantic deepwater circulation over the last 30,000 years: Eight time slice reconstructions. Paleoceanography, 9(2), 209-267, https://doi.org/10.1029/93PA03301",,"Sarnthein, Michael (1994): Stable isotope analysis on sediment core GIK16004. PANGAEA, https://doi.org/10.1594/PANGAEA.54371",1
GIK16004,,4.255,1.14,4.23,1.14,4.23,7-10,315,400,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Sarnthein, Michael; Winn, Kyaw; Jung, Simon J A; Duplessy, Jean-Claude; Labeyrie, Laurent D; Erlenkeuser, Helmut; Ganssen, Gerald M(1994): Changes in east Atlantic deepwater circulation over the last 30,000 years: Eight time slice reconstructions. Paleoceanography, 9(2), 209-267, https://doi.org/10.1029/93PA03301",,"Sarnthein, Michael (1994): Stable isotope analysis on sediment core GIK16004. PANGAEA, https://doi.org/10.1594/PANGAEA.54371",1
GIK16004,,4.285,1.22,3.83,1.22,3.83,7-10,315,400,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Sarnthein, Michael; Winn, Kyaw; Jung, Simon J A; Duplessy, Jean-Claude; Labeyrie, Laurent D; Erlenkeuser, Helmut; Ganssen, Gerald M(1994): Changes in east Atlantic deepwater circulation over the last 30,000 years: Eight time slice reconstructions. Paleoceanography, 9(2), 209-267, https://doi.org/10.1029/93PA03301",,"Sarnthein, Michael (1994): Stable isotope analysis on sediment core GIK16004. PANGAEA, https://doi.org/10.1594/PANGAEA.54371",1
GIK16004,,4.355,0.86,3.51,0.86,3.51,7-10,315,400,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Sarnthein, Michael; Winn, Kyaw; Jung, Simon J A; Duplessy, Jean-Claude; Labeyrie, Laurent D; Erlenkeuser, Helmut; Ganssen, Gerald M(1994): Changes in east Atlantic deepwater circulation over the last 30,000 years: Eight time slice reconstructions. Paleoceanography, 9(2), 209-267, https://doi.org/10.1029/93PA03301",,"Sarnthein, Michael (1994): Stable isotope analysis on sediment core GIK16004. PANGAEA, https://doi.org/10.1594/PANGAEA.54371",1
GIK16004,,4.405,0.75,3.69,0.75,3.69,7-10,315,400,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Sarnthein, Michael; Winn, Kyaw; Jung, Simon J A; Duplessy, Jean-Claude; Labeyrie, Laurent D; Erlenkeuser, Helmut; Ganssen, Gerald M(1994): Changes in east Atlantic deepwater circulation over the last 30,000 years: Eight time slice reconstructions. Paleoceanography, 9(2), 209-267, https://doi.org/10.1029/93PA03301",,"Sarnthein, Michael (1994): Stable isotope analysis on sediment core GIK16004. PANGAEA, https://doi.org/10.1594/PANGAEA.54371",1
