Site,Sample Label,archival_depth (m),d13C (VPDB),d18O (VPDB),d13C_corrected (PDB),d18O_corrected (PDB),Number of shells,Minimum mesh size (um),Maximum mesh size (um),Taxon,Taxon_flag,Taxon_note1,Taxon_note2,Taxon_note3,Additional_note,Publication source,Original Reference,File Name,Data source,quality control
GIK16004,,0.555,0.86,3.7,0.86,3.7,7-10,315,400,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Sarnthein, Michael; Winn, Kyaw; Jung, Simon J A; Duplessy, Jean-Claude; Labeyrie, Laurent D; Erlenkeuser, Helmut; Ganssen, Gerald M(1994): Changes in east Atlantic deepwater circulation over the last 30,000 years: Eight time slice reconstructions. Paleoceanography, 9(2), 209-267, https://doi.org/10.1029/93PA03301",,"Sarnthein, Michael (1994): Stable isotope analysis on sediment core GIK16004. PANGAEA, https://doi.org/10.1594/PANGAEA.54371",1
GIK16004,,0.56,0.54,3.13,0.54,3.13,7-10,315,400,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Sarnthein, Michael; Winn, Kyaw; Jung, Simon J A; Duplessy, Jean-Claude; Labeyrie, Laurent D; Erlenkeuser, Helmut; Ganssen, Gerald M(1994): Changes in east Atlantic deepwater circulation over the last 30,000 years: Eight time slice reconstructions. Paleoceanography, 9(2), 209-267, https://doi.org/10.1029/93PA03301",,"Sarnthein, Michael (1994): Stable isotope analysis on sediment core GIK16004. PANGAEA, https://doi.org/10.1594/PANGAEA.54371",1
GIK16004,,0.58,1.2,4.05,1.2,4.05,7-10,315,400,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Sarnthein, Michael; Winn, Kyaw; Jung, Simon J A; Duplessy, Jean-Claude; Labeyrie, Laurent D; Erlenkeuser, Helmut; Ganssen, Gerald M(1994): Changes in east Atlantic deepwater circulation over the last 30,000 years: Eight time slice reconstructions. Paleoceanography, 9(2), 209-267, https://doi.org/10.1029/93PA03301",,"Sarnthein, Michael (1994): Stable isotope analysis on sediment core GIK16004. PANGAEA, https://doi.org/10.1594/PANGAEA.54371",1
GIK16004,,0.6,0.91,3.18,0.91,3.18,7-10,315,400,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Sarnthein, Michael; Winn, Kyaw; Jung, Simon J A; Duplessy, Jean-Claude; Labeyrie, Laurent D; Erlenkeuser, Helmut; Ganssen, Gerald M(1994): Changes in east Atlantic deepwater circulation over the last 30,000 years: Eight time slice reconstructions. Paleoceanography, 9(2), 209-267, https://doi.org/10.1029/93PA03301",,"Sarnthein, Michael (1994): Stable isotope analysis on sediment core GIK16004. PANGAEA, https://doi.org/10.1594/PANGAEA.54371",1
GIK16004,,0.605,1.16,3.94,1.16,3.94,7-10,315,400,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Sarnthein, Michael; Winn, Kyaw; Jung, Simon J A; Duplessy, Jean-Claude; Labeyrie, Laurent D; Erlenkeuser, Helmut; Ganssen, Gerald M(1994): Changes in east Atlantic deepwater circulation over the last 30,000 years: Eight time slice reconstructions. Paleoceanography, 9(2), 209-267, https://doi.org/10.1029/93PA03301",,"Sarnthein, Michael (1994): Stable isotope analysis on sediment core GIK16004. PANGAEA, https://doi.org/10.1594/PANGAEA.54371",1
GIK16004,,0.655,1.06,3.8,1.06,3.8,7-10,315,400,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Sarnthein, Michael; Winn, Kyaw; Jung, Simon J A; Duplessy, Jean-Claude; Labeyrie, Laurent D; Erlenkeuser, Helmut; Ganssen, Gerald M(1994): Changes in east Atlantic deepwater circulation over the last 30,000 years: Eight time slice reconstructions. Paleoceanography, 9(2), 209-267, https://doi.org/10.1029/93PA03301",,"Sarnthein, Michael (1994): Stable isotope analysis on sediment core GIK16004. PANGAEA, https://doi.org/10.1594/PANGAEA.54371",1
GIK16004,,0.715,1.27,4.04,1.27,4.04,7-10,315,400,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Sarnthein, Michael; Winn, Kyaw; Jung, Simon J A; Duplessy, Jean-Claude; Labeyrie, Laurent D; Erlenkeuser, Helmut; Ganssen, Gerald M(1994): Changes in east Atlantic deepwater circulation over the last 30,000 years: Eight time slice reconstructions. Paleoceanography, 9(2), 209-267, https://doi.org/10.1029/93PA03301",,"Sarnthein, Michael (1994): Stable isotope analysis on sediment core GIK16004. PANGAEA, https://doi.org/10.1594/PANGAEA.54371",1
GIK16004,,0.755,1.11,3.8,1.11,3.8,7-10,315,400,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Sarnthein, Michael; Winn, Kyaw; Jung, Simon J A; Duplessy, Jean-Claude; Labeyrie, Laurent D; Erlenkeuser, Helmut; Ganssen, Gerald M(1994): Changes in east Atlantic deepwater circulation over the last 30,000 years: Eight time slice reconstructions. Paleoceanography, 9(2), 209-267, https://doi.org/10.1029/93PA03301",,"Sarnthein, Michael (1994): Stable isotope analysis on sediment core GIK16004. PANGAEA, https://doi.org/10.1594/PANGAEA.54371",1
GIK16004,,0.855,1.3,3.87,1.3,3.87,7-10,315,400,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Sarnthein, Michael; Winn, Kyaw; Jung, Simon J A; Duplessy, Jean-Claude; Labeyrie, Laurent D; Erlenkeuser, Helmut; Ganssen, Gerald M(1994): Changes in east Atlantic deepwater circulation over the last 30,000 years: Eight time slice reconstructions. Paleoceanography, 9(2), 209-267, https://doi.org/10.1029/93PA03301",,"Sarnthein, Michael (1994): Stable isotope analysis on sediment core GIK16004. PANGAEA, https://doi.org/10.1594/PANGAEA.54371",1
GIK16004,,0.905,1.2,4.05,1.2,4.05,7-10,315,400,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Sarnthein, Michael; Winn, Kyaw; Jung, Simon J A; Duplessy, Jean-Claude; Labeyrie, Laurent D; Erlenkeuser, Helmut; Ganssen, Gerald M(1994): Changes in east Atlantic deepwater circulation over the last 30,000 years: Eight time slice reconstructions. Paleoceanography, 9(2), 209-267, https://doi.org/10.1029/93PA03301",,"Sarnthein, Michael (1994): Stable isotope analysis on sediment core GIK16004. PANGAEA, https://doi.org/10.1594/PANGAEA.54371",1
GIK16004,,0.955,1.07,3.95,1.07,3.95,7-10,315,400,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Sarnthein, Michael; Winn, Kyaw; Jung, Simon J A; Duplessy, Jean-Claude; Labeyrie, Laurent D; Erlenkeuser, Helmut; Ganssen, Gerald M(1994): Changes in east Atlantic deepwater circulation over the last 30,000 years: Eight time slice reconstructions. Paleoceanography, 9(2), 209-267, https://doi.org/10.1029/93PA03301",,"Sarnthein, Michael (1994): Stable isotope analysis on sediment core GIK16004. PANGAEA, https://doi.org/10.1594/PANGAEA.54371",1
GIK16004,,1.005,0.82,3.54,0.82,3.54,7-10,315,400,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Sarnthein, Michael; Winn, Kyaw; Jung, Simon J A; Duplessy, Jean-Claude; Labeyrie, Laurent D; Erlenkeuser, Helmut; Ganssen, Gerald M(1994): Changes in east Atlantic deepwater circulation over the last 30,000 years: Eight time slice reconstructions. Paleoceanography, 9(2), 209-267, https://doi.org/10.1029/93PA03301",,"Sarnthein, Michael (1994): Stable isotope analysis on sediment core GIK16004. PANGAEA, https://doi.org/10.1594/PANGAEA.54371",1
GIK16004,,1.005,1.05,3.73,1.05,3.73,7-10,315,400,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Sarnthein, Michael; Winn, Kyaw; Jung, Simon J A; Duplessy, Jean-Claude; Labeyrie, Laurent D; Erlenkeuser, Helmut; Ganssen, Gerald M(1994): Changes in east Atlantic deepwater circulation over the last 30,000 years: Eight time slice reconstructions. Paleoceanography, 9(2), 209-267, https://doi.org/10.1029/93PA03301",,"Sarnthein, Michael (1994): Stable isotope analysis on sediment core GIK16004. PANGAEA, https://doi.org/10.1594/PANGAEA.54371",1
GIK16004,,1.005,1.27,3.92,1.27,3.92,7-10,315,400,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Sarnthein, Michael; Winn, Kyaw; Jung, Simon J A; Duplessy, Jean-Claude; Labeyrie, Laurent D; Erlenkeuser, Helmut; Ganssen, Gerald M(1994): Changes in east Atlantic deepwater circulation over the last 30,000 years: Eight time slice reconstructions. Paleoceanography, 9(2), 209-267, https://doi.org/10.1029/93PA03301",,"Sarnthein, Michael (1994): Stable isotope analysis on sediment core GIK16004. PANGAEA, https://doi.org/10.1594/PANGAEA.54371",1
GIK16004,,1.055,1.05,3.59,1.05,3.59,7-10,315,400,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Sarnthein, Michael; Winn, Kyaw; Jung, Simon J A; Duplessy, Jean-Claude; Labeyrie, Laurent D; Erlenkeuser, Helmut; Ganssen, Gerald M(1994): Changes in east Atlantic deepwater circulation over the last 30,000 years: Eight time slice reconstructions. Paleoceanography, 9(2), 209-267, https://doi.org/10.1029/93PA03301",,"Sarnthein, Michael (1994): Stable isotope analysis on sediment core GIK16004. PANGAEA, https://doi.org/10.1594/PANGAEA.54371",1
GIK16004,,1.105,1.23,3.7,1.23,3.7,7-10,315,400,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Sarnthein, Michael; Winn, Kyaw; Jung, Simon J A; Duplessy, Jean-Claude; Labeyrie, Laurent D; Erlenkeuser, Helmut; Ganssen, Gerald M(1994): Changes in east Atlantic deepwater circulation over the last 30,000 years: Eight time slice reconstructions. Paleoceanography, 9(2), 209-267, https://doi.org/10.1029/93PA03301",,"Sarnthein, Michael (1994): Stable isotope analysis on sediment core GIK16004. PANGAEA, https://doi.org/10.1594/PANGAEA.54371",1
