Site,Sample label,sample_depth,technique,lab. code,species/material,radiocarbon_age (y),radiocarbon_age_error_plus (y),radiocarbon_age_error_minus (y),reservoir_age (y),reservoir_age_error_plus (y),reservoir_age_error_minus (y),calendar_age (yBP),calendar_age_error_plus (yBP),calendar_age_error_minus (yBP),calibration curve,alignment target,alignment proxy,note1,note2,original reference,data doi
GIK16004,,1.11,,,,,,,,,,29540,,,IntCal13,,,Age model from Repschlaeger et al. (2021),BACON.IntCal13,,"Winn, Kyaw (2004): Age model of sediment core GIK16004. PANGAEA, https://doi.org/10.1594/PANGAEA.134776; Sarnthein, Michael (2003): Age model of sediment core GIK16004. PANGAEA, https://doi.org/10.1594/PANGAEA.134283; Zahn, Rainer; Sarnthein, Michael; Erlenkeuser, Helmut (1987): (Table 2) Age determination of sediment core GIK16004. PANGAEA, https://doi.org/10.1594/PANGAEA.52265"
GIK16004,,1.11,,,,26040,850,850,956,91,91,29151,677,601,IntCal13,,,Age model from Repschlaeger et al. (2021),BACON.IntCal13,,"Winn, Kyaw (2004): Age model of sediment core GIK16004. PANGAEA, https://doi.org/10.1594/PANGAEA.134776; Sarnthein, Michael (2003): Age model of sediment core GIK16004. PANGAEA, https://doi.org/10.1594/PANGAEA.134283; Zahn, Rainer; Sarnthein, Michael; Erlenkeuser, Helmut (1987): (Table 2) Age determination of sediment core GIK16004. PANGAEA, https://doi.org/10.1594/PANGAEA.52265"
GIK16004,,2.125,,,,,,,,,,59000,,,IntCal13,,,Age model from Repschlaeger et al. (2021),BACON.IntCal13,,"Winn, Kyaw (2004): Age model of sediment core GIK16004. PANGAEA, https://doi.org/10.1594/PANGAEA.134776; Sarnthein, Michael (2003): Age model of sediment core GIK16004. PANGAEA, https://doi.org/10.1594/PANGAEA.134283; Zahn, Rainer; Sarnthein, Michael; Erlenkeuser, Helmut (1987): (Table 2) Age determination of sediment core GIK16004. PANGAEA, https://doi.org/10.1594/PANGAEA.52265"
GIK16004,,2.125,,,,,,,,,,59000,,,IntCal13,,,Age model from Repschlaeger et al. (2021),BACON.IntCal13,,"Winn, Kyaw (2004): Age model of sediment core GIK16004. PANGAEA, https://doi.org/10.1594/PANGAEA.134776; Sarnthein, Michael (2003): Age model of sediment core GIK16004. PANGAEA, https://doi.org/10.1594/PANGAEA.134283; Zahn, Rainer; Sarnthein, Michael; Erlenkeuser, Helmut (1987): (Table 2) Age determination of sediment core GIK16004. PANGAEA, https://doi.org/10.1594/PANGAEA.52265"
GIK16004,,2.205,,,,,,,,,,62500,3340,3340,IntCal13,,,Age model from Repschlaeger et al. (2021),BACON.IntCal13,,"Winn, Kyaw (2004): Age model of sediment core GIK16004. PANGAEA, https://doi.org/10.1594/PANGAEA.134776; Sarnthein, Michael (2003): Age model of sediment core GIK16004. PANGAEA, https://doi.org/10.1594/PANGAEA.134283; Zahn, Rainer; Sarnthein, Michael; Erlenkeuser, Helmut (1987): (Table 2) Age determination of sediment core GIK16004. PANGAEA, https://doi.org/10.1594/PANGAEA.52265"
GIK16004,,2.505,,,,,,,,,,69500,3160,3160,IntCal13,,,Age model from Repschlaeger et al. (2021),BACON.IntCal13,,"Winn, Kyaw (2004): Age model of sediment core GIK16004. PANGAEA, https://doi.org/10.1594/PANGAEA.134776; Sarnthein, Michael (2003): Age model of sediment core GIK16004. PANGAEA, https://doi.org/10.1594/PANGAEA.134283; Zahn, Rainer; Sarnthein, Michael; Erlenkeuser, Helmut (1987): (Table 2) Age determination of sediment core GIK16004. PANGAEA, https://doi.org/10.1594/PANGAEA.52265"
GIK16004,,2.9,,,,,,,,,,79250,,,IntCal13,,,Age model from Repschlaeger et al. (2021),BACON.IntCal13,,"Winn, Kyaw (2004): Age model of sediment core GIK16004. PANGAEA, https://doi.org/10.1594/PANGAEA.134776; Sarnthein, Michael (2003): Age model of sediment core GIK16004. PANGAEA, https://doi.org/10.1594/PANGAEA.134283; Zahn, Rainer; Sarnthein, Michael; Erlenkeuser, Helmut (1987): (Table 2) Age determination of sediment core GIK16004. PANGAEA, https://doi.org/10.1594/PANGAEA.52265"
GIK16004,,2.905,,,,,,,,,,79250,,,IntCal13,,,Age model from Repschlaeger et al. (2021),BACON.IntCal13,,"Winn, Kyaw (2004): Age model of sediment core GIK16004. PANGAEA, https://doi.org/10.1594/PANGAEA.134776; Sarnthein, Michael (2003): Age model of sediment core GIK16004. PANGAEA, https://doi.org/10.1594/PANGAEA.134283; Zahn, Rainer; Sarnthein, Michael; Erlenkeuser, Helmut (1987): (Table 2) Age determination of sediment core GIK16004. PANGAEA, https://doi.org/10.1594/PANGAEA.52265"
GIK16004,,3.195,,,,,,,,,,102500,3220,3220,IntCal13,,,Age model from Repschlaeger et al. (2021),BACON.IntCal13,,"Winn, Kyaw (2004): Age model of sediment core GIK16004. PANGAEA, https://doi.org/10.1594/PANGAEA.134776; Sarnthein, Michael (2003): Age model of sediment core GIK16004. PANGAEA, https://doi.org/10.1594/PANGAEA.134283; Zahn, Rainer; Sarnthein, Michael; Erlenkeuser, Helmut (1987): (Table 2) Age determination of sediment core GIK16004. PANGAEA, https://doi.org/10.1594/PANGAEA.52265"
GIK16004,,3.805,,,,,,,,,,117000,5240,5240,IntCal13,,,Age model from Repschlaeger et al. (2021),BACON.IntCal13,,"Winn, Kyaw (2004): Age model of sediment core GIK16004. PANGAEA, https://doi.org/10.1594/PANGAEA.134776; Sarnthein, Michael (2003): Age model of sediment core GIK16004. PANGAEA, https://doi.org/10.1594/PANGAEA.134283; Zahn, Rainer; Sarnthein, Michael; Erlenkeuser, Helmut (1987): (Table 2) Age determination of sediment core GIK16004. PANGAEA, https://doi.org/10.1594/PANGAEA.52265"
GIK16004,,3.9,,,,,,,,,,112190,,,IntCal13,,,Age model from Repschlaeger et al. (2021),BACON.IntCal13,,"Winn, Kyaw (2004): Age model of sediment core GIK16004. PANGAEA, https://doi.org/10.1594/PANGAEA.134776; Sarnthein, Michael (2003): Age model of sediment core GIK16004. PANGAEA, https://doi.org/10.1594/PANGAEA.134283; Zahn, Rainer; Sarnthein, Michael; Erlenkeuser, Helmut (1987): (Table 2) Age determination of sediment core GIK16004. PANGAEA, https://doi.org/10.1594/PANGAEA.52265"
GIK16004,,3.905,,,,,,,,,,122190,,,IntCal13,,,Age model from Repschlaeger et al. (2021),BACON.IntCal13,,"Winn, Kyaw (2004): Age model of sediment core GIK16004. PANGAEA, https://doi.org/10.1594/PANGAEA.134776; Sarnthein, Michael (2003): Age model of sediment core GIK16004. PANGAEA, https://doi.org/10.1594/PANGAEA.134283; Zahn, Rainer; Sarnthein, Michael; Erlenkeuser, Helmut (1987): (Table 2) Age determination of sediment core GIK16004. PANGAEA, https://doi.org/10.1594/PANGAEA.52265"
GIK16004,,4.09,,,,,,,,,,125190,,,IntCal13,,,Age model from Repschlaeger et al. (2021),BACON.IntCal13,,"Winn, Kyaw (2004): Age model of sediment core GIK16004. PANGAEA, https://doi.org/10.1594/PANGAEA.134776; Sarnthein, Michael (2003): Age model of sediment core GIK16004. PANGAEA, https://doi.org/10.1594/PANGAEA.134283; Zahn, Rainer; Sarnthein, Michael; Erlenkeuser, Helmut (1987): (Table 2) Age determination of sediment core GIK16004. PANGAEA, https://doi.org/10.1594/PANGAEA.52265"
GIK16004,,4.095,,,,,,,,,,125190,,,IntCal13,,,Age model from Repschlaeger et al. (2021),BACON.IntCal13,,"Winn, Kyaw (2004): Age model of sediment core GIK16004. PANGAEA, https://doi.org/10.1594/PANGAEA.134776; Sarnthein, Michael (2003): Age model of sediment core GIK16004. PANGAEA, https://doi.org/10.1594/PANGAEA.134283; Zahn, Rainer; Sarnthein, Michael; Erlenkeuser, Helmut (1987): (Table 2) Age determination of sediment core GIK16004. PANGAEA, https://doi.org/10.1594/PANGAEA.52265"
GIK16004,,4.25,,,,,,,,,,135340,,,IntCal13,,,Age model from Repschlaeger et al. (2021),BACON.IntCal13,,"Winn, Kyaw (2004): Age model of sediment core GIK16004. PANGAEA, https://doi.org/10.1594/PANGAEA.134776; Sarnthein, Michael (2003): Age model of sediment core GIK16004. PANGAEA, https://doi.org/10.1594/PANGAEA.134283; Zahn, Rainer; Sarnthein, Michael; Erlenkeuser, Helmut (1987): (Table 2) Age determination of sediment core GIK16004. PANGAEA, https://doi.org/10.1594/PANGAEA.52265"
GIK16004,,4.255,,,,,,,,,,137500,3220,3220,IntCal13,,,Age model from Repschlaeger et al. (2021),BACON.IntCal13,,"Winn, Kyaw (2004): Age model of sediment core GIK16004. PANGAEA, https://doi.org/10.1594/PANGAEA.134776; Sarnthein, Michael (2003): Age model of sediment core GIK16004. PANGAEA, https://doi.org/10.1594/PANGAEA.134283; Zahn, Rainer; Sarnthein, Michael; Erlenkeuser, Helmut (1987): (Table 2) Age determination of sediment core GIK16004. PANGAEA, https://doi.org/10.1594/PANGAEA.52265"
GIK16004,,4.255,,,,,,,,,,135340,,,IntCal13,,,Age model from Repschlaeger et al. (2021),BACON.IntCal13,,"Winn, Kyaw (2004): Age model of sediment core GIK16004. PANGAEA, https://doi.org/10.1594/PANGAEA.134776; Sarnthein, Michael (2003): Age model of sediment core GIK16004. PANGAEA, https://doi.org/10.1594/PANGAEA.134283; Zahn, Rainer; Sarnthein, Michael; Erlenkeuser, Helmut (1987): (Table 2) Age determination of sediment core GIK16004. PANGAEA, https://doi.org/10.1594/PANGAEA.52265"
