Site,Sample_label,hole_label,section_label,published_archival_depth (m),current_depth_model (m),current_depth_model_note,ODP SAMPLE Inventory:: DEPTH(mid) (m),ODP SAMPLE Inventory:: MBSF(mid) (m),ODP SAMPLE Inventory:: MCD(mid) (m),ODP SAMPLE Inventory:: CCSF(mid) (m),depth_model_1 (m),depth_model_note_1,older_depth_model_2 (m),depth_model_note_2
V19-27,,,,,0.02,,,,,,0.02,Depth model from Alan Mix ,,
V19-27,,,,,0.05,,,,,,0.05,Depth model from Alan Mix ,,
V19-27,,,,,0.06,,,,,,0.06,Depth model from Alan Mix ,,
V19-27,,,,,0.07,,,,,,0.07,Depth model from Alan Mix ,,
V19-27,,,,,0.08,,,,,,0.08,Depth model from Alan Mix ,,
V19-27,,,,,0.09,,,,,,0.09,Depth model from Alan Mix ,,
V19-27,,,,,0.09,,,,,,0.09,Depth model from Alan Mix ,,
V19-27,,,,,0.1,,,,,,0.1,Depth model from Alan Mix ,,
V19-27,,,,,0.12,,,,,,0.12,Depth model from Alan Mix ,,
V19-27,,,,,0.12,,,,,,0.12,Depth model from Alan Mix ,,
V19-27,,,,,0.14,,,,,,0.14,Depth model from Alan Mix ,,
V19-27,,,,,0.14,,,,,,0.14,Depth model from Alan Mix ,,
V19-27,,,,,0.16,,,,,,0.16,Depth model from Alan Mix ,,
V19-27,,,,,0.16,,,,,,0.16,Depth model from Alan Mix ,,
V19-27,,,,,0.18,,,,,,0.18,Depth model from Alan Mix ,,
V19-27,,,,,0.18,,,,,,0.18,Depth model from Alan Mix ,,
V19-27,,,,,0.2,,,,,,0.2,Depth model from Alan Mix ,,
V19-27,,,,,0.2,,,,,,0.2,Depth model from Alan Mix ,,
V19-27,,,,,0.2,,,,,,0.2,Depth model from Alan Mix ,,
V19-27,,,,,0.205,,,,,,0.205,Depth model from Alan Mix ,,
V19-27,,,,,0.21,,,,,,0.21,Depth model from Alan Mix ,,
V19-27,,,,,0.21,,,,,,0.21,Depth model from Alan Mix ,,
V19-27,,,,,0.22,,,,,,0.22,Depth model from Alan Mix ,,
V19-27,,,,,0.24,,,,,,0.24,Depth model from Alan Mix ,,
V19-27,,,,,0.25,,,,,,0.25,Depth model from Alan Mix ,,
V19-27,,,,,0.32,,,,,,0.32,Depth model from Alan Mix ,,
V19-27,,,,,0.32,,,,,,0.32,Depth model from Alan Mix ,,
V19-27,,,,,0.36,,,,,,0.36,Depth model from Alan Mix ,,
V19-27,,,,,0.4,,,,,,0.4,Depth model from Alan Mix ,,
V19-27,,,,,0.405,,,,,,0.405,Depth model from Alan Mix ,,
V19-27,,,,,0.41,,,,,,0.41,Depth model from Alan Mix ,,
V19-27,,,,,0.46,,,,,,0.46,Depth model from Alan Mix ,,
V19-27,,,,,0.51,,,,,,0.51,Depth model from Alan Mix ,,
V19-27,,,,,0.51,,,,,,0.51,Depth model from Alan Mix ,,
V19-27,,,,,0.55,,,,,,0.55,Depth model from Alan Mix ,,
V19-27,,,,,0.55,,,,,,0.55,Depth model from Alan Mix ,,
V19-27,,,,,0.59,,,,,,0.59,Depth model from Alan Mix ,,
V19-27,,,,,0.6,,,,,,0.6,Depth model from Alan Mix ,,
V19-27,,,,,0.61,,,,,,0.61,Depth model from Alan Mix ,,
V19-27,,,,,0.63,,,,,,0.63,Depth model from Alan Mix ,,
V19-27,,,,,0.65,,,,,,0.65,Depth model from Alan Mix ,,
V19-27,,,,,0.67,,,,,,0.67,Depth model from Alan Mix ,,
V19-27,,,,,0.69,,,,,,0.69,Depth model from Alan Mix ,,
V19-27,,,,,0.71,,,,,,0.71,Depth model from Alan Mix ,,
V19-27,,,,,0.73,,,,,,0.73,Depth model from Alan Mix ,,
V19-27,,,,,0.75,,,,,,0.75,Depth model from Alan Mix ,,
V19-27,,,,,0.77,,,,,,0.77,Depth model from Alan Mix ,,
V19-27,,,,,0.79,,,,,,0.79,Depth model from Alan Mix ,,
V19-27,,,,,0.8,,,,,,0.8,Depth model from Alan Mix ,,
V19-27,,,,,0.81,,,,,,0.81,Depth model from Alan Mix ,,
V19-27,,,,,0.83,,,,,,0.83,Depth model from Alan Mix ,,
V19-27,,,,,0.85,,,,,,0.85,Depth model from Alan Mix ,,
V19-27,,,,,0.85,,,,,,0.85,Depth model from Alan Mix ,,
V19-27,,,,,0.87,,,,,,0.87,Depth model from Alan Mix ,,
V19-27,,,,,0.89,,,,,,0.89,Depth model from Alan Mix ,,
V19-27,,,,,0.91,,,,,,0.91,Depth model from Alan Mix ,,
V19-27,,,,,0.93,,,,,,0.93,Depth model from Alan Mix ,,
V19-27,,,,,0.95,,,,,,0.95,Depth model from Alan Mix ,,
V19-27,,,,,0.97,,,,,,0.97,Depth model from Alan Mix ,,
V19-27,,,,,0.99,,,,,,0.99,Depth model from Alan Mix ,,
V19-27,,,,,1.01,,,,,,1.01,Depth model from Alan Mix ,,
V19-27,,,,,1.015,,,,,,1.015,Depth model from Alan Mix ,,
V19-27,,,,,1.02,,,,,,1.02,Depth model from Alan Mix ,,
V19-27,,,,,1.05,,,,,,1.05,Depth model from Alan Mix ,,
V19-27,,,,,1.1,,,,,,1.1,Depth model from Alan Mix ,,
V19-27,,,,,1.15,,,,,,1.15,Depth model from Alan Mix ,,
V19-27,,,,,1.2,,,,,,1.2,Depth model from Alan Mix ,,
V19-27,,,,,1.205,,,,,,1.205,Depth model from Alan Mix ,,
V19-27,,,,,1.21,,,,,,1.21,Depth model from Alan Mix ,,
V19-27,,,,,1.25,,,,,,1.25,Depth model from Alan Mix ,,
V19-27,,,,,1.3,,,,,,1.3,Depth model from Alan Mix ,,
V19-27,,,,,1.35,,,,,,1.35,Depth model from Alan Mix ,,
V19-27,,,,,1.39,,,,,,1.39,Depth model from Alan Mix ,,
V19-27,,,,,1.395,,,,,,1.395,Depth model from Alan Mix ,,
V19-27,,,,,1.4,,,,,,1.4,Depth model from Alan Mix ,,
V19-27,,,,,1.46,,,,,,1.46,Depth model from Alan Mix ,,
V19-27,,,,,1.5,,,,,,1.5,Depth model from Alan Mix ,,
