Site,Sample_label,hole_label,section_label,published_archival_depth (m),current_depth_model (m),current_depth_model_note,ODP SAMPLE Inventory:: DEPTH(mid) (m),ODP SAMPLE Inventory:: MBSF(mid) (m),ODP SAMPLE Inventory:: MCD(mid) (m),ODP SAMPLE Inventory:: CCSF(mid) (m),depth_model_1 (m),depth_model_note_1,older_depth_model_2 (m)
GeoB1515-1,,,,2.08,2.08,,,,,,2.08,,
GeoB1515-1,,,,2.11,2.11,,,,,,2.11,,
GeoB1515-1,,,,2.13,2.13,,,,,,2.13,,
GeoB1515-1,,,,2.145,2.145,,,,,,2.145,,
GeoB1515-1,,,,2.165,2.165,,,,,,2.165,,
GeoB1515-1,,,,2.18,2.18,,,,,,2.18,,
GeoB1515-1,,,,2.205,2.205,,,,,,2.205,,
GeoB1515-1,,,,2.235,2.235,,,,,,2.235,,
GeoB1515-1,,,,2.245,2.245,,,,,,2.245,,
GeoB1515-1,,,,2.265,2.265,,,,,,2.265,,
GeoB1515-1,,,,2.28,2.28,,,,,,2.28,,
GeoB1515-1,,,,2.305,2.305,,,,,,2.305,,
GeoB1515-1,,,,2.33,2.33,,,,,,2.33,,
GeoB1515-1,,,,2.345,2.345,,,,,,2.345,,
GeoB1515-1,,,,2.365,2.365,,,,,,2.365,,
GeoB1515-1,,,,2.38,2.38,,,,,,2.38,,
GeoB1515-1,,,,2.4,2.4,,,,,,2.4,,
GeoB1515-1,,,,2.445,2.445,,,,,,2.445,,
GeoB1515-1,,,,2.48,2.48,,,,,,2.48,,
GeoB1515-1,,,,2.505,2.505,,,,,,2.505,,
GeoB1515-1,,,,2.53,2.53,,,,,,2.53,,
GeoB1515-1,,,,2.565,2.565,,,,,,2.565,,
GeoB1515-1,,,,2.58,2.58,,,,,,2.58,,
GeoB1515-1,,,,2.605,2.605,,,,,,2.605,,
GeoB1515-1,,,,2.645,2.645,,,,,,2.645,,
GeoB1515-1,,,,2.68,2.68,,,,,,2.68,,
GeoB1515-1,,,,2.7,2.7,,,,,,2.7,,
GeoB1515-1,,,,2.73,2.73,,,,,,2.73,,
GeoB1515-1,,,,2.745,2.745,,,,,,2.745,,
GeoB1515-1,,,,2.765,2.765,,,,,,2.765,,
GeoB1515-1,,,,2.78,2.78,,,,,,2.78,,
GeoB1515-1,,,,2.8,2.8,,,,,,2.8,,
GeoB1515-1,,,,2.83,2.83,,,,,,2.83,,
GeoB1515-1,,,,2.845,2.845,,,,,,2.845,,
GeoB1515-1,,,,2.88,2.88,,,,,,2.88,,
GeoB1515-1,,,,2.9,2.9,,,,,,2.9,,
GeoB1515-1,,,,2.93,2.93,,,,,,2.93,,
GeoB1515-1,,,,2.945,2.945,,,,,,2.945,,
GeoB1515-1,,,,2.965,2.965,,,,,,2.965,,
GeoB1515-1,,,,2.98,2.98,,,,,,2.98,,
GeoB1515-1,,,,3.005,3.005,,,,,,3.005,,
GeoB1515-1,,,,3.03,3.03,,,,,,3.03,,
GeoB1515-1,,,,3.05,3.05,,,,,,3.05,,
GeoB1515-1,,,,3.08,3.08,,,,,,3.08,,
GeoB1515-1,,,,3.18,3.18,,,,,,3.18,,
GeoB1515-1,,,,3.23,3.23,,,,,,3.23,,
GeoB1515-1,,,,3.28,3.28,,,,,,3.28,,
GeoB1515-1,,,,3.48,3.48,,,,,,3.48,,
GeoB1515-1,,,,3.58,3.58,,,,,,3.58,,
GeoB1515-1,,,,3.63,3.63,,,,,,3.63,,
GeoB1515-1,,,,3.68,3.68,,,,,,3.68,,
GeoB1515-1,,,,4.03,4.03,,,,,,4.03,,
GeoB1515-1,,,,4.08,4.08,,,,,,4.08,,
GeoB1515-1,,,,4.13,4.13,,,,,,4.13,,
GeoB1515-1,,,,4.18,4.18,,,,,,4.18,,
GeoB1515-1,,,,4.23,4.23,,,,,,4.23,,
GeoB1515-1,,,,4.28,4.28,,,,,,4.28,,
GeoB1515-1,,,,4.33,4.33,,,,,,4.33,,
GeoB1515-1,,,,4.38,4.38,,,,,,4.38,,
GeoB1515-1,,,,4.48,4.48,,,,,,4.48,,
GeoB1515-1,,,,4.53,4.53,,,,,,4.53,,
GeoB1515-1,,,,4.58,4.58,,,,,,4.58,,
GeoB1515-1,,,,4.73,4.73,,,,,,4.73,,
GeoB1515-1,,,,4.78,4.78,,,,,,4.78,,
GeoB1515-1,,,,4.83,4.83,,,,,,4.83,,
GeoB1515-1,,,,4.88,4.88,,,,,,4.88,,
GeoB1515-1,,,,5.03,5.03,,,,,,5.03,,
GeoB1515-1,,,,5.23,5.23,,,,,,5.23,,
GeoB1515-1,,,,5.33,5.33,,,,,,5.33,,
GeoB1515-1,,,,5.38,5.38,,,,,,5.38,,
GeoB1515-1,,,,5.48,5.48,,,,,,5.48,,
GeoB1515-1,,,,5.58,5.58,,,,,,5.58,,
