/* DATA DESCRIPTION:
Citation:	Shackleton, Nicholas J; Hall, Michael A; Vincent, Edith (2000): Mean stable carbon isotope ratios of Cibicidoides wuellerstorfi from sediment core MD95-2042 on the Iberian margin, North Atlantic. PANGAEA, https://doi.org/10.1594/PANGAEA.58229, 
	In supplement to: Shackleton, NJ et al. (2000): Phase relationships between millennial-scale events 64,000-24,000 years ago. Paleoceanography, 15(6), 565-569, https://doi.org/10.1029/2000PA000513
Project(s):	International Marine Global Change Study (IMAGES)
Coverage:	LATITUDE: 37.799833 * LONGITUDE: -10.166500
	DATE/TIME START: 1995-07-09T00:00:00 * DATE/TIME END: 1995-07-09T00:00:00
	MINIMUM DEPTH, sediment/rock: 0.00 m * MAXIMUM DEPTH, sediment/rock: 29.80 m
Event(s):	MD95-2042 (MD952042) * LATITUDE: 37.799833 * LONGITUDE: -10.166500 * DATE/TIME: 1995-07-09T00:00:00 * ELEVATION: -3146.0 m * Recovery: 40 m * LOCATION: Marge Ibérique * CAMPAIGN: MD101 (IMAGES I) (URI: hdl:10013/epic.37487.d001) * BASIS: Marion Dufresne (1995) (URI: http://www.institut-polaire.fr/ipev/bases_et_navires/le_marion_dufresne) * METHOD/DEVICE: Calypso Corer (CALYPSO) * COMMENT: XXVII Sections, OK; core bent
Comment:	Age values correlated with GRIP values. Last update: 6/2002: Correction to age model. The control point with age 72.89 ka in the GISP part of the age model changed to 68.72ka
Parameter(s):	DEPTH, sediment/rock [m] (Depth) * GEOCODE
	Age model [ka] (Age model) * PI: Shackleton, Nicholas J (http://en.wikipedia.org/wiki/Nicholas_Shackleton) * METHOD/DEVICE: Age model, core correlation with GRIP
	Age model, optional [ka] (Age model opt) * PI: Shackleton, Nicholas J (http://en.wikipedia.org/wiki/Nicholas_Shackleton) * METHOD/DEVICE: Age model, core correlation with GISP
	Cibicidoides wuellerstorfi, δ13C [‰ PDB] (C. wuellerstorfi δ13C) * PI: Shackleton, Nicholas J (http://en.wikipedia.org/wiki/Nicholas_Shackleton) * METHOD/DEVICE: Mass spectrometer VG Prism Multiprep * COMMENT: size fraction >250 µm
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0)
Size:	930 data points
*/
Depth [m]	Age model [ka]	Age model opt [ka]	C. wuellerstorfi δ13C [‰ PDB]
12.50	32.222	34.692	0.71
12.60	32.545	34.996	0.49
12.64	32.674	35.117	0.37
12.70	32.868	35.300	0.16
12.72	32.934	35.362	0.21
12.88	33.482	35.878	0.63
13.00	33.894	36.266	0.51
13.04	34.060	36.451	0.59
13.08	34.255	36.692	0.52
13.12	34.450	36.933	0.25
13.16	34.646	37.174	0.64
13.20	34.841	37.415	0.62
13.24	35.036	37.656	0.45
13.28	35.232	37.897	0.68
13.40	35.783	38.552	0.71
13.64	36.533	39.180	0.04
13.76	36.908	39.494	0.03
14.00	37.658	40.122	0.34
14.16	38.158	40.540	0.36
14.28	38.533	40.854	0.48
14.32	38.658	40.958	0.47
14.64	39.900	41.925	0.48
14.68	40.069	42.053	0.60
14.72	40.238	42.181	0.68
14.76	40.407	42.310	0.62
14.80	40.576	42.438	0.69
14.84	40.745	42.566	0.42
14.92	41.124	42.858	0.37
15.04	41.713	43.312	0.51
15.08	41.909	43.464	0.41
15.12	42.105	43.616	0.63
15.16	42.302	43.768	0.56
15.28	42.890	44.222	0.69
15.32	43.087	44.374	0.66
15.36	43.283	44.526	0.78
15.44	43.675	44.829	0.76
15.52	44.068	45.132	0.07
15.72	44.905	45.759	-0.04
15.84	45.371	46.101	0.24
15.88	45.526	46.215	0.19
16.04	46.147	46.671	0.62
16.08	46.302	46.785	0.42
16.12	46.457	46.899	0.55
16.16	46.612	47.013	0.57
16.24	47.170	47.539	0.52
16.36	48.130	48.477	0.53
16.40	48.450	48.790	0.47
16.44	48.770	49.103	0.68
16.48	49.090	49.416	0.67
16.52	49.409	49.728	0.73
16.56	49.729	50.041	0.63
16.60	50.049	50.354	0.56
16.64	50.369	50.666	0.81
16.96	52.604	52.980	0.36
17.00	52.815	53.229	0.24
17.08	53.239	53.729	0.40
17.20	53.873	54.479	-0.07
17.27	54.244	54.916	0.45
17.30	54.402	55.103	0.48
17.33	54.561	55.291	0.50
17.36	54.720	55.478	0.70
17.40	54.931	55.728	0.55
17.44	55.143	55.978	0.60
17.47	55.302	56.165	0.50
17.50	55.460	56.353	0.48
17.53	55.619	56.540	0.58
17.57	55.824	56.757	0.36
17.60	55.972	56.894	0.36
17.64	56.169	57.078	0.39
17.68	56.367	57.262	0.20
17.80	56.960	57.813	0.13
18.06	58.244	59.006	-0.17
18.27	59.281	59.970	-0.31
18.64	61.108	61.669	-0.06
18.72	61.503	62.036	0.20
19.50	66.360	65.424	-0.05
19.53	66.549	65.554	0.26
19.70	67.939	66.494	0.46
20.03	71.072	70.062	0.37
20.11	71.832	70.888	0.56
20.14	72.116	71.198	0.73
20.17	72.401	71.508	0.65
20.20	72.686	71.818	0.94
20.23	72.971	72.127	0.73
20.27	73.350	72.540	0.81
20.33	73.920	73.160	0.57
20.37	74.256	73.524	0.35
20.47	75.095	74.434	0.40
20.50	75.347	74.708	0.40
20.56	75.850	75.254	0.81
20.60	76.186	75.618	0.57
20.63	76.438	75.891	0.79
20.67	76.773	76.255	0.83
20.70	77.025	76.528	0.75
20.73	77.277	76.801	0.84
20.77	77.613	77.165	0.53
20.80	77.864	77.438	0.67
20.87	78.452	78.076	0.76
20.90	78.704	78.349	0.79
20.93	78.956	78.622	0.81
20.97	79.291	78.986	0.66
21.00	79.543	79.259	0.59
21.03	79.795	79.532	0.78
21.07	80.130	79.896	0.63
21.13	80.634	80.442	0.81
21.17	80.970	80.806	0.78
21.20	81.221	81.079	0.79
21.23	81.473	81.352	0.78
21.27	81.809	81.717	0.48
21.30	82.061	81.990	0.53
21.33	82.313	82.263	0.43
21.37	82.648	82.627	0.12
21.47	83.560	83.558	0.28
21.50	83.843	83.840	0.02
21.73	86.013	86.003	0.05
21.83	86.956	86.944	0.45
21.90	87.616	87.602	0.66
21.93	87.899	87.884	0.60
22.03	88.842	88.824	0.52
22.07	89.219	89.200	0.65
22.10	89.502	89.482	0.88
22.17	90.163	90.141	0.79
22.20	90.445	90.423	0.76
22.23	90.728	90.705	0.71
22.27	91.106	91.081	0.69
22.30	91.389	91.363	0.65
22.37	92.049	92.021	0.79
22.43	92.615	92.586	0.79
22.50	93.275	93.244	0.69
22.53	93.558	93.526	0.83
22.60	94.218	94.184	0.62
22.67	94.878	94.842	0.66
22.70	95.161	95.124	0.57
22.73	95.444	95.406	0.64
22.77	95.822	95.783	0.75
22.80	96.105	96.065	0.77
22.83	96.388	96.347	0.70
22.90	97.048	97.005	0.81
22.93	97.331	97.287	0.81
22.97	97.708	97.663	0.57
23.00	97.991	97.946	0.71
23.07	98.651	98.604	0.79
23.10	98.934	98.886	0.67
23.13	99.217	99.168	0.74
23.17	99.594	99.544	0.63
23.20	99.877	99.826	0.73
23.23	100.160	100.108	0.70
23.30	100.820	100.766	0.64
23.33	101.103	101.049	0.66
23.52	102.895	102.835	0.34
23.60	103.650	103.588	0.54
23.64	104.027	103.964	0.47
23.68	104.405	104.340	0.40
23.70	104.593	104.528	0.48
23.72	104.782	104.716	0.42
23.76	105.159	105.092	0.56
23.80	105.536	105.468	0.80
23.84	105.914	105.844	0.49
23.88	106.291	106.220	0.32
23.92	106.668	106.597	0.02
23.96	107.045	106.973	0.02
24.04	107.800	107.725	0.36
24.08	108.177	108.101	0.20
24.12	108.555	108.477	0.37
24.16	108.932	108.853	0.37
24.20	109.309	109.230	0.39
24.24	109.686	109.606	0.35
24.28	110.064	109.982	0.22
24.32	110.441	110.358	0.66
24.36	110.818	110.734	0.50
24.44	111.573	111.486	0.51
24.48	111.950	111.862	0.49
24.52	112.327	112.239	0.46
24.56	112.705	112.615	0.58
24.60	113.082	112.991	0.50
24.64	113.459	113.367	0.55
24.68	113.836	113.743	0.38
24.72	114.214	114.119	0.51
24.76	114.591	114.496	0.62
24.79	114.874	114.778	0.64
24.84	115.345	115.248	0.65
24.88	115.723	115.624	0.37
24.92	116.100	116.000	0.78
24.96	116.641	116.546	0.52
25.00	117.182	117.091	0.64
25.04	117.723	117.636	0.69
25.08	118.264	118.182	0.78
25.12	118.805	118.727	0.80
25.16	119.345	119.273	0.85
25.20	119.886	119.818	0.73
25.24	120.427	120.364	0.80
25.28	120.968	120.909	0.82
25.32	121.509	121.454	0.77
25.36	122.050	122.000	0.67
25.40	122.591	122.546	0.55
25.44	123.132	123.091	0.67
25.48	123.673	123.636	0.67
25.52	124.214	124.182	0.55
25.56	124.755	124.727	0.65
25.60	125.295	125.273	0.45
25.64	125.836	125.818	0.24
25.68	126.377	126.364	0.27
25.72	126.918	126.909	0.16
25.88	128.629	128.629	-0.06
25.92	128.943	128.943	-0.32
26.20	131.456	131.456	-0.24
26.24	131.819	131.819	-0.04
26.28	132.101	132.154	-0.03
26.32	132.302	132.462	-0.30
26.36	132.503	132.769	-0.37
26.40	132.704	133.077	-0.16
26.44	132.905	133.385	0.03
26.48	133.106	133.692	-0.08
26.52	133.307	134.000	-0.31
26.60	133.709	134.615	-0.33
26.67	134.061	135.154	-0.23
26.77	134.564	135.923	0.05
26.80	134.714	136.154	-0.03
26.83	134.865	136.385	0.17
26.87	135.066	136.692	-0.03
26.90	135.217	136.923	-0.17
26.93	135.368	137.154	-0.30
26.97	135.569	137.462	-0.05
27.00	135.720	137.692	-0.13
27.03	135.871	137.923	-0.10
27.07	136.072	138.231	-0.04
27.10	136.222	138.462	-0.26
27.13	136.373	138.692	-0.14
27.17	136.574	139.000	-0.27
27.20	136.725	139.231	-0.04
27.24	136.926	139.538	-0.14
27.60	138.736	142.308	-0.18
27.80	139.741	143.846	-0.18
28.00	140.746	145.385	0.15
28.80	144.768	151.538	-0.33
29.00	145.773	153.077	-0.39
29.40	147.784	156.154	-0.42
29.80	149.794	159.231	-0.55
