/* DATA DESCRIPTION:
Citation:	Shackleton, Nicholas J; Hall, Michael A; Vincent, Edith (2000): Mean stable carbon isotope ratios of Cibicidoides wuellerstorfi from sediment core MD95-2042 on the Iberian margin, North Atlantic. PANGAEA, https://doi.org/10.1594/PANGAEA.58229, 
	In supplement to: Shackleton, NJ et al. (2000): Phase relationships between millennial-scale events 64,000-24,000 years ago. Paleoceanography, 15(6), 565-569, https://doi.org/10.1029/2000PA000513
Project(s):	International Marine Global Change Study (IMAGES)
Coverage:	LATITUDE: 37.799833 * LONGITUDE: -10.166500
	DATE/TIME START: 1995-07-09T00:00:00 * DATE/TIME END: 1995-07-09T00:00:00
	MINIMUM DEPTH, sediment/rock: 0.00 m * MAXIMUM DEPTH, sediment/rock: 29.80 m
Event(s):	MD95-2042 (MD952042) * LATITUDE: 37.799833 * LONGITUDE: -10.166500 * DATE/TIME: 1995-07-09T00:00:00 * ELEVATION: -3146.0 m * Recovery: 40 m * LOCATION: Marge Ibérique * CAMPAIGN: MD101 (IMAGES I) (URI: hdl:10013/epic.37487.d001) * BASIS: Marion Dufresne (1995) (URI: http://www.institut-polaire.fr/ipev/bases_et_navires/le_marion_dufresne) * METHOD/DEVICE: Calypso Corer (CALYPSO) * COMMENT: XXVII Sections, OK; core bent
Comment:	Age values correlated with GRIP values. Last update: 6/2002: Correction to age model. The control point with age 72.89 ka in the GISP part of the age model changed to 68.72ka
Parameter(s):	DEPTH, sediment/rock [m] (Depth) * GEOCODE
	Age model [ka] (Age model) * PI: Shackleton, Nicholas J (http://en.wikipedia.org/wiki/Nicholas_Shackleton) * METHOD/DEVICE: Age model, core correlation with GRIP
	Age model, optional [ka] (Age model opt) * PI: Shackleton, Nicholas J (http://en.wikipedia.org/wiki/Nicholas_Shackleton) * METHOD/DEVICE: Age model, core correlation with GISP
	Cibicidoides wuellerstorfi, δ13C [‰ PDB] (C. wuellerstorfi δ13C) * PI: Shackleton, Nicholas J (http://en.wikipedia.org/wiki/Nicholas_Shackleton) * METHOD/DEVICE: Mass spectrometer VG Prism Multiprep * COMMENT: size fraction >250 µm
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0)
Size:	930 data points
*/
Depth [m]	Age model [ka]	Age model opt [ka]	C. wuellerstorfi δ13C [‰ PDB]
0.00	0.004	0.004	0.92
0.04	0.152	0.152	1.01
0.20	0.759	0.763	0.99
0.40	1.518	1.525	0.99
0.60	2.277	2.288	1.08
1.00	3.794	3.813	1.06
1.20	4.553	4.576	1.20
1.40	5.312	5.338	0.50
1.60	6.071	6.101	0.70
1.80	6.830	6.864	0.94
2.00	7.589	7.626	0.99
2.20	8.348	8.389	0.75
2.40	9.107	9.152	0.84
2.50	9.486	9.533	0.89
2.60	9.866	9.914	0.93
2.80	10.624	10.677	0.79
3.00	11.383	11.439	0.68
3.90	13.518	13.583	0.43
4.00	13.747	13.812	0.81
4.08	13.930	13.996	0.68
4.10	13.975	14.042	0.73
4.12	14.021	14.088	0.48
4.16	14.113	14.180	0.82
4.24	14.296	14.364	0.65
4.28	14.387	14.456	0.70
4.30	14.433	14.501	0.35
4.48	14.791	14.915	0.44
4.64	15.096	15.282	0.04
4.88	15.553	15.833	0.11
5.90	17.495	18.175	0.23
6.00	17.686	18.405	0.22
6.04	17.762	18.496	0.27
6.12	17.914	18.680	0.12
6.20	18.067	18.864	0.23
6.24	18.143	18.956	0.27
6.32	18.295	19.139	0.23
6.36	18.371	19.231	0.23
7.00	19.590	20.701	0.12
7.08	19.743	20.884	0.17
7.12	19.819	20.976	0.17
8.10	21.685	23.226	0.16
8.20	21.875	23.456	-0.06
8.28	22.028	23.640	0.08
8.32	22.104	23.731	0.01
8.60	22.637	24.374	0.38
8.92	23.247	25.109	0.16
9.00	23.399	25.293	-0.22
9.40	24.161	26.211	0.21
9.52	24.389	26.486	0.30
9.60	24.542	26.670	0.27
10.00	25.303	27.589	0.23
10.40	26.246	28.677	0.25
10.48	26.454	28.913	0.08
10.52	26.558	29.031	0.14
10.56	26.665	29.143	0.11
10.64	26.883	29.354	0.35
11.04	27.973	30.413	0.04
11.16	28.300	30.730	0.11
11.20	28.409	30.836	0.33
11.36	28.845	31.259	0.11
11.52	29.281	31.682	0.20
11.56	29.390	31.788	0.40
11.60	29.499	31.894	0.62
11.96	30.530	32.978	0.56
12.00	30.650	33.112	0.21
12.04	30.770	33.248	0.59
12.08	30.890	33.382	0.34
12.16	31.130	33.652	0.37
12.20	31.255	33.781	0.73
12.24	31.384	33.902	0.58
12.32	31.642	34.145	0.59
12.48	32.158	34.631	0.45
