# NOAA Paleoclimatology Program - Paleocean Site Data
# m952042s-tab.txt
# Complete Data
# File Created: 18-Jan-2005
#
#*********************************************************************************
# Please cite the contributor and the original publications when using these data
#*********************************************************************************
#
# Missing Values indicated by '-999'
#
# PI:             Nicholas J. Shackleton
# Core/Site:      MD952042
# Latitude:       37.48.00N	( 37.8)
# Longitude:      10.10.00W	( -10.16667)
# Water Depth(m): 3146
#
# Publications:
#   Shackleton, N.J., M.A. Hall, and E. Vincent. 2000. Phase relationships between
#     millennial scale events 64000 to 24000 years ago. Paleoceanography 15(6):565.
#------------------
#
# Description & Notes:
#   MD952042 High Resolution Oxygen and Carbon Isotope Data.
#   Data precision: better than .1 per mil. Chronostratigraphic information: direct
#   AMS and match to coral ages for events; GRIP Date of data generation: 1996. Please
#   note: tuning to GISP2 60-75 ka (GISP-matched agemod,
revised June 2002 at 68.72
#   ka)
#
# Variables:
#             depth         Depth (cm)
#             yrBP GRIP     radiocarbon years B.P. (Libby half-life; B.P. = 1950)
#             yrBP GISP     radiocarbon years B.P. (Libby half-life; B.P. = 1950)
#             d13Ch.eleg    delta C13 PDB (Hoeglundina elegans)
#             d18Ocwuell_corr             delta O18 PDB (benthic foraminifers) corrected to compare with Uvigerina spp.
#             d18Oh.eleg    delta O18 PDB (Hoeglundina elegans)
#             d13Cp.wuell   delta C13 PDB (Planulina wuellerstorfi)
#             d18Op.wuell   delta O18 PDB (Planulina wuellerstorfi)
#             d13Cg.bull    delta C13 PDB (Globigerina bulloides)
#             d18Og.bull    delta O18 PDB (Globigerina bulloides)
#             d13Cg.affin   delta C13 PDB (Globobulimina affinis)
#             d18Og.affin   delta O18 PDB (Globobulimina affinis)
#             d13Ccibid     delta C13 PDB (Cibicidoides sp.)
#             d18Ocibid     delta O18 PDB (Cibicidoides sp.)
#             d13Cu.pereg   delta C13 PDB (Uvigerina peregrina)
#             d18Ou.pereg   delta O18 PDB (Uvigerina peregrina)
#             d13Cm.barle   delta C13 PDB (Melonis barleanum)
#             d18Om.barle   delta O18 PDB (Melonis barleanum)
#
# CORE: MD952042
depth	yrBP GRIP	yrBP GISP	d13Ch.eleg	d18Ocwuell_corr	d18Oh.eleg	d13Cp.wuell	d18Op.wuell	d13Cg.bull	d18Og.bull	d13Cg.affin	d18Og.affin	d13Ccibid	d18Ocibid	d13Cu.pereg	d18Ou.pereg	d13Cm.barle	d18Om.barle	notes
140	-999	-999	-999	3.49	-999	0.5	2.85	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	MD95-2042M99/1117
140	-999	-999	-999	-999	-999	-999	-999	-1.33	0.3	-999	-999	-999	-999	-999	-999	-999	-999	S95/3888
160	-999	-999	-999	3.4	-999	0.7	2.76	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	MD95-2042M99/1118
160	-999	-999	-999	-999	-999	-999	-999	-1.4	0.08	-999	-999	-999	-999	-999	-999	-999	-999	S95/3889
180	-999	-999	-999	3.22	-999	0.94	2.58	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	MD95-2042M99/1119
180	-999	-999	-999	-999	-999	-999	-999	-1.41	0.27	-999	-999	-999	-999	-999	-999	-999	-999	S95/3890
200	-999	-999	-999	3.43	-999	0.99	2.79	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	MD95-2042M99/1120
200	-999	-999	-999	-999	-999	-999	-999	-1.57	0.15	-999	-999	-999	-999	-999	-999	-999	-999	S95/3891
220	-999	-999	-999	3.36	-999	0.75	2.72	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	MD95-2042M99/1121
220	-999	-999	-999	-999	-999	-999	-999	-1.42	0.24	-999	-999	-999	-999	-999	-999	-999	-999	S95/3892
240	-999	-999	-999	3.19	-999	0.84	2.55	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	MD95-2042M99/1122
240	-999	-999	-999	-999	-999	-999	-999	-1.35	0.29	-999	-999	-999	-999	-999	-999	-999	-999	S95/3893
250	-999	-999	-999	3.43	-999	0.89	2.79	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	MD95-2042M99/1123
250	-999	-999	-999	-999	-999	-999	-999	-1.44	0.12	-999	-999	-999	-999	-999	-999	-999	-999	P96/791
260	-999	-999	-999	3.83	-999	0.93	3.19	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	MD95-2042M99/1124
260	-999	-999	-999	-999	-999	-999	-999	-1.15	0.46	-999	-999	-999	-999	-999	-999	-999	-999	S95/3894
270	-999	-999	-999	-999	-999	-999	-999	-1.35	0.48	-999	-999	-999	-999	-999	-999	-999	-999	P96/792
280	-999	-999	-999	3.63	-999	0.79	2.99	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	MD95-2042M99/1125
280	-999	-999	-999	-999	-999	-999	-999	-1.54	0.24	-999	-999	-999	-999	-999	-999	-999	-999	S95/3895
290	-999	-999	-999	-999	-999	-999	-999	-1.22	0.4	-999	-999	-999	-999	-999	-999	-999	-999	P96/793
300	-999	-999	-999	3.35	-999	-999	-999	-999	-999	-2.41	3.65	-999	-999	-999	-999	-999	-999	MD95-2042M99/1201
300	-999	-999	-999	3.54	-999	0.68	2.9	-999	-999	-999	-999	0.68	2.9	-999	-999	-999	-999	MD95-2042M99/1126
300	-999	-999	-999	-999	-999	-999	-999	-1.55	0.55	-999	-999	-999	-999	-999	-999	-999	-999	S95/3896
305	11570	11630	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	MD95-2042M99/1202
310	-999	-999	-999	3.65	-999	-999	-999	-999	-999	-1.86	3.95	-1.86	3.95	-999	-999	-999	-999	MD95-2042M99/1202
310	-999	-999	-999	-999	-999	-999	-999	-0.62	1.01	-999	-999	-999	-999	-999	-999	-999	-999	P96/794
320	-999	-999	-999	3.77	-999	-999	-999	-999	-999	-1.8	4.07	-1.8	4.07	-999	-999	-999	-999	MD95-2042M99/1203
320	-999	-999	-999	-999	-999	-999	-999	-0.92	1.3	-999	-999	-999	-999	-999	-999	-999	-999	S95/3897
330	-999	-999	-999	3.94	-999	-999	-999	-999	-999	-1.66	4.24	-1.66	4.24	-999	-999	-999	-999	MD95-2042M99/1204
330	-999	-999	-999	-999	-999	-999	-999	-0.43	1.58	-999	-999	-999	-999	-999	-999	-999	-999	P96/795
340	-999	-999	-999	3.78	-999	-999	-999	-999	-999	-1.74	4.08	-1.74	4.08	-999	-999	-999	-999	MD95-2042M99/1205
340	-999	-999	-999	-999	-999	-999	-999	-0.75	1.81	-999	-999	-999	-999	-999	-999	-999	-999	S95/3898
350	-999	-999	-999	3.72	-999	-999	-999	-999	-999	-1.74	4.02	-1.74	4.02	-999	-999	-999	-999	MD95-2042M99/1206
350	-999	-999	-999	-999	-999	-999	-999	-0.46	1.73	-999	-999	-999	-999	-999	-999	-999	-999	P96/796
360	-999	-999	-999	3.86	-999	-999	-999	-999	-999	-1.87	4.16	-1.87	4.16	-999	-999	-999	-999	MD95-2042M99/1207
360	-999	-999	-999	-999	-999	-999	-999	-0.86	1.48	-999	-999	-999	-999	-999	-999	-999	-999	S95/3899
370	-999	-999	-999	4	-999	-999	-999	-999	-999	-2.09	4.3	-2.09	4.3	-999	-999	-999	-999	MD95-2042M99/1208
370	-999	-999	-999	-999	-999	-999	-999	-0.72	1.46	-999	-999	-999	-999	-999	-999	-999	-999	P96/797
380	-999	-999	-999	4.17	-999	-999	-999	-999	-999	-2.1	4.47	-2.1	4.47	-999	-999	-999	-999	MD95-2042M99/1209
380	-999	-999	-999	-999	-999	-999	-999	-1.16	1.24	-999	-999	-999	-999	-999	-999	-999	-999	S95/3900
390	-999	-999	-999	4.36	-999	-999	-999	-999	-999	-1.92	4.66	-1.92	4.66	-999	-999	-999	-999	MD95-2042M99/1210
390	-999	-999	-999	4.33	-999	0.43	3.69	-999	-999	-999	-999	0.43	3.69	-999	-999	-999	-999	MD95-2042M99/1127
390	-999	-999	-999	-999	-999	-999	-999	-0.79	1.34	-999	-999	-999	-999	-999	-999	-999	-999	P96/798
400	-999	-999	-999	3.97	-999	-999	-999	-999	-999	-2.14	4.27	-2.14	4.27	-999	-999	-999	-999	MD95-2042M99/1211
400	-999	-999	-999	3.85	-999	0.81	3.21	-999	-999	-999	-999	0.81	3.21	-999	-999	-999	-999	MD95-2042M99/1128
400	-999	-999	-999	-999	-999	-999	-999	-1.15	1.18	-999	-999	-999	-999	-999	-999	-999	-999	S95/3901
404	-999	-999	-999	4.24	-999	-999	-999	-999	-999	-2.16	4.54	-2.16	4.54	-999	-999	-999	-999	MD95-2042M99/5105
404	-999	-999	-999	-999	-999	-999	-999	-0.71	1.21	-999	-999	-999	-999	-999	-999	-999	-999	S99/3581
408	-999	-999	-999	4.2	-999	-999	-999	-999	-999	-2.02	4.5	-2.02	4.5	-999	-999	-999	-999	MD95-2042M99/5103
408	-999	-999	-999	4.2	-999	-999	-999	-999	-999	-2.02	4.5	-2.02	4.5	-999	-999	-999	-999	MD95-2042M99/5103
408	-999	-999	-999	4.13	-999	0.68	3.49	-999	-999	-999	-999	0.68	3.49	-999	-999	-999	-999	MD95-2042M99/5104
408	-999	-999	-999	-999	-999	-999	-999	-0.96	1.07	-999	-999	-999	-999	-999	-999	-999	-999	S99/3582
410	-999	-999	-999	4.04	-999	-999	-999	-999	-999	-2.11	4.34	-2.11	4.34	-999	-999	-999	-999	MD95-2042M99/1212
410	-999	-999	-999	4.29	-999	0.73	3.65	-999	-999	-999	-999	0.73	3.65	-999	-999	-999	-999	MD95-2042M99/1129
410	-999	-999	-999	-999	-999	-999	-999	-1.22	1.07	-999	-999	-999	-999	-999	-999	-999	-999	P96/799
412	-999	-999	-999	4.1	-999	-999	-999	-999	-999	-2.05	4.4	-2.05	4.4	-999	-999	-999	-999	MD95-2042M99/5101
412	-999	-999	-999	4.1	-999	-999	-999	-999	-999	-2.05	4.4	-2.05	4.4	-999	-999	-999	-999	MD95-2042M99/5101
