Site,Sample label,sample_depth,technique,lab. code,species/material,radiocarbon_age (y),radiocarbon_age_error_plus (y),radiocarbon_age_error_minus (y),reservoir_age (y),reservoir_age_error_plus (y),reservoir_age_error_minus (y),calendar_age (yBP),calendar_age_error_plus (yBP),calendar_age_error_minus (yBP),calibration curve,alignment target,alignment proxy,note1,note2,original reference,data doi
V28-14,,0.150000006,,,,2269.9999809265,100.0000014901,100.0000014901,884.4,52.9,52.9,1307,57,44,IntCal13,,,From Jonkers et al. 2020 compilation paper,,,ftp://ftp.ncdc.noaa.gov/pub/data/paleo/paleocean//sediment_files/complete/v28-14-c-tab.txt
V28-14,,0.435,,,,4180,120,120,844.5,56.5,56.5,3565,121,105,IntCal13,,,From Jonkers et al. 2020 compilation paper,,,ftp://ftp.ncdc.noaa.gov/pub/data/paleo/paleocean//sediment_files/complete/v28-14-c-tab.txt
V28-14,,1.19,,,,,,,,,,13000,900,900,IntCal13,,,From Jonkers et al. 2020 compilation paper,,,
V28-14,,1.9,,,,,,,,,,25500,2000,2000,IntCal13,,,From Jonkers et al. 2020 compilation paper,,,
V28-14,,5.05,,,,,,,,,,113500,4520,4520,IntCal13,,,From Jonkers et al. 2020 compilation paper,,,
V28-14,,5.39,,,,,,,,,,134000,4040,4040,IntCal13,,,From Jonkers et al. 2020 compilation paper,,,
