Site,Sample_label,hole_label,section_label,published_archival_depth (m),current_depth_model (m),current_depth_model_note,ODP SAMPLE Inventory:: DEPTH(mid) (m),ODP SAMPLE Inventory:: MBSF(mid) (m),ODP SAMPLE Inventory:: MCD(mid) (m),ODP SAMPLE Inventory:: CCSF(mid) (m),depth_model_1 (m),depth_model_note_1,older_depth_model_2 (m)
RAPiD-10-1P,5,,,,1.505,1.505,,,,,1.505,,
RAPiD-10-1P,5,,,,1.525,1.525,,,,,1.525,,
RAPiD-10-1P,5,,,,1.535,1.535,,,,,1.535,,
RAPiD-10-1P,5,,,,1.545,1.545,,,,,1.545,,
RAPiD-10-1P,5,,,,1.555,1.555,,,,,1.555,,
RAPiD-10-1P,5,,,,1.565,1.565,,,,,1.565,,
RAPiD-10-1P,5,,,,1.575,1.575,,,,,1.575,,
RAPiD-10-1P,5,,,,1.585,1.585,,,,,1.585,,
RAPiD-10-1P,5,,,,1.595,1.595,,,,,1.595,,
RAPiD-10-1P,5,,,,1.605,1.605,,,,,1.605,,
RAPiD-10-1P,5,,,,1.625,1.625,,,,,1.625,,
RAPiD-10-1P,5,,,,1.645,1.645,,,,,1.645,,
RAPiD-10-1P,5,,,,1.665,1.665,,,,,1.665,,
RAPiD-10-1P,5,,,,1.685,1.685,,,,,1.685,,
RAPiD-10-1P,5,,,,1.705,1.705,,,,,1.705,,
RAPiD-10-1P,5,,,,1.725,1.725,,,,,1.725,,
RAPiD-10-1P,5,,,,1.745,1.745,,,,,1.745,,
RAPiD-10-1P,5,,,,1.765,1.765,,,,,1.765,,
RAPiD-10-1P,5,,,,1.785,1.785,,,,,1.785,,
RAPiD-10-1P,5,,,,1.805,1.805,,,,,1.805,,
RAPiD-10-1P,5,,,,1.825,1.825,,,,,1.825,,
RAPiD-10-1P,5,,,,1.845,1.845,,,,,1.845,,
RAPiD-10-1P,5,,,,1.865,1.865,,,,,1.865,,
RAPiD-10-1P,5,,,,1.885,1.885,,,,,1.885,,
RAPiD-10-1P,5,,,,1.905,1.905,,,,,1.905,,
RAPiD-10-1P,5,,,,1.925,1.925,,,,,1.925,,
RAPiD-10-1P,5,,,,1.945,1.945,,,,,1.945,,
RAPiD-10-1P,5,,,,1.985,1.985,,,,,1.985,,
RAPiD-10-1P,5,,,,2.005,2.005,,,,,2.005,,
RAPiD-10-1P,5,,,,2.025,2.025,,,,,2.025,,
RAPiD-10-1P,5,,,,2.045,2.045,,,,,2.045,,
RAPiD-10-1P,5,,,,2.065,2.065,,,,,2.065,,
RAPiD-10-1P,5,,,,2.085,2.085,,,,,2.085,,
RAPiD-10-1P,5,,,,2.105,2.105,,,,,2.105,,
RAPiD-10-1P,5,,,,2.125,2.125,,,,,2.125,,
RAPiD-10-1P,5,,,,2.145,2.145,,,,,2.145,,
RAPiD-10-1P,5,,,,2.155,2.155,,,,,2.155,,
RAPiD-10-1P,5,,,,2.165,2.165,,,,,2.165,,
RAPiD-10-1P,5,,,,2.245,2.245,,,,,2.245,,
RAPiD-10-1P,5,,,,2.405,2.405,,,,,2.405,,
RAPiD-10-1P,5,,,,2.485,2.485,,,,,2.485,,
RAPiD-10-1P,5,,,,2.725,2.725,,,,,2.725,,
RAPiD-10-1P,5,,,,2.885,2.885,,,,,2.885,,
RAPiD-10-1P,5,,,,2.965,2.965,,,,,2.965,,
RAPiD-10-1P,5,,,,3.045,3.045,,,,,3.045,,
RAPiD-10-1P,5,,,,3.125,3.125,,,,,3.125,,
RAPiD-10-1P,5,,,,3.205,3.205,,,,,3.205,,
