Site,Sample Label,archival_depth (m),d13C (VPDB),d18O (VPDB),d13C_corrected (PDB),d18O_corrected (PDB),Number of shells,Minimum mesh size (um),Maximum mesh size (um),Taxon,Taxon_flag,Taxon_note1,Taxon_note2,Taxon_note3,Additional_note,Publication source,Original Reference,File Name,Data source,quality control
PS2561-2,,1.2,-0.6676,4.3828,-0.6676,4.3828,,,,Cibicidoides wuellerstorfi,1,,,,,,From Mulitza et al. 2022 ESSD compilation,"Krueger, S., Leuschner, D. C., Ehrmann, W., Schmiedl, G., Mackensen, A., and Diekmann, B.: Ocean circulation patterns and dust supply into the South Atlantic during the last glacial cycle revealed by statistical analysis of kaolinite/chlorite ratios, Marine Geology, 253, 82-91, doi:10.1016/j.margeo.2008.04.015, 2008.",,Schmiedl (pers. comm.),1
PS2561-2,,1.3,-0.6399,4.5224,-0.6399,4.5224,,,,Cibicidoides wuellerstorfi,1,,,,,,From Mulitza et al. 2022 ESSD compilation,"Krueger, S., Leuschner, D. C., Ehrmann, W., Schmiedl, G., Mackensen, A., and Diekmann, B.: Ocean circulation patterns and dust supply into the South Atlantic during the last glacial cycle revealed by statistical analysis of kaolinite/chlorite ratios, Marine Geology, 253, 82-91, doi:10.1016/j.margeo.2008.04.015, 2008.",,Schmiedl (pers. comm.),1
PS2561-2,,1.4,-0.7608,4.5348,-0.7608,4.5348,,,,Cibicidoides wuellerstorfi,1,,,,,,From Mulitza et al. 2022 ESSD compilation,"Krueger, S., Leuschner, D. C., Ehrmann, W., Schmiedl, G., Mackensen, A., and Diekmann, B.: Ocean circulation patterns and dust supply into the South Atlantic during the last glacial cycle revealed by statistical analysis of kaolinite/chlorite ratios, Marine Geology, 253, 82-91, doi:10.1016/j.margeo.2008.04.015, 2008.",,Schmiedl (pers. comm.),1
PS2561-2,,1.5,0.3486,3.1708,0.3486,3.1708,,,,Cibicidoides wuellerstorfi,1,,,,,,From Mulitza et al. 2022 ESSD compilation,"Krueger, S., Leuschner, D. C., Ehrmann, W., Schmiedl, G., Mackensen, A., and Diekmann, B.: Ocean circulation patterns and dust supply into the South Atlantic during the last glacial cycle revealed by statistical analysis of kaolinite/chlorite ratios, Marine Geology, 253, 82-91, doi:10.1016/j.margeo.2008.04.015, 2008.",,Schmiedl (pers. comm.),1
PS2561-2,,1.6,0.0465,3.4548,0.0465,3.4548,,,,Cibicidoides wuellerstorfi,1,,,,,,From Mulitza et al. 2022 ESSD compilation,"Krueger, S., Leuschner, D. C., Ehrmann, W., Schmiedl, G., Mackensen, A., and Diekmann, B.: Ocean circulation patterns and dust supply into the South Atlantic during the last glacial cycle revealed by statistical analysis of kaolinite/chlorite ratios, Marine Geology, 253, 82-91, doi:10.1016/j.margeo.2008.04.015, 2008.",,Schmiedl (pers. comm.),1
PS2561-2,,1.7,-0.3961,4.2812,-0.3961,4.2812,,,,Cibicidoides wuellerstorfi,1,,,,,,From Mulitza et al. 2022 ESSD compilation,"Krueger, S., Leuschner, D. C., Ehrmann, W., Schmiedl, G., Mackensen, A., and Diekmann, B.: Ocean circulation patterns and dust supply into the South Atlantic during the last glacial cycle revealed by statistical analysis of kaolinite/chlorite ratios, Marine Geology, 253, 82-91, doi:10.1016/j.margeo.2008.04.015, 2008.",,Schmiedl (pers. comm.),1
PS2561-2,,1.8,-0.8491,4.3813,-0.8491,4.3813,,,,Cibicidoides wuellerstorfi,1,,,,,,From Mulitza et al. 2022 ESSD compilation,"Krueger, S., Leuschner, D. C., Ehrmann, W., Schmiedl, G., Mackensen, A., and Diekmann, B.: Ocean circulation patterns and dust supply into the South Atlantic during the last glacial cycle revealed by statistical analysis of kaolinite/chlorite ratios, Marine Geology, 253, 82-91, doi:10.1016/j.margeo.2008.04.015, 2008.",,Schmiedl (pers. comm.),1
PS2561-2,,1.9,-0.6483,4.3348,-0.6483,4.3348,,,,Cibicidoides wuellerstorfi,1,,,,,,From Mulitza et al. 2022 ESSD compilation,"Krueger, S., Leuschner, D. C., Ehrmann, W., Schmiedl, G., Mackensen, A., and Diekmann, B.: Ocean circulation patterns and dust supply into the South Atlantic during the last glacial cycle revealed by statistical analysis of kaolinite/chlorite ratios, Marine Geology, 253, 82-91, doi:10.1016/j.margeo.2008.04.015, 2008.",,Schmiedl (pers. comm.),1
PS2561-2,,2.0,-0.7662,4.1234,-0.7662,4.1234,,,,Cibicidoides wuellerstorfi,1,,,,,,From Mulitza et al. 2022 ESSD compilation,"Krueger, S., Leuschner, D. C., Ehrmann, W., Schmiedl, G., Mackensen, A., and Diekmann, B.: Ocean circulation patterns and dust supply into the South Atlantic during the last glacial cycle revealed by statistical analysis of kaolinite/chlorite ratios, Marine Geology, 253, 82-91, doi:10.1016/j.margeo.2008.04.015, 2008.",,Schmiedl (pers. comm.),1
PS2561-2,,2.1,-0.6168,4.2759,-0.6168,4.2759,,,,Cibicidoides wuellerstorfi,1,,,,,,From Mulitza et al. 2022 ESSD compilation,"Krueger, S., Leuschner, D. C., Ehrmann, W., Schmiedl, G., Mackensen, A., and Diekmann, B.: Ocean circulation patterns and dust supply into the South Atlantic during the last glacial cycle revealed by statistical analysis of kaolinite/chlorite ratios, Marine Geology, 253, 82-91, doi:10.1016/j.margeo.2008.04.015, 2008.",,Schmiedl (pers. comm.),1
PS2561-2,,2.2,-0.3538,4.2972,-0.3538,4.2972,,,,Cibicidoides wuellerstorfi,1,,,,,,From Mulitza et al. 2022 ESSD compilation,"Krueger, S., Leuschner, D. C., Ehrmann, W., Schmiedl, G., Mackensen, A., and Diekmann, B.: Ocean circulation patterns and dust supply into the South Atlantic during the last glacial cycle revealed by statistical analysis of kaolinite/chlorite ratios, Marine Geology, 253, 82-91, doi:10.1016/j.margeo.2008.04.015, 2008.",,Schmiedl (pers. comm.),1
PS2561-2,,2.3,-0.7024,4.2391,-0.7024,4.2391,,,,Cibicidoides wuellerstorfi,1,,,,,,From Mulitza et al. 2022 ESSD compilation,"Krueger, S., Leuschner, D. C., Ehrmann, W., Schmiedl, G., Mackensen, A., and Diekmann, B.: Ocean circulation patterns and dust supply into the South Atlantic during the last glacial cycle revealed by statistical analysis of kaolinite/chlorite ratios, Marine Geology, 253, 82-91, doi:10.1016/j.margeo.2008.04.015, 2008.",,Schmiedl (pers. comm.),1
PS2561-2,,2.4,-0.6145,4.2397,-0.6145,4.2397,,,,Cibicidoides wuellerstorfi,1,,,,,,From Mulitza et al. 2022 ESSD compilation,"Krueger, S., Leuschner, D. C., Ehrmann, W., Schmiedl, G., Mackensen, A., and Diekmann, B.: Ocean circulation patterns and dust supply into the South Atlantic during the last glacial cycle revealed by statistical analysis of kaolinite/chlorite ratios, Marine Geology, 253, 82-91, doi:10.1016/j.margeo.2008.04.015, 2008.",,Schmiedl (pers. comm.),1
PS2561-2,,2.5,-0.6234,4.1865,-0.6234,4.1865,,,,Cibicidoides wuellerstorfi,1,,,,,,From Mulitza et al. 2022 ESSD compilation,"Krueger, S., Leuschner, D. C., Ehrmann, W., Schmiedl, G., Mackensen, A., and Diekmann, B.: Ocean circulation patterns and dust supply into the South Atlantic during the last glacial cycle revealed by statistical analysis of kaolinite/chlorite ratios, Marine Geology, 253, 82-91, doi:10.1016/j.margeo.2008.04.015, 2008.",,Schmiedl (pers. comm.),1
PS2561-2,,2.6,-0.4279,4.1704,-0.4279,4.1704,,,,Cibicidoides wuellerstorfi,1,,,,,,From Mulitza et al. 2022 ESSD compilation,"Krueger, S., Leuschner, D. C., Ehrmann, W., Schmiedl, G., Mackensen, A., and Diekmann, B.: Ocean circulation patterns and dust supply into the South Atlantic during the last glacial cycle revealed by statistical analysis of kaolinite/chlorite ratios, Marine Geology, 253, 82-91, doi:10.1016/j.margeo.2008.04.015, 2008.",,Schmiedl (pers. comm.),1
PS2561-2,,2.7,-0.4595,4.0946,-0.4595,4.0946,,,,Cibicidoides wuellerstorfi,1,,,,,,From Mulitza et al. 2022 ESSD compilation,"Krueger, S., Leuschner, D. C., Ehrmann, W., Schmiedl, G., Mackensen, A., and Diekmann, B.: Ocean circulation patterns and dust supply into the South Atlantic during the last glacial cycle revealed by statistical analysis of kaolinite/chlorite ratios, Marine Geology, 253, 82-91, doi:10.1016/j.margeo.2008.04.015, 2008.",,Schmiedl (pers. comm.),1
