Site,Sample label,sample_depth,technique,lab. code,species/material,radiocarbon_age (y),radiocarbon_age_error_plus (y),radiocarbon_age_error_minus (y),reservoir_age (y),reservoir_age_error_plus (y),reservoir_age_error_minus (y),calendar_age (yBP),calendar_age_error_plus (yBP),calendar_age_error_minus (yBP),calibration curve,alignment target,alignment proxy,note1,note2,original reference,data doi
MD02-2489,KIA 34759,1.96,,,,15810,110,110,909.3,103.3,103.3,18133,369,361,IntCal13,,,From Jonkers et al. 2020 compilation paper,,,https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2007PA001513
MD02-2489,KIA 35327,2,,,,15080,100,100,900.3,103.7,103.7,17252,404,450,IntCal13,,,From Jonkers et al. 2020 compilation paper,,,https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2007PA001513
MD02-2489,KIA 34760,2.005,,,,14430,90,90,791,102.9,102.9,16473,447,397,IntCal13,,,From Jonkers et al. 2020 compilation paper,,,https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2007PA001513
MD02-2489,KIA 35328,2.045,,,,15050,90,90,881.9,103.7,103.7,17239,388,430,IntCal13,,,From Jonkers et al. 2020 compilation paper,,,https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2007PA001513
MD02-2489,KIA 35329,2.05,,,,15450,100,100,922.9,103.7,103.7,17697,344,375,IntCal13,,,From Jonkers et al. 2020 compilation paper,,,https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2007PA001513
MD02-2489,KIA 26541,2.095,,,,15580,90,90,930.4,104.3,104.3,17827,348,334,IntCal13,,,From Jonkers et al. 2020 compilation paper,,,https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2007PA001513
MD02-2489,KIA 34761,2.125,,,,15500,95,95,936.1,103.9,103.9,17737,341,351,IntCal13,,,From Jonkers et al. 2020 compilation paper,,,https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2007PA001513
MD02-2489,KIA 26550,2.175,,,,17090,135,135,870.9,103.3,103.3,19582,441,439,IntCal13,,,From Jonkers et al. 2020 compilation paper,,,https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2007PA001513
MD02-2489,KIA 26542,2.175,,,,15350,90,90,905.1,103.4,103.4,17605,341,380,IntCal13,,,From Jonkers et al. 2020 compilation paper,,,https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2007PA001513
MD02-2489,KIA 26551,2.235,,,,16060,80,80,925.4,103.9,103.9,18382,304,332,IntCal13,,,From Jonkers et al. 2020 compilation paper,,,https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2007PA001513
MD02-2489,KIA 26543,2.29,,,,18120,120,120,886.4,106.4,106.4,20804,468,414,IntCal13,,,From Jonkers et al. 2020 compilation paper,,,https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2007PA001513
MD02-2489,KIA 36127,2.31,,,,16750,110,100,876.8,103.2,103.2,19168,369,331,IntCal13,,,From Jonkers et al. 2020 compilation paper,,,https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2007PA001513
MD02-2489,KIA 36128,2.37,,,,16830,110,100,865.7,103.3,103.3,19260,359,357,IntCal13,,,From Jonkers et al. 2020 compilation paper,,,https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2007PA001513
MD02-2489,KIA 36129,2.48,,,,16867,65,65,874.4,103.3,103.3,19291,302,320,IntCal13,,,From Jonkers et al. 2020 compilation paper,,,https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2007PA001513
MD02-2489,KIA 36710,2.5,,,,18470,130,130,910.6,108.2,108.2,21234,494,466,IntCal13,,,From Jonkers et al. 2020 compilation paper,,,https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2007PA001513
MD02-2489,KIA 36130,2.545,,,,17300,90,90,885.8,103.2,103.2,19810,344,322,IntCal13,,,From Jonkers et al. 2020 compilation paper,,,https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2007PA001513
MD02-2489,KIA 36711,2.68,,,,18042,65,65,880.1,104.5,104.5,20708,341,330,IntCal13,,,From Jonkers et al. 2020 compilation paper,,,https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2007PA001513
MD02-2489,KIA 36131,5.2,,,,30521,170,170,1047.1,102.9,102.9,33679,363,414,IntCal13,,,From Jonkers et al. 2020 compilation paper,,,https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2007PA001513
MD02-2489,KIA 36132,6.0075,,,,39472,390,375,1129.6,107.3,107.3,42453,549,524,IntCal13,,,From Jonkers et al. 2020 compilation paper,,,https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2007PA001513
MD02-2489,KIA 36133,6.84,,,,43481,600,560,890.5,102,102,45907,1244,1065,IntCal13,,,From Jonkers et al. 2020 compilation paper,,,https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2007PA001513
