Site,Sample Label,archival_depth (m),d13C (VPDB),d18O (VPDB),d13C_corrected (PDB),d18O_corrected (PDB),Number of shells,Minimum mesh size (um),Maximum mesh size (um),Taxon,Taxon_flag,Taxon_note1,Taxon_note2,Taxon_note3,Additional_note,Publication source,Original Reference,File Name,Data source,quality control
V28-127,,0.02,0.925,2.346,0.925,2.346,,,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Oppo, DW; Fairbanks, RG (1990): Atlantic Ocean thermohaline circulation of the last 150,000 years: relationship to climate and atmospheric CO2. Paleoceanography, 5(3), 277-288, https://doi.org/10.1029/PA005i003p00277",,"Oppo, Delia W; Fairbanks, Richard G (1990): (Table 3) Stable isotope ratios of Cibicidoides wuellerstorfi from sediment core V28-127. PANGAEA, https://doi.org/10.1594/PANGAEA.52404; age model (CLIMAP Project Members (2004): Radiocarbon age determinations on sediment core V28-127, PANGAEA, https://doi,org/10,1594/PANGAEA,186288)",1
V28-127,,0.04,0.62,2.26,0.62,2.26,,,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Oppo, DW; Fairbanks, RG (1990): Atlantic Ocean thermohaline circulation of the last 150,000 years: relationship to climate and atmospheric CO2. Paleoceanography, 5(3), 277-288, https://doi.org/10.1029/PA005i003p00277",,"Oppo, Delia W; Fairbanks, Richard G (1990): (Table 3) Stable isotope ratios of Cibicidoides wuellerstorfi from sediment core V28-127. PANGAEA, https://doi.org/10.1594/PANGAEA.52404; age model (CLIMAP Project Members (2004): Radiocarbon age determinations on sediment core V28-127, PANGAEA, https://doi,org/10,1594/PANGAEA,186288)",1
V28-127,,0.08,0.829,2.189,0.829,2.189,,,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Oppo, DW; Fairbanks, RG (1990): Atlantic Ocean thermohaline circulation of the last 150,000 years: relationship to climate and atmospheric CO2. Paleoceanography, 5(3), 277-288, https://doi.org/10.1029/PA005i003p00277",,"Oppo, Delia W; Fairbanks, Richard G (1990): (Table 3) Stable isotope ratios of Cibicidoides wuellerstorfi from sediment core V28-127. PANGAEA, https://doi.org/10.1594/PANGAEA.52404; age model (CLIMAP Project Members (2004): Radiocarbon age determinations on sediment core V28-127, PANGAEA, https://doi,org/10,1594/PANGAEA,186288)",1
V28-127,,0.12,0.692,2.344,0.692,2.344,,,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Oppo, DW; Fairbanks, RG (1990): Atlantic Ocean thermohaline circulation of the last 150,000 years: relationship to climate and atmospheric CO2. Paleoceanography, 5(3), 277-288, https://doi.org/10.1029/PA005i003p00277",,"Oppo, Delia W; Fairbanks, Richard G (1990): (Table 3) Stable isotope ratios of Cibicidoides wuellerstorfi from sediment core V28-127. PANGAEA, https://doi.org/10.1594/PANGAEA.52404; age model (CLIMAP Project Members (2004): Radiocarbon age determinations on sediment core V28-127, PANGAEA, https://doi,org/10,1594/PANGAEA,186288)",1
V28-127,,0.16,0.802,2.418,0.802,2.418,,,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Oppo, DW; Fairbanks, RG (1990): Atlantic Ocean thermohaline circulation of the last 150,000 years: relationship to climate and atmospheric CO2. Paleoceanography, 5(3), 277-288, https://doi.org/10.1029/PA005i003p00277",,"Oppo, Delia W; Fairbanks, Richard G (1990): (Table 3) Stable isotope ratios of Cibicidoides wuellerstorfi from sediment core V28-127. PANGAEA, https://doi.org/10.1594/PANGAEA.52404; age model (CLIMAP Project Members (2004): Radiocarbon age determinations on sediment core V28-127, PANGAEA, https://doi,org/10,1594/PANGAEA,186288)",1
V28-127,,0.2,0.76,2.48,0.76,2.48,,,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Oppo, DW; Fairbanks, RG (1990): Atlantic Ocean thermohaline circulation of the last 150,000 years: relationship to climate and atmospheric CO2. Paleoceanography, 5(3), 277-288, https://doi.org/10.1029/PA005i003p00277",,"Oppo, Delia W; Fairbanks, Richard G (1990): (Table 3) Stable isotope ratios of Cibicidoides wuellerstorfi from sediment core V28-127. PANGAEA, https://doi.org/10.1594/PANGAEA.52404; age model (CLIMAP Project Members (2004): Radiocarbon age determinations on sediment core V28-127, PANGAEA, https://doi,org/10,1594/PANGAEA,186288)",1
V28-127,,0.24,0.66,2.71,0.66,2.71,,,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Oppo, DW; Fairbanks, RG (1990): Atlantic Ocean thermohaline circulation of the last 150,000 years: relationship to climate and atmospheric CO2. Paleoceanography, 5(3), 277-288, https://doi.org/10.1029/PA005i003p00277",,"Oppo, Delia W; Fairbanks, Richard G (1990): (Table 3) Stable isotope ratios of Cibicidoides wuellerstorfi from sediment core V28-127. PANGAEA, https://doi.org/10.1594/PANGAEA.52404; age model (CLIMAP Project Members (2004): Radiocarbon age determinations on sediment core V28-127, PANGAEA, https://doi,org/10,1594/PANGAEA,186288)",1
V28-127,,0.28,0.688,2.454,0.688,2.454,,,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Oppo, DW; Fairbanks, RG (1990): Atlantic Ocean thermohaline circulation of the last 150,000 years: relationship to climate and atmospheric CO2. Paleoceanography, 5(3), 277-288, https://doi.org/10.1029/PA005i003p00277",,"Oppo, Delia W; Fairbanks, Richard G (1990): (Table 3) Stable isotope ratios of Cibicidoides wuellerstorfi from sediment core V28-127. PANGAEA, https://doi.org/10.1594/PANGAEA.52404; age model (CLIMAP Project Members (2004): Radiocarbon age determinations on sediment core V28-127, PANGAEA, https://doi,org/10,1594/PANGAEA,186288)",1
V28-127,,0.32,0.676,2.699,0.676,2.699,,,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Oppo, DW; Fairbanks, RG (1990): Atlantic Ocean thermohaline circulation of the last 150,000 years: relationship to climate and atmospheric CO2. Paleoceanography, 5(3), 277-288, https://doi.org/10.1029/PA005i003p00277",,"Oppo, Delia W; Fairbanks, Richard G (1990): (Table 3) Stable isotope ratios of Cibicidoides wuellerstorfi from sediment core V28-127. PANGAEA, https://doi.org/10.1594/PANGAEA.52404; age model (CLIMAP Project Members (2004): Radiocarbon age determinations on sediment core V28-127, PANGAEA, https://doi,org/10,1594/PANGAEA,186288)",1
V28-127,,0.36,0.56,2.71,0.56,2.71,,,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Oppo, DW; Fairbanks, RG (1990): Atlantic Ocean thermohaline circulation of the last 150,000 years: relationship to climate and atmospheric CO2. Paleoceanography, 5(3), 277-288, https://doi.org/10.1029/PA005i003p00277",,"Oppo, Delia W; Fairbanks, Richard G (1990): (Table 3) Stable isotope ratios of Cibicidoides wuellerstorfi from sediment core V28-127. PANGAEA, https://doi.org/10.1594/PANGAEA.52404; age model (CLIMAP Project Members (2004): Radiocarbon age determinations on sediment core V28-127, PANGAEA, https://doi,org/10,1594/PANGAEA,186288)",1
V28-127,,0.4,0.74,2.87,0.74,2.87,,,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Oppo, DW; Fairbanks, RG (1990): Atlantic Ocean thermohaline circulation of the last 150,000 years: relationship to climate and atmospheric CO2. Paleoceanography, 5(3), 277-288, https://doi.org/10.1029/PA005i003p00277",,"Oppo, Delia W; Fairbanks, Richard G (1990): (Table 3) Stable isotope ratios of Cibicidoides wuellerstorfi from sediment core V28-127. PANGAEA, https://doi.org/10.1594/PANGAEA.52404; age model (CLIMAP Project Members (2004): Radiocarbon age determinations on sediment core V28-127, PANGAEA, https://doi,org/10,1594/PANGAEA,186288)",1
V28-127,,0.44,0.69,3.011,0.69,3.011,,,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Oppo, DW; Fairbanks, RG (1990): Atlantic Ocean thermohaline circulation of the last 150,000 years: relationship to climate and atmospheric CO2. Paleoceanography, 5(3), 277-288, https://doi.org/10.1029/PA005i003p00277",,"Oppo, Delia W; Fairbanks, Richard G (1990): (Table 3) Stable isotope ratios of Cibicidoides wuellerstorfi from sediment core V28-127. PANGAEA, https://doi.org/10.1594/PANGAEA.52404; age model (CLIMAP Project Members (2004): Radiocarbon age determinations on sediment core V28-127, PANGAEA, https://doi,org/10,1594/PANGAEA,186288)",1
V28-127,,0.48,0.93,3.25,0.93,3.25,,,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Oppo, DW; Fairbanks, RG (1990): Atlantic Ocean thermohaline circulation of the last 150,000 years: relationship to climate and atmospheric CO2. Paleoceanography, 5(3), 277-288, https://doi.org/10.1029/PA005i003p00277",,"Oppo, Delia W; Fairbanks, Richard G (1990): (Table 3) Stable isotope ratios of Cibicidoides wuellerstorfi from sediment core V28-127. PANGAEA, https://doi.org/10.1594/PANGAEA.52404; age model (CLIMAP Project Members (2004): Radiocarbon age determinations on sediment core V28-127, PANGAEA, https://doi,org/10,1594/PANGAEA,186288)",1
V28-127,,0.51,0.781,3.146,0.781,3.146,,,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Oppo, DW; Fairbanks, RG (1990): Atlantic Ocean thermohaline circulation of the last 150,000 years: relationship to climate and atmospheric CO2. Paleoceanography, 5(3), 277-288, https://doi.org/10.1029/PA005i003p00277",,"Oppo, Delia W; Fairbanks, Richard G (1990): (Table 3) Stable isotope ratios of Cibicidoides wuellerstorfi from sediment core V28-127. PANGAEA, https://doi.org/10.1594/PANGAEA.52404; age model (CLIMAP Project Members (2004): Radiocarbon age determinations on sediment core V28-127, PANGAEA, https://doi,org/10,1594/PANGAEA,186288)",1
V28-127,,0.553,1.003,3.694,1.003,3.694,,,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Oppo, DW; Fairbanks, RG (1990): Atlantic Ocean thermohaline circulation of the last 150,000 years: relationship to climate and atmospheric CO2. Paleoceanography, 5(3), 277-288, https://doi.org/10.1029/PA005i003p00277",,"Oppo, Delia W; Fairbanks, Richard G (1990): (Table 3) Stable isotope ratios of Cibicidoides wuellerstorfi from sediment core V28-127. PANGAEA, https://doi.org/10.1594/PANGAEA.52404; age model (CLIMAP Project Members (2004): Radiocarbon age determinations on sediment core V28-127, PANGAEA, https://doi,org/10,1594/PANGAEA,186288)",1
V28-127,,0.605,1.221,4.06,1.221,4.06,,,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Oppo, DW; Fairbanks, RG (1990): Atlantic Ocean thermohaline circulation of the last 150,000 years: relationship to climate and atmospheric CO2. Paleoceanography, 5(3), 277-288, https://doi.org/10.1029/PA005i003p00277",,"Oppo, Delia W; Fairbanks, Richard G (1990): (Table 3) Stable isotope ratios of Cibicidoides wuellerstorfi from sediment core V28-127. PANGAEA, https://doi.org/10.1594/PANGAEA.52404; age model (CLIMAP Project Members (2004): Radiocarbon age determinations on sediment core V28-127, PANGAEA, https://doi,org/10,1594/PANGAEA,186288)",1
