Site,Sample_label,hole_label,section_label,published_archival_depth (m),current_depth_model (m),current_depth_model_note,ODP SAMPLE Inventory:: DEPTH(mid) (m),ODP SAMPLE Inventory:: MBSF(mid) (m),ODP SAMPLE Inventory:: MCD(mid) (m),ODP SAMPLE Inventory:: CCSF(mid) (m),depth_model_1 (m),depth_model_note_1,older_depth_model_2 (m)
V28-127,,,,2.76,2.76,,,,,,2.76,depth model from Repschlaeger et al. 2021,
V28-127,,,,2.84,2.84,,,,,,2.84,depth model from Repschlaeger et al. 2021,
V28-127,,,,2.88,2.88,,,,,,2.88,depth model from Repschlaeger et al. 2021,
V28-127,,,,2.92,2.92,,,,,,2.92,depth model from Repschlaeger et al. 2021,
V28-127,,,,3.0,3.0,,,,,,3.0,depth model from Repschlaeger et al. 2021,
V28-127,,,,3.04,3.04,,,,,,3.04,depth model from Repschlaeger et al. 2021,
V28-127,,,,3.08,3.08,,,,,,3.08,depth model from Repschlaeger et al. 2021,
V28-127,,,,3.1,3.1,,,,,,3.1,depth model from Repschlaeger et al. 2021,
V28-127,,,,3.12,3.12,,,,,,3.12,depth model from Repschlaeger et al. 2021,
V28-127,,,,3.28,3.28,,,,,,3.28,depth model from Repschlaeger et al. 2021,
V28-127,,,,3.32,3.32,,,,,,3.32,depth model from Repschlaeger et al. 2021,
V28-127,,,,3.34,3.34,,,,,,3.34,depth model from Repschlaeger et al. 2021,
V28-127,,,,3.46,3.46,,,,,,3.46,depth model from Repschlaeger et al. 2021,
V28-127,,,,3.48,3.48,,,,,,3.48,depth model from Repschlaeger et al. 2021,
V28-127,,,,3.5,3.5,,,,,,3.5,depth model from Repschlaeger et al. 2021,
V28-127,,,,3.52,3.52,,,,,,3.52,depth model from Repschlaeger et al. 2021,
V28-127,,,,3.56,3.56,,,,,,3.56,depth model from Repschlaeger et al. 2021,
V28-127,,,,3.6,3.6,,,,,,3.6,depth model from Repschlaeger et al. 2021,
V28-127,,,,3.64,3.64,,,,,,3.64,depth model from Repschlaeger et al. 2021,
V28-127,,,,3.68,3.68,,,,,,3.68,depth model from Repschlaeger et al. 2021,
V28-127,,,,3.72,3.72,,,,,,3.72,depth model from Repschlaeger et al. 2021,
V28-127,,,,3.8,3.8,,,,,,3.8,depth model from Repschlaeger et al. 2021,
